[dans_crb_warp_d] device=cuda | UNetCRB params=1.06M | D_mode=warp | lambda_adv=0.05 | held_out=[4, 8]
[dans_crb_warp_d] train 1024 (64 pairs × 16) | val 288 (36 pairs × 8)
Epoch: 1 | G loss: 0.9588 | D loss: 0.0000 | val G loss: 0.9752 | total time: 0 hours 0 minutes
Epoch: 2 | G loss: 0.8976 | D loss: 0.0000 | val G loss: 0.9645 | total time: 0 hours 0 minutes
Epoch: 3 | G loss: 0.8822 | D loss: 0.0000 | val G loss: 0.9405 | total time: 0 hours 1 minutes
Epoch: 4 | G loss: 0.8413 | D loss: 0.0000 | val G loss: 0.9459 | total time: 0 hours 1 minutes
Epoch: 5 | G loss: 0.7563 | D loss: 0.0000 | val G loss: 0.8382 | total time: 0 hours 2 minutes
Epoch: 6 | G loss: 0.7086 | D loss: 0.1257 | val G loss: 0.7726 | total time: 0 hours 2 minutes
Epoch: 7 | G loss: 0.6607 | D loss: 0.1035 | val G loss: 0.7657 | total time: 0 hours 3 minutes
Epoch: 8 | G loss: 0.6010 | D loss: 0.1036 | val G loss: 0.6307 | total time: 0 hours 3 minutes
Epoch: 9 | G loss: 0.5536 | D loss: 0.1048 | val G loss: 0.6179 | total time: 0 hours 4 minutes
Epoch: 10 | G loss: 0.5173 | D loss: 0.1015 | val G loss: 0.5395 | total time: 0 hours 4 minutes
Epoch: 11 | G loss: 0.4915 | D loss: 0.0876 | val G loss: 0.5222 | total time: 0 hours 5 minutes
Epoch: 12 | G loss: 0.4690 | D loss: 0.0809 | val G loss: 0.5160 | total time: 0 hours 5 minutes
Epoch: 13 | G loss: 0.4654 | D loss: 0.0729 | val G loss: 0.4535 | total time: 0 hours 6 minutes
Epoch: 14 | G loss: 0.4515 | D loss: 0.0646 | val G loss: 0.4679 | total time: 0 hours 6 minutes
Epoch: 15 | G loss: 0.4287 | D loss: 0.0632 | val G loss: 0.4402 | total time: 0 hours 7 minutes
Epoch: 16 | G loss: 0.4237 | D loss: 0.0607 | val G loss: 0.4493 | total time: 0 hours 7 minutes
Epoch: 17 | G loss: 0.4191 | D loss: 0.0578 | val G loss: 0.4149 | total time: 0 hours 8 minutes
Epoch: 18 | G loss: 0.4039 | D loss: 0.0563 | val G loss: 0.3949 | total time: 0 hours 8 minutes
Epoch: 19 | G loss: 0.3940 | D loss: 0.0565 | val G loss: 0.3840 | total time: 0 hours 9 minutes
Epoch: 20 | G loss: 0.3876 | D loss: 0.0563 | val G loss: 0.3864 | total time: 0 hours 9 minutes
Epoch: 21 | G loss: 0.3824 | D loss: 0.0532 | val G loss: 0.4305 | total time: 0 hours 10 minutes
Epoch: 22 | G loss: 0.3779 | D loss: 0.0560 | val G loss: 0.3726 | total time: 0 hours 10 minutes
Epoch: 23 | G loss: 0.3690 | D loss: 0.0580 | val G loss: 0.3561 | total time: 0 hours 11 minutes
Epoch: 24 | G loss: 0.3607 | D loss: 0.0558 | val G loss: 0.3689 | total time: 0 hours 11 minutes
Epoch: 25 | G loss: 0.3514 | D loss: 0.0556 | val G loss: 0.4079 | total time: 0 hours 12 minutes
Epoch: 26 | G loss: 0.3475 | D loss: 0.0553 | val G loss: 0.3511 | total time: 0 hours 12 minutes
Epoch: 27 | G loss: 0.3368 | D loss: 0.0527 | val G loss: 0.3546 | total time: 0 hours 13 minutes
Epoch: 28 | G loss: 0.3383 | D loss: 0.0544 | val G loss: 0.3429 | total time: 0 hours 13 minutes
Epoch: 29 | G loss: 0.3316 | D loss: 0.0541 | val G loss: 0.3417 | total time: 0 hours 14 minutes
Epoch: 30 | G loss: 0.3217 | D loss: 0.0542 | val G loss: 0.4040 | total time: 0 hours 14 minutes
Epoch: 31 | G loss: 0.3257 | D loss: 0.0543 | val G loss: 0.3158 | total time: 0 hours 15 minutes
Epoch: 32 | G loss: 0.3125 | D loss: 0.0565 | val G loss: 0.3263 | total time: 0 hours 15 minutes
Epoch: 33 | G loss: 0.3148 | D loss: 0.0519 | val G loss: 0.3344 | total time: 0 hours 16 minutes
Epoch: 34 | G loss: 0.3135 | D loss: 0.0539 | val G loss: 0.3095 | total time: 0 hours 16 minutes
Epoch: 35 | G loss: 0.3054 | D loss: 0.0523 | val G loss: 0.3325 | total time: 0 hours 17 minutes
Epoch: 36 | G loss: 0.3015 | D loss: 0.0552 | val G loss: 0.3051 | total time: 0 hours 17 minutes
Epoch: 37 | G loss: 0.2964 | D loss: 0.0549 | val G loss: 0.2926 | total time: 0 hours 18 minutes
Epoch: 38 | G loss: 0.2936 | D loss: 0.0525 | val G loss: 0.3132 | total time: 0 hours 18 minutes
