model	n_directed	negJ_dir_full%	negJ_dir_lung%	negJ_loo_full%	negJ_loo_lung%	max_lung%
EncoderCRB/5_9	90	0.0011	0.0000	0.0007	0.0000	0.0000
EncoderCRB/3_6	90	0.0003	0.0000	0.0002	0.0000	0.0000
EncoderCRB/3_6_8	90	0.0064	0.0000	0.0045	0.0000	0.0000
DecoderCRB/5_9	90	0.0019	0.0000	0.0022	0.0000	0.0000
DecoderCRB/3_6	90	0.0011	0.0000	0.0007	0.0000	0.0000
DecoderCRB/3_6_8	90	0.0024	0.0000	0.0020	0.0000	0.0000
BothCRB/5_9	90	0.0006	0.0000	0.0008	0.0000	0.0000
BothCRB/3_6	90	0.0004	0.0000	0.0005	0.0000	0.0000
BothCRB/3_6_8	90	0.0003	0.0000	0.0002	0.0000	0.0000
DecoderFiLM/5_9	90	0.0000	0.0000	0.0000	0.0000	0.0000
DecoderFiLM/3_6	90	0.0000	0.0000	0.0000	0.0000	0.0000
DecoderFiLM/3_6_8	90	0.0000	0.0000	0.0000	0.0000	0.0000
DecoderCRBBot/5_9	90	0.0242	0.0000	0.0260	0.0000	0.0000
DecoderCRBBot/3_6	90	0.0017	0.0000	0.0005	0.0000	0.0000
