[dans_crb_mse] device=cuda | UNetCRB params=1.06M | loss=lung-masked MSE | held_out=[4, 8]
[dans_crb_mse] train 1024 (64 pairs × 16) | val 288 (36 pairs × 8)
Epoch: 1 | train MSE: 2.217717 | val MSE: 2.471695 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 1.631594 | val MSE: 1.879046 | total time: 0 hours 1 minutes
Epoch: 3 | train MSE: 1.366622 | val MSE: 1.830621 | total time: 0 hours 1 minutes
Epoch: 4 | train MSE: 1.412334 | val MSE: 1.854424 | total time: 0 hours 2 minutes
Epoch: 5 | train MSE: 1.303474 | val MSE: 1.750445 | total time: 0 hours 2 minutes
Epoch: 6 | train MSE: 1.207664 | val MSE: 1.690991 | total time: 0 hours 3 minutes
Epoch: 7 | train MSE: 1.088437 | val MSE: 1.733067 | total time: 0 hours 3 minutes
Epoch: 8 | train MSE: 1.131364 | val MSE: 1.839206 | total time: 0 hours 4 minutes
Epoch: 9 | train MSE: 0.951705 | val MSE: 1.426415 | total time: 0 hours 4 minutes
Epoch: 10 | train MSE: 0.743252 | val MSE: 1.051657 | total time: 0 hours 5 minutes
Epoch: 11 | train MSE: 0.689157 | val MSE: 0.738811 | total time: 0 hours 5 minutes
Epoch: 12 | train MSE: 0.600106 | val MSE: 0.773456 | total time: 0 hours 6 minutes
Epoch: 13 | train MSE: 0.570588 | val MSE: 0.726327 | total time: 0 hours 6 minutes
Epoch: 14 | train MSE: 0.484061 | val MSE: 0.584858 | total time: 0 hours 7 minutes
Epoch: 15 | train MSE: 0.465664 | val MSE: 0.436540 | total time: 0 hours 7 minutes
Epoch: 16 | train MSE: 0.404388 | val MSE: 0.411280 | total time: 0 hours 8 minutes
Epoch: 17 | train MSE: 0.364725 | val MSE: 0.544682 | total time: 0 hours 8 minutes
Epoch: 18 | train MSE: 0.384762 | val MSE: 0.355771 | total time: 0 hours 9 minutes
Epoch: 19 | train MSE: 0.317078 | val MSE: 0.368531 | total time: 0 hours 10 minutes
Epoch: 20 | train MSE: 0.307558 | val MSE: 0.352375 | total time: 0 hours 10 minutes
Epoch: 21 | train MSE: 0.310105 | val MSE: 0.488340 | total time: 0 hours 11 minutes
Epoch: 22 | train MSE: 0.267293 | val MSE: 0.331895 | total time: 0 hours 11 minutes
Epoch: 23 | train MSE: 0.264860 | val MSE: 0.305052 | total time: 0 hours 12 minutes
Epoch: 24 | train MSE: 0.250373 | val MSE: 0.312660 | total time: 0 hours 12 minutes
Epoch: 25 | train MSE: 0.246757 | val MSE: 0.295758 | total time: 0 hours 13 minutes
Epoch: 26 | train MSE: 0.236758 | val MSE: 0.318753 | total time: 0 hours 13 minutes
Epoch: 27 | train MSE: 0.244524 | val MSE: 0.262789 | total time: 0 hours 14 minutes
Epoch: 28 | train MSE: 0.200292 | val MSE: 0.213277 | total time: 0 hours 14 minutes
Epoch: 29 | train MSE: 0.214946 | val MSE: 0.279119 | total time: 0 hours 15 minutes
Epoch: 30 | train MSE: 0.234757 | val MSE: 0.204782 | total time: 0 hours 15 minutes
Epoch: 31 | train MSE: 0.171281 | val MSE: 0.200792 | total time: 0 hours 16 minutes
Epoch: 32 | train MSE: 0.254675 | val MSE: 0.287131 | total time: 0 hours 16 minutes
Epoch: 33 | train MSE: 0.172078 | val MSE: 0.189975 | total time: 0 hours 17 minutes
Epoch: 34 | train MSE: 0.194448 | val MSE: 0.176684 | total time: 0 hours 17 minutes
Epoch: 35 | train MSE: 0.146599 | val MSE: 0.204480 | total time: 0 hours 17 minutes
Epoch: 36 | train MSE: 0.161428 | val MSE: 0.200026 | total time: 0 hours 18 minutes
Epoch: 37 | train MSE: 0.176393 | val MSE: 0.223195 | total time: 0 hours 18 minutes
Epoch: 38 | train MSE: 0.192215 | val MSE: 0.200556 | total time: 0 hours 19 minutes
Epoch: 39 | train MSE: 0.155187 | val MSE: 0.175297 | total time: 0 hours 19 minutes
Epoch: 40 | train MSE: 0.146453 | val MSE: 0.173467 | total time: 0 hours 20 minutes
Epoch: 41 | train MSE: 0.138785 | val MSE: 0.144256 | total time: 0 hours 20 minutes
Epoch: 42 | train MSE: 0.171586 | val MSE: 0.269062 | total time: 0 hours 21 minutes
Epoch: 43 | train MSE: 0.149874 | val MSE: 0.288814 | total time: 0 hours 21 minutes
Epoch: 44 | train MSE: 0.134884 | val MSE: 0.199556 | total time: 0 hours 22 minutes
Epoch: 45 | train MSE: 0.133042 | val MSE: 0.198757 | total time: 0 hours 22 minutes
Epoch: 46 | train MSE: 0.131716 | val MSE: 0.180359 | total time: 0 hours 23 minutes
Epoch: 47 | train MSE: 0.133028 | val MSE: 0.253287 | total time: 0 hours 23 minutes
Epoch: 48 | train MSE: 0.135101 | val MSE: 0.148051 | total time: 0 hours 24 minutes
Epoch: 49 | train MSE: 0.139377 | val MSE: 0.141737 | total time: 0 hours 24 minutes
Epoch: 50 | train MSE: 0.132938 | val MSE: 0.172647 | total time: 0 hours 25 minutes
Epoch: 51 | train MSE: 0.109269 | val MSE: 0.187327 | total time: 0 hours 25 minutes
Epoch: 52 | train MSE: 0.128849 | val MSE: 0.416228 | total time: 0 hours 26 minutes
Epoch: 53 | train MSE: 0.139754 | val MSE: 0.137827 | total time: 0 hours 26 minutes
Epoch: 54 | train MSE: 0.130730 | val MSE: 0.143860 | total time: 0 hours 27 minutes
Epoch: 55 | train MSE: 0.098820 | val MSE: 0.215898 | total time: 0 hours 27 minutes
Epoch: 56 | train MSE: 0.122563 | val MSE: 0.138553 | total time: 0 hours 28 minutes
Epoch: 57 | train MSE: 0.099890 | val MSE: 0.137132 | total time: 0 hours 28 minutes
Epoch: 58 | train MSE: 0.111114 | val MSE: 0.146206 | total time: 0 hours 29 minutes
Epoch: 59 | train MSE: 0.110566 | val MSE: 0.122458 | total time: 0 hours 29 minutes
Epoch: 60 | train MSE: 0.099737 | val MSE: 0.146811 | total time: 0 hours 30 minutes
Epoch: 61 | train MSE: 0.115129 | val MSE: 0.132963 | total time: 0 hours 30 minutes
Epoch: 62 | train MSE: 0.114674 | val MSE: 0.142263 | total time: 0 hours 31 minutes
Epoch: 63 | train MSE: 0.087049 | val MSE: 0.134077 | total time: 0 hours 31 minutes
Epoch: 64 | train MSE: 0.098944 | val MSE: 0.131588 | total time: 0 hours 31 minutes
Epoch: 65 | train MSE: 0.084386 | val MSE: 0.218681 | total time: 0 hours 32 minutes
Epoch: 66 | train MSE: 0.119970 | val MSE: 0.122354 | total time: 0 hours 32 minutes
Epoch: 67 | train MSE: 0.079318 | val MSE: 0.253064 | total time: 0 hours 33 minutes
Epoch: 68 | train MSE: 0.108583 | val MSE: 0.135222 | total time: 0 hours 34 minutes
Epoch: 69 | train MSE: 0.096113 | val MSE: 0.104200 | total time: 0 hours 34 minutes
Epoch: 70 | train MSE: 0.094288 | val MSE: 0.180771 | total time: 0 hours 34 minutes
Epoch: 71 | train MSE: 0.094018 | val MSE: 0.143284 | total time: 0 hours 35 minutes
Epoch: 72 | train MSE: 0.081658 | val MSE: 0.144834 | total time: 0 hours 35 minutes
Epoch: 73 | train MSE: 0.096579 | val MSE: 0.124053 | total time: 0 hours 36 minutes
Epoch: 74 | train MSE: 0.088991 | val MSE: 0.109679 | total time: 0 hours 36 minutes
Epoch: 75 | train MSE: 0.073040 | val MSE: 0.102582 | total time: 0 hours 37 minutes
Epoch: 76 | train MSE: 0.098110 | val MSE: 0.117247 | total time: 0 hours 37 minutes
Epoch: 77 | train MSE: 0.073534 | val MSE: 0.097599 | total time: 0 hours 38 minutes
Epoch: 78 | train MSE: 0.104071 | val MSE: 0.124801 | total time: 0 hours 38 minutes
Epoch: 79 | train MSE: 0.077696 | val MSE: 0.094555 | total time: 0 hours 39 minutes
Epoch: 80 | train MSE: 0.080337 | val MSE: 0.101358 | total time: 0 hours 39 minutes
Epoch: 81 | train MSE: 0.091340 | val MSE: 0.106328 | total time: 0 hours 40 minutes
Epoch: 82 | train MSE: 0.081330 | val MSE: 0.148535 | total time: 0 hours 40 minutes
Epoch: 83 | train MSE: 0.089354 | val MSE: 0.102347 | total time: 0 hours 41 minutes
Epoch: 84 | train MSE: 0.068271 | val MSE: 0.136542 | total time: 0 hours 41 minutes
Epoch: 85 | train MSE: 0.079216 | val MSE: 0.091002 | total time: 0 hours 42 minutes
Epoch: 86 | train MSE: 0.106771 | val MSE: 0.109831 | total time: 0 hours 42 minutes
Epoch: 87 | train MSE: 0.062354 | val MSE: 0.093035 | total time: 0 hours 43 minutes
Epoch: 88 | train MSE: 0.087591 | val MSE: 0.129273 | total time: 0 hours 43 minutes
Epoch: 89 | train MSE: 0.077921 | val MSE: 0.090895 | total time: 0 hours 44 minutes
Epoch: 90 | train MSE: 0.075467 | val MSE: 0.130477 | total time: 0 hours 44 minutes
Epoch: 91 | train MSE: 0.077289 | val MSE: 0.103635 | total time: 0 hours 45 minutes
Epoch: 92 | train MSE: 0.067859 | val MSE: 0.081319 | total time: 0 hours 45 minutes
Epoch: 93 | train MSE: 0.071308 | val MSE: 0.116782 | total time: 0 hours 46 minutes
Epoch: 94 | train MSE: 0.096471 | val MSE: 0.153896 | total time: 0 hours 46 minutes
Epoch: 95 | train MSE: 0.070429 | val MSE: 0.082466 | total time: 0 hours 47 minutes
Epoch: 96 | train MSE: 0.056050 | val MSE: 0.113355 | total time: 0 hours 47 minutes
Epoch: 97 | train MSE: 0.080746 | val MSE: 0.116823 | total time: 0 hours 48 minutes
Epoch: 98 | train MSE: 0.062916 | val MSE: 0.092024 | total time: 0 hours 48 minutes
Epoch: 99 | train MSE: 0.064266 | val MSE: 0.126205 | total time: 0 hours 49 minutes
Epoch: 100 | train MSE: 0.091449 | val MSE: 0.115773 | total time: 0 hours 49 minutes
finished best_val_mse=0.081319
