[dans_crb_mse_lo_3_6] device=cuda | params=1.06M | held_out_1idx=[3,6] | 0idx=[2, 5]
[dans_crb_mse_lo_3_6] train 1024 | val 288
Epoch: 1 | train MSE: 2.280760 | val MSE: 2.496824 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 2.281230 | val MSE: 2.214515 | total time: 0 hours 1 minutes
Epoch: 3 | train MSE: 1.701726 | val MSE: 1.665996 | total time: 0 hours 2 minutes
Epoch: 4 | train MSE: 1.403727 | val MSE: 1.557348 | total time: 0 hours 3 minutes
Epoch: 5 | train MSE: 1.382421 | val MSE: 1.526619 | total time: 0 hours 3 minutes
Epoch: 6 | train MSE: 1.278930 | val MSE: 1.581763 | total time: 0 hours 4 minutes
Epoch: 7 | train MSE: 1.260706 | val MSE: 1.518748 | total time: 0 hours 5 minutes
Epoch: 8 | train MSE: 1.210136 | val MSE: 1.711343 | total time: 0 hours 6 minutes
Epoch: 9 | train MSE: 1.245312 | val MSE: 1.572736 | total time: 0 hours 7 minutes
Epoch: 10 | train MSE: 1.175894 | val MSE: 1.541555 | total time: 0 hours 8 minutes
Epoch: 11 | train MSE: 1.117169 | val MSE: 1.518192 | total time: 0 hours 10 minutes
Epoch: 12 | train MSE: 1.109119 | val MSE: 1.491967 | total time: 0 hours 11 minutes
Epoch: 13 | train MSE: 1.097593 | val MSE: 1.164478 | total time: 0 hours 12 minutes
Epoch: 14 | train MSE: 0.870246 | val MSE: 0.959516 | total time: 0 hours 13 minutes
Epoch: 15 | train MSE: 0.704394 | val MSE: 0.807836 | total time: 0 hours 15 minutes
Epoch: 16 | train MSE: 0.597587 | val MSE: 0.825439 | total time: 0 hours 15 minutes
Epoch: 17 | train MSE: 0.482700 | val MSE: 0.562788 | total time: 0 hours 16 minutes
Epoch: 18 | train MSE: 0.429016 | val MSE: 0.535309 | total time: 0 hours 17 minutes
Epoch: 19 | train MSE: 0.377405 | val MSE: 0.536799 | total time: 0 hours 18 minutes
Epoch: 20 | train MSE: 0.344585 | val MSE: 0.410764 | total time: 0 hours 18 minutes
Epoch: 21 | train MSE: 0.311915 | val MSE: 0.392449 | total time: 0 hours 19 minutes
Epoch: 22 | train MSE: 0.293261 | val MSE: 0.397237 | total time: 0 hours 20 minutes
Epoch: 23 | train MSE: 0.279039 | val MSE: 0.397066 | total time: 0 hours 20 minutes
Epoch: 24 | train MSE: 0.253253 | val MSE: 0.297118 | total time: 0 hours 21 minutes
Epoch: 25 | train MSE: 0.251527 | val MSE: 0.298029 | total time: 0 hours 22 minutes
Epoch: 26 | train MSE: 0.222551 | val MSE: 0.293400 | total time: 0 hours 23 minutes
Epoch: 27 | train MSE: 0.221188 | val MSE: 0.249654 | total time: 0 hours 23 minutes
Epoch: 28 | train MSE: 0.214815 | val MSE: 0.292578 | total time: 0 hours 24 minutes
Epoch: 29 | train MSE: 0.203783 | val MSE: 0.250495 | total time: 0 hours 25 minutes
Epoch: 30 | train MSE: 0.200688 | val MSE: 0.250068 | total time: 0 hours 26 minutes
Epoch: 31 | train MSE: 0.185227 | val MSE: 0.215349 | total time: 0 hours 26 minutes
Epoch: 32 | train MSE: 0.195475 | val MSE: 0.240372 | total time: 0 hours 27 minutes
Epoch: 33 | train MSE: 0.174235 | val MSE: 0.271934 | total time: 0 hours 28 minutes
Epoch: 34 | train MSE: 0.180871 | val MSE: 0.304615 | total time: 0 hours 28 minutes
Epoch: 35 | train MSE: 0.164139 | val MSE: 0.269900 | total time: 0 hours 29 minutes
Epoch: 36 | train MSE: 0.152292 | val MSE: 0.217346 | total time: 0 hours 30 minutes
Epoch: 37 | train MSE: 0.149955 | val MSE: 0.236396 | total time: 0 hours 31 minutes
Epoch: 38 | train MSE: 0.149863 | val MSE: 0.215117 | total time: 0 hours 31 minutes
Epoch: 39 | train MSE: 0.153031 | val MSE: 0.212270 | total time: 0 hours 32 minutes
Epoch: 40 | train MSE: 0.138377 | val MSE: 0.214421 | total time: 0 hours 33 minutes
Epoch: 41 | train MSE: 0.147736 | val MSE: 0.199866 | total time: 0 hours 33 minutes
Epoch: 42 | train MSE: 0.162900 | val MSE: 0.249023 | total time: 0 hours 34 minutes
Epoch: 43 | train MSE: 0.110168 | val MSE: 0.198007 | total time: 0 hours 35 minutes
Epoch: 44 | train MSE: 0.130449 | val MSE: 0.229923 | total time: 0 hours 35 minutes
Epoch: 45 | train MSE: 0.115199 | val MSE: 0.171003 | total time: 0 hours 36 minutes
Epoch: 46 | train MSE: 0.123958 | val MSE: 0.180337 | total time: 0 hours 37 minutes
Epoch: 47 | train MSE: 0.135214 | val MSE: 0.168099 | total time: 0 hours 37 minutes
Epoch: 48 | train MSE: 0.099849 | val MSE: 0.218457 | total time: 0 hours 38 minutes
Epoch: 49 | train MSE: 0.119417 | val MSE: 0.184803 | total time: 0 hours 39 minutes
Epoch: 50 | train MSE: 0.103089 | val MSE: 0.205573 | total time: 0 hours 39 minutes
Epoch: 51 | train MSE: 0.110221 | val MSE: 0.179605 | total time: 0 hours 40 minutes
Epoch: 52 | train MSE: 0.098865 | val MSE: 0.181455 | total time: 0 hours 41 minutes
Epoch: 53 | train MSE: 0.106018 | val MSE: 0.158228 | total time: 0 hours 41 minutes
Epoch: 54 | train MSE: 0.097913 | val MSE: 0.209630 | total time: 0 hours 42 minutes
Epoch: 55 | train MSE: 0.132767 | val MSE: 0.153377 | total time: 0 hours 43 minutes
Epoch: 56 | train MSE: 0.080441 | val MSE: 0.170351 | total time: 0 hours 43 minutes
Epoch: 57 | train MSE: 0.099997 | val MSE: 0.166806 | total time: 0 hours 44 minutes
Epoch: 58 | train MSE: 0.093276 | val MSE: 0.176529 | total time: 0 hours 45 minutes
Epoch: 59 | train MSE: 0.091651 | val MSE: 0.172556 | total time: 0 hours 46 minutes
Epoch: 60 | train MSE: 0.095316 | val MSE: 0.140762 | total time: 0 hours 46 minutes
Epoch: 61 | train MSE: 0.096855 | val MSE: 0.155335 | total time: 0 hours 47 minutes
Epoch: 62 | train MSE: 0.085761 | val MSE: 0.173607 | total time: 0 hours 48 minutes
Epoch: 63 | train MSE: 0.087703 | val MSE: 0.131722 | total time: 0 hours 48 minutes
Epoch: 64 | train MSE: 0.083504 | val MSE: 0.233413 | total time: 0 hours 49 minutes
Epoch: 65 | train MSE: 0.116325 | val MSE: 0.122111 | total time: 0 hours 50 minutes
Epoch: 66 | train MSE: 0.073824 | val MSE: 0.172304 | total time: 0 hours 50 minutes
Epoch: 67 | train MSE: 0.070230 | val MSE: 0.178817 | total time: 0 hours 51 minutes
Epoch: 68 | train MSE: 0.097577 | val MSE: 0.159610 | total time: 0 hours 52 minutes
Epoch: 69 | train MSE: 0.086828 | val MSE: 0.155442 | total time: 0 hours 52 minutes
Epoch: 70 | train MSE: 0.068693 | val MSE: 0.179397 | total time: 0 hours 53 minutes
Epoch: 71 | train MSE: 0.096642 | val MSE: 0.178030 | total time: 0 hours 54 minutes
Epoch: 72 | train MSE: 0.064511 | val MSE: 0.157562 | total time: 0 hours 54 minutes
Epoch: 73 | train MSE: 0.076095 | val MSE: 0.163058 | total time: 0 hours 55 minutes
Epoch: 74 | train MSE: 0.075273 | val MSE: 0.131543 | total time: 0 hours 56 minutes
Epoch: 75 | train MSE: 0.073494 | val MSE: 0.124936 | total time: 0 hours 56 minutes
Epoch: 76 | train MSE: 0.084593 | val MSE: 0.167842 | total time: 0 hours 57 minutes
Epoch: 77 | train MSE: 0.074668 | val MSE: 0.244344 | total time: 0 hours 58 minutes
Epoch: 78 | train MSE: 0.067655 | val MSE: 0.136991 | total time: 0 hours 58 minutes
Epoch: 79 | train MSE: 0.079231 | val MSE: 0.141295 | total time: 0 hours 59 minutes
Epoch: 80 | train MSE: 0.064645 | val MSE: 0.135855 | total time: 1 hours 0 minutes
Epoch: 81 | train MSE: 0.070710 | val MSE: 0.207232 | total time: 1 hours 0 minutes
Epoch: 82 | train MSE: 0.079135 | val MSE: 0.140300 | total time: 1 hours 1 minutes
Epoch: 83 | train MSE: 0.085632 | val MSE: 0.156154 | total time: 1 hours 2 minutes
Epoch: 84 | train MSE: 0.050435 | val MSE: 0.125096 | total time: 1 hours 2 minutes
