[dans_crb_mse_lo_3_6_8] device=cuda | params=1.06M | held_out_1idx=[3,6,8] | 0idx=[2, 5, 7]
[dans_crb_mse_lo_3_6_8] train 784 | val 408
Epoch: 1 | train MSE: 2.585349 | val MSE: 2.199157 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 2.709241 | val MSE: 2.060749 | total time: 0 hours 1 minutes
Epoch: 3 | train MSE: 1.948828 | val MSE: 1.592735 | total time: 0 hours 1 minutes
Epoch: 4 | train MSE: 1.592027 | val MSE: 1.540720 | total time: 0 hours 2 minutes
Epoch: 5 | train MSE: 1.464422 | val MSE: 1.532445 | total time: 0 hours 3 minutes
Epoch: 6 | train MSE: 1.462030 | val MSE: 1.699319 | total time: 0 hours 3 minutes
Epoch: 7 | train MSE: 1.423863 | val MSE: 1.500518 | total time: 0 hours 4 minutes
Epoch: 8 | train MSE: 1.473749 | val MSE: 1.398433 | total time: 0 hours 5 minutes
Epoch: 9 | train MSE: 1.272117 | val MSE: 1.426820 | total time: 0 hours 6 minutes
Epoch: 10 | train MSE: 1.183010 | val MSE: 1.324284 | total time: 0 hours 7 minutes
Epoch: 11 | train MSE: 1.184771 | val MSE: 1.253574 | total time: 0 hours 8 minutes
Epoch: 12 | train MSE: 1.186353 | val MSE: 1.178859 | total time: 0 hours 9 minutes
Epoch: 13 | train MSE: 1.017346 | val MSE: 1.116256 | total time: 0 hours 10 minutes
Epoch: 14 | train MSE: 0.978477 | val MSE: 1.074233 | total time: 0 hours 11 minutes
Epoch: 15 | train MSE: 0.911772 | val MSE: 0.918045 | total time: 0 hours 12 minutes
Epoch: 16 | train MSE: 0.822362 | val MSE: 0.865328 | total time: 0 hours 13 minutes
Epoch: 17 | train MSE: 0.776575 | val MSE: 0.866207 | total time: 0 hours 14 minutes
Epoch: 18 | train MSE: 0.650109 | val MSE: 0.771338 | total time: 0 hours 15 minutes
Epoch: 19 | train MSE: 0.586789 | val MSE: 0.730545 | total time: 0 hours 16 minutes
Epoch: 20 | train MSE: 0.582925 | val MSE: 0.783152 | total time: 0 hours 16 minutes
Epoch: 21 | train MSE: 0.494912 | val MSE: 0.735090 | total time: 0 hours 17 minutes
Epoch: 22 | train MSE: 0.479624 | val MSE: 0.555752 | total time: 0 hours 18 minutes
Epoch: 23 | train MSE: 0.443439 | val MSE: 0.502801 | total time: 0 hours 18 minutes
Epoch: 24 | train MSE: 0.395315 | val MSE: 0.626090 | total time: 0 hours 19 minutes
