pair	note	L1_pred	L1_zero	cos
01_to_01	identity	0.000140	0.000000	nan
01_to_02	pair	0.077340	0.153384	0.917783
01_to_03	pair	0.120789	0.417549	0.975472
01_to_04	pair	0.143411	0.680004	0.984369
01_to_05	pair	0.155382	0.866464	0.988687
01_to_06	pair	0.160704	0.957712	0.991238
01_to_07	pair	0.166087	1.016436	0.991482
01_to_08	pair	0.164099	0.955212	0.990699
01_to_09	pair	0.169262	0.643421	0.974554
01_to_10	pair	0.081955	0.235750	0.959381
02_to_01	pair	0.078646	0.157055	0.912043
02_to_02	identity	0.000125	0.000000	nan
02_to_03	pair	0.074353	0.224181	0.970179
02_to_04	pair	0.117916	0.494671	0.982360
02_to_05	pair	0.151178	0.690909	0.983043
02_to_06	pair	0.152220	0.808607	0.987181
02_to_07	pair	0.152247	0.901013	0.989936
02_to_08	pair	0.152885	0.884449	0.989549
02_to_09	pair	0.165362	0.654559	0.972669
02_to_10	pair	0.105768	0.322335	0.954619
03_to_01	pair	0.108832	0.408781	0.975487
03_to_02	pair	0.079844	0.223766	0.967222
03_to_03	identity	0.001493	0.000000	nan
03_to_04	pair	0.078175	0.207874	0.956528
03_to_05	pair	0.111441	0.399191	0.971635
03_to_06	pair	0.120675	0.538375	0.983511
03_to_07	pair	0.133502	0.646944	0.985339
03_to_08	pair	0.129712	0.679700	0.985941
03_to_09	pair	0.169962	0.541953	0.941310
03_to_10	pair	0.124570	0.415479	0.964926
04_to_01	pair	0.144582	0.678101	0.983889
04_to_02	pair	0.111946	0.486793	0.983560
04_to_03	pair	0.076438	0.210490	0.958874
04_to_04	identity	0.001584	0.000000	nan
04_to_05	pair	0.073511	0.152192	0.927744
04_to_06	pair	0.092075	0.304661	0.967387
04_to_07	pair	0.109339	0.439972	0.975517
04_to_08	pair	0.123522	0.512630	0.975054
04_to_09	pair	0.190326	0.514451	0.896650
04_to_10	pair	0.142245	0.614008	0.975916
05_to_01	pair	0.179503	0.853821	0.984731
05_to_02	pair	0.151556	0.683321	0.983636
05_to_03	pair	0.116130	0.405852	0.972576
05_to_04	pair	0.073697	0.159057	0.933990
05_to_05	identity	0.000422	0.000000	nan
05_to_06	pair	0.070292	0.136079	0.907345
05_to_07	pair	0.101868	0.270393	0.949198
05_to_08	pair	0.127569	0.389834	0.952717
05_to_09	pair	0.211803	0.539986	0.889102
05_to_10	pair	0.164048	0.764710	0.979677
06_to_01	pair	0.159893	0.937682	0.990083
06_to_02	pair	0.142022	0.793929	0.989372
06_to_03	pair	0.130782	0.545034	0.982142
06_to_04	pair	0.082336	0.312840	0.974479
06_to_05	pair	0.063010	0.135098	0.920672
06_to_06	identity	0.000664	0.000000	nan
06_to_07	pair	0.054652	0.110508	0.906387
06_to_08	pair	0.100064	0.258402	0.942180
06_to_09	pair	0.215773	0.529718	0.902510
06_to_10	pair	0.156416	0.806051	0.984027
07_to_01	pair	0.156895	0.995438	0.992196
07_to_02	pair	0.142913	0.882252	0.991045
07_to_03	pair	0.128697	0.650171	0.985688
07_to_04	pair	0.096825	0.444509	0.980684
07_to_05	pair	0.082665	0.276634	0.961569
07_to_06	pair	0.052751	0.107052	0.905160
07_to_07	identity	0.000412	0.000000	nan
07_to_08	pair	0.079713	0.154266	0.886300
07_to_09	pair	0.216974	0.484115	0.903968
07_to_10	pair	0.152661	0.814333	0.986382
08_to_01	pair	0.156714	0.959113	0.991448
08_to_02	pair	0.145695	0.882382	0.990438
08_to_03	pair	0.135427	0.683463	0.984399
08_to_04	pair	0.118907	0.509584	0.976192
08_to_05	pair	0.120773	0.389467	0.956715
08_to_06	pair	0.096350	0.255637	0.939630
08_to_07	pair	0.072562	0.151311	0.897680
08_to_08	identity	0.000679	0.000000	nan
08_to_09	pair	0.148298	0.305621	0.880660
08_to_10	pair	0.160212	0.704635	0.982251
09_to_01	pair	0.225638	0.654446	0.962283
09_to_02	pair	0.207338	0.667191	0.964087
09_to_03	pair	0.184026	0.541201	0.930409
09_to_04	pair	0.181898	0.509608	0.911536
09_to_05	pair	0.223959	0.534531	0.870144
09_to_06	pair	0.241656	0.520197	0.875893
09_to_07	pair	0.238071	0.482468	0.883173
09_to_08	pair	0.146040	0.301752	0.895539
09_to_09	identity	0.011566	0.000000	nan
09_to_10	pair	0.150499	0.345159	0.942732
10_to_01	pair	0.081286	0.233920	0.961370
10_to_02	pair	0.098592	0.323130	0.957872
10_to_03	pair	0.121885	0.410843	0.961816
10_to_04	pair	0.147317	0.623490	0.973779
10_to_05	pair	0.168680	0.769596	0.979334
10_to_06	pair	0.159844	0.820622	0.984177
10_to_07	pair	0.154002	0.826510	0.986592
10_to_08	pair	0.146594	0.705919	0.985420
10_to_09	pair	0.138535	0.345099	0.948275
10_to_10	identity	0.000747	0.000000	nan
