[spare_mc_p1_full_warp_d] device=cuda | D_mode=warp (in=2) | D_base=32 | lambda_adv=0.05 | d_update_freq=2
[spare_mc_p1_full_warp_d] train 1600 (100 pairs × 16) | val 800 (100 pairs × 8)
Epoch: 1 | G loss: 0.9587 | D loss: 0.0000 | val G loss: 0.8876 | total time: 0 hours 1 minutes
Epoch: 2 | G loss: 0.7456 | D loss: 0.0000 | val G loss: 0.6327 | total time: 0 hours 2 minutes
Epoch: 3 | G loss: 0.5394 | D loss: 0.0000 | val G loss: 0.5065 | total time: 0 hours 3 minutes
Epoch: 4 | G loss: 0.4678 | D loss: 0.0000 | val G loss: 0.4705 | total time: 0 hours 4 minutes
Epoch: 5 | G loss: 0.4219 | D loss: 0.0000 | val G loss: 0.4225 | total time: 0 hours 5 minutes
Epoch: 6 | G loss: 0.4030 | D loss: 0.1170 | val G loss: 0.3866 | total time: 0 hours 6 minutes
Epoch: 7 | G loss: 0.3677 | D loss: 0.1041 | val G loss: 0.3555 | total time: 0 hours 8 minutes
Epoch: 8 | G loss: 0.3491 | D loss: 0.1032 | val G loss: 0.3361 | total time: 0 hours 9 minutes
Epoch: 9 | G loss: 0.3295 | D loss: 0.0945 | val G loss: 0.3516 | total time: 0 hours 10 minutes
Epoch: 10 | G loss: 0.3167 | D loss: 0.0895 | val G loss: 0.2883 | total time: 0 hours 11 minutes
Epoch: 11 | G loss: 0.3095 | D loss: 0.0847 | val G loss: 0.2964 | total time: 0 hours 13 minutes
Epoch: 12 | G loss: 0.2938 | D loss: 0.0858 | val G loss: 0.2811 | total time: 0 hours 14 minutes
Epoch: 13 | G loss: 0.2831 | D loss: 0.0819 | val G loss: 0.2898 | total time: 0 hours 15 minutes
Epoch: 14 | G loss: 0.2790 | D loss: 0.0812 | val G loss: 0.2800 | total time: 0 hours 16 minutes
Epoch: 15 | G loss: 0.2714 | D loss: 0.0788 | val G loss: 0.2512 | total time: 0 hours 17 minutes
Epoch: 16 | G loss: 0.2632 | D loss: 0.0777 | val G loss: 0.2521 | total time: 0 hours 19 minutes
Epoch: 17 | G loss: 0.2587 | D loss: 0.0768 | val G loss: 0.2412 | total time: 0 hours 20 minutes
Epoch: 18 | G loss: 0.2546 | D loss: 0.0758 | val G loss: 0.2605 | total time: 0 hours 21 minutes
Epoch: 19 | G loss: 0.2557 | D loss: 0.0709 | val G loss: 0.2296 | total time: 0 hours 22 minutes
Epoch: 20 | G loss: 0.2462 | D loss: 0.0754 | val G loss: 0.2190 | total time: 0 hours 24 minutes
Epoch: 21 | G loss: 0.2454 | D loss: 0.0716 | val G loss: 0.2444 | total time: 0 hours 25 minutes
Epoch: 22 | G loss: 0.2384 | D loss: 0.0695 | val G loss: 0.2259 | total time: 0 hours 26 minutes
Epoch: 23 | G loss: 0.2368 | D loss: 0.0655 | val G loss: 0.2265 | total time: 0 hours 27 minutes
Epoch: 24 | G loss: 0.2353 | D loss: 0.0659 | val G loss: 0.2087 | total time: 0 hours 28 minutes
Epoch: 25 | G loss: 0.2314 | D loss: 0.0688 | val G loss: 0.2131 | total time: 0 hours 30 minutes
Epoch: 26 | G loss: 0.2299 | D loss: 0.0612 | val G loss: 0.2179 | total time: 0 hours 31 minutes
Epoch: 27 | G loss: 0.2263 | D loss: 0.0637 | val G loss: 0.2120 | total time: 0 hours 32 minutes
Epoch: 28 | G loss: 0.2232 | D loss: 0.0637 | val G loss: 0.2030 | total time: 0 hours 33 minutes
Epoch: 29 | G loss: 0.2224 | D loss: 0.0622 | val G loss: 0.1949 | total time: 0 hours 34 minutes
Epoch: 30 | G loss: 0.2183 | D loss: 0.0632 | val G loss: 0.2088 | total time: 0 hours 36 minutes
Epoch: 31 | G loss: 0.2166 | D loss: 0.0613 | val G loss: 0.1973 | total time: 0 hours 37 minutes
Epoch: 32 | G loss: 0.2127 | D loss: 0.0601 | val G loss: 0.1960 | total time: 0 hours 38 minutes
Epoch: 33 | G loss: 0.2115 | D loss: 0.0585 | val G loss: 0.1855 | total time: 0 hours 39 minutes
Epoch: 34 | G loss: 0.2107 | D loss: 0.0594 | val G loss: 0.1940 | total time: 0 hours 41 minutes
Epoch: 35 | G loss: 0.2037 | D loss: 0.0629 | val G loss: 0.1848 | total time: 0 hours 42 minutes
Epoch: 36 | G loss: 0.2059 | D loss: 0.0597 | val G loss: 0.1906 | total time: 0 hours 43 minutes
Epoch: 37 | G loss: 0.2041 | D loss: 0.0576 | val G loss: 0.1798 | total time: 0 hours 44 minutes
Epoch: 38 | G loss: 0.2015 | D loss: 0.0590 | val G loss: 0.1783 | total time: 0 hours 46 minutes
Epoch: 39 | G loss: 0.1983 | D loss: 0.0572 | val G loss: 0.1710 | total time: 0 hours 47 minutes
Epoch: 40 | G loss: 0.1973 | D loss: 0.0581 | val G loss: 0.1733 | total time: 0 hours 48 minutes
Epoch: 41 | G loss: 0.1944 | D loss: 0.0571 | val G loss: 0.1778 | total time: 0 hours 49 minutes
Epoch: 42 | G loss: 0.1937 | D loss: 0.0553 | val G loss: 0.1805 | total time: 0 hours 50 minutes
Epoch: 43 | G loss: 0.1893 | D loss: 0.0578 | val G loss: 0.1642 | total time: 0 hours 52 minutes
Epoch: 44 | G loss: 0.1916 | D loss: 0.0571 | val G loss: 0.1809 | total time: 0 hours 53 minutes
Epoch: 45 | G loss: 0.1899 | D loss: 0.0547 | val G loss: 0.1631 | total time: 0 hours 54 minutes
Epoch: 46 | G loss: 0.1891 | D loss: 0.0552 | val G loss: 0.1915 | total time: 0 hours 55 minutes
Epoch: 47 | G loss: 0.1898 | D loss: 0.0550 | val G loss: 0.1652 | total time: 0 hours 57 minutes
Epoch: 48 | G loss: 0.1862 | D loss: 0.0549 | val G loss: 0.1706 | total time: 0 hours 58 minutes
Epoch: 49 | G loss: 0.1862 | D loss: 0.0533 | val G loss: 0.1705 | total time: 0 hours 59 minutes
Epoch: 50 | G loss: 0.1819 | D loss: 0.0548 | val G loss: 0.1528 | total time: 1 hours 0 minutes
Epoch: 51 | G loss: 0.1829 | D loss: 0.0524 | val G loss: 0.1576 | total time: 1 hours 2 minutes
Epoch: 52 | G loss: 0.1792 | D loss: 0.0572 | val G loss: 0.1622 | total time: 1 hours 3 minutes
Epoch: 53 | G loss: 0.1803 | D loss: 0.0537 | val G loss: 0.1590 | total time: 1 hours 4 minutes
Epoch: 54 | G loss: 0.1769 | D loss: 0.0553 | val G loss: 0.1588 | total time: 1 hours 5 minutes
Epoch: 55 | G loss: 0.1791 | D loss: 0.0537 | val G loss: 0.1544 | total time: 1 hours 6 minutes
Epoch: 56 | G loss: 0.1769 | D loss: 0.0531 | val G loss: 0.1536 | total time: 1 hours 8 minutes
Epoch: 57 | G loss: 0.1735 | D loss: 0.0553 | val G loss: 0.1503 | total time: 1 hours 9 minutes
Epoch: 58 | G loss: 0.1771 | D loss: 0.0548 | val G loss: 0.1575 | total time: 1 hours 10 minutes
Epoch: 59 | G loss: 0.1751 | D loss: 0.0523 | val G loss: 0.1506 | total time: 1 hours 11 minutes
Epoch: 60 | G loss: 0.1746 | D loss: 0.0513 | val G loss: 0.1571 | total time: 1 hours 13 minutes
Epoch: 61 | G loss: 0.1731 | D loss: 0.0549 | val G loss: 0.1535 | total time: 1 hours 14 minutes
Epoch: 62 | G loss: 0.1733 | D loss: 0.0521 | val G loss: 0.1554 | total time: 1 hours 15 minutes
Epoch: 63 | G loss: 0.1710 | D loss: 0.0522 | val G loss: 0.1423 | total time: 1 hours 16 minutes
Epoch: 64 | G loss: 0.1701 | D loss: 0.0559 | val G loss: 0.1491 | total time: 1 hours 17 minutes
