pair	note	L1_pred	L1_zero	cos
01_to_01	identity	0.015817	0.000000	nan
01_to_02	pair	0.066085	0.153384	0.922066
01_to_03	pair	0.109176	0.417549	0.973468
01_to_04	pair	0.142766	0.680004	0.980960
01_to_05	pair	0.186459	0.866464	0.982277
01_to_06	pair	0.203721	0.957712	0.983920
01_to_07	pair	0.208663	1.016436	0.985421
01_to_08	pair	0.188011	0.955212	0.986201
01_to_09	pair	0.170705	0.643421	0.970789
01_to_10	pair	0.084769	0.235750	0.962853
02_to_01	pair	0.065598	0.157055	0.936894
02_to_02	identity	0.014137	0.000000	nan
02_to_03	pair	0.074863	0.224181	0.963198
02_to_04	pair	0.113051	0.494671	0.979884
02_to_05	pair	0.162709	0.690909	0.979623
02_to_06	pair	0.176890	0.808607	0.981377
02_to_07	pair	0.188323	0.901013	0.983245
02_to_08	pair	0.177333	0.884449	0.985184
02_to_09	pair	0.172175	0.654559	0.969829
02_to_10	pair	0.091234	0.322335	0.964570
03_to_01	pair	0.108836	0.408781	0.972400
03_to_02	pair	0.070277	0.223766	0.963939
03_to_03	identity	0.014948	0.000000	nan
03_to_04	pair	0.069174	0.207874	0.959421
03_to_05	pair	0.111386	0.399191	0.972300
03_to_06	pair	0.120917	0.538375	0.981022
03_to_07	pair	0.142521	0.646944	0.980735
03_to_08	pair	0.139325	0.679700	0.983989
03_to_09	pair	0.153215	0.541953	0.962356
03_to_10	pair	0.120632	0.415479	0.962720
04_to_01	pair	0.132771	0.678101	0.983986
04_to_02	pair	0.098918	0.486793	0.983582
04_to_03	pair	0.063109	0.210490	0.966161
04_to_04	identity	0.014894	0.000000	nan
04_to_05	pair	0.069114	0.152192	0.926352
04_to_06	pair	0.085741	0.304661	0.970465
04_to_07	pair	0.095710	0.439972	0.980313
04_to_08	pair	0.114042	0.512630	0.980299
04_to_09	pair	0.171611	0.514451	0.936504
04_to_10	pair	0.147237	0.614008	0.974085
05_to_01	pair	0.164255	0.853821	0.984888
05_to_02	pair	0.148147	0.683321	0.983226
05_to_03	pair	0.116622	0.405852	0.974825
05_to_04	pair	0.068203	0.159057	0.935679
05_to_05	identity	0.016837	0.000000	nan
05_to_06	pair	0.060223	0.136079	0.919820
05_to_07	pair	0.073451	0.270393	0.967420
05_to_08	pair	0.107748	0.389834	0.967943
05_to_09	pair	0.184882	0.539986	0.923714
05_to_10	pair	0.170622	0.764710	0.977660
06_to_01	pair	0.172487	0.937682	0.986856
06_to_02	pair	0.160570	0.793929	0.985306
06_to_03	pair	0.132080	0.545034	0.980213
06_to_04	pair	0.092286	0.312840	0.968235
06_to_05	pair	0.057995	0.135098	0.927597
06_to_06	identity	0.015128	0.000000	nan
06_to_07	pair	0.050751	0.110508	0.925926
06_to_08	pair	0.088962	0.258402	0.953243
06_to_09	pair	0.200406	0.529718	0.916742
06_to_10	pair	0.166143	0.806051	0.981619
07_to_01	pair	0.185150	0.995438	0.987356
07_to_02	pair	0.170662	0.882252	0.986247
07_to_03	pair	0.143229	0.650171	0.982087
07_to_04	pair	0.107274	0.444509	0.975066
07_to_05	pair	0.075437	0.276634	0.967445
07_to_06	pair	0.048373	0.107052	0.929267
07_to_07	identity	0.015130	0.000000	nan
07_to_08	pair	0.070994	0.154266	0.904665
07_to_09	pair	0.179640	0.484115	0.928211
07_to_10	pair	0.157882	0.814333	0.984081
08_to_01	pair	0.175297	0.959113	0.988479
08_to_02	pair	0.163298	0.882382	0.988138
08_to_03	pair	0.147083	0.683463	0.981349
08_to_04	pair	0.129572	0.509584	0.974812
08_to_05	pair	0.120235	0.389467	0.961140
08_to_06	pair	0.099893	0.255637	0.942456
08_to_07	pair	0.071899	0.151311	0.903559
08_to_08	identity	0.015831	0.000000	nan
08_to_09	pair	0.132135	0.305621	0.916390
08_to_10	pair	0.144298	0.704635	0.983895
09_to_01	pair	0.176495	0.654446	0.967186
09_to_02	pair	0.178823	0.667191	0.968907
09_to_03	pair	0.156819	0.541201	0.960691
09_to_04	pair	0.168195	0.509608	0.942709
09_to_05	pair	0.183881	0.534531	0.930559
09_to_06	pair	0.181268	0.520197	0.936381
09_to_07	pair	0.185018	0.482468	0.929149
09_to_08	pair	0.142680	0.301752	0.900521
09_to_09	identity	0.014134	0.000000	nan
09_to_10	pair	0.138329	0.345159	0.951269
10_to_01	pair	0.077448	0.233920	0.967315
10_to_02	pair	0.090073	0.323130	0.967940
10_to_03	pair	0.112174	0.410843	0.964771
10_to_04	pair	0.149922	0.623490	0.971188
10_to_05	pair	0.183487	0.769596	0.974195
10_to_06	pair	0.181429	0.820622	0.978625
10_to_07	pair	0.174464	0.826510	0.982146
10_to_08	pair	0.153991	0.705919	0.983624
10_to_09	pair	0.143361	0.345099	0.955914
10_to_10	identity	0.014731	0.000000	nan
