pair	note	L1_pred	L1_zero	cos
01_to_01	identity	0.014272	0.000000	nan
01_to_02	pair	0.153655	0.153384	-0.020926
01_to_03	pair	0.803292	0.417549	0.690881
01_to_04	pair	1.033032	0.680004	0.750854
01_to_05	pair	1.227769	0.866464	0.739720
01_to_06	pair	1.342457	0.957712	0.702871
01_to_07	pair	1.108238	1.016436	0.618631
01_to_08	pair	0.846545	0.955212	0.600772
01_to_09	pair	0.561650	0.643421	0.616418
01_to_10	pair	0.222225	0.235750	0.567107
02_to_01	pair	0.167678	0.157055	0.262296
02_to_02	identity	0.009240	0.000000	nan
02_to_03	pair	0.211286	0.224181	0.571324
02_to_04	pair	0.615365	0.494671	0.748693
02_to_05	pair	0.854613	0.690909	0.729968
02_to_06	pair	0.967318	0.808607	0.650278
02_to_07	pair	0.877516	0.901013	0.579720
02_to_08	pair	0.803627	0.884449	0.476239
02_to_09	pair	0.629982	0.654559	0.350869
02_to_10	pair	0.442669	0.322335	0.354020
03_to_01	pair	0.779840	0.408781	0.695536
03_to_02	pair	0.237253	0.223766	0.634327
03_to_03	identity	0.001493	0.000000	nan
03_to_04	pair	0.209334	0.207874	0.039288
03_to_05	pair	0.478127	0.399191	0.597692
03_to_06	pair	0.675158	0.538375	0.507428
03_to_07	pair	0.697428	0.646944	0.377720
03_to_08	pair	0.838822	0.679700	0.069476
03_to_09	pair	0.818560	0.541953	0.224302
03_to_10	pair	0.780598	0.415479	0.595129
04_to_01	pair	1.019116	0.678101	0.737250
04_to_02	pair	0.494549	0.486793	0.702918
04_to_03	pair	0.209134	0.210490	0.146638
04_to_04	identity	0.002950	0.000000	nan
04_to_05	pair	0.153195	0.152192	-0.009839
04_to_06	pair	0.396482	0.304661	0.295929
04_to_07	pair	0.553145	0.439972	0.182193
04_to_08	pair	0.811281	0.512630	0.143710
04_to_09	pair	0.920940	0.514451	0.409113
04_to_10	pair	1.007245	0.614008	0.696271
05_to_01	pair	0.932231	0.853821	0.759834
05_to_02	pair	0.657651	0.683321	0.712586
05_to_03	pair	0.340663	0.405852	0.694789
05_to_04	pair	0.162557	0.159057	0.055181
05_to_05	identity	0.001496	0.000000	nan
05_to_06	pair	0.161075	0.136079	0.272823
05_to_07	pair	0.390692	0.270393	0.181294
05_to_08	pair	0.833562	0.389834	0.231247
05_to_09	pair	0.997918	0.539986	0.554893
05_to_10	pair	1.077054	0.764710	0.739386
06_to_01	pair	1.074556	0.937682	0.721992
06_to_02	pair	0.804684	0.793929	0.667786
06_to_03	pair	0.551521	0.545034	0.583504
06_to_04	pair	0.355076	0.312840	0.418360
06_to_05	pair	0.154018	0.135098	0.286131
06_to_06	identity	0.002288	0.000000	nan
06_to_07	pair	0.170965	0.110508	0.230452
06_to_08	pair	0.839541	0.258402	0.237183
06_to_09	pair	1.073534	0.529718	0.545082
06_to_10	pair	1.197923	0.806051	0.699229
07_to_01	pair	1.047834	0.995438	0.640651
07_to_02	pair	0.857788	0.882252	0.603649
07_to_03	pair	0.676928	0.650171	0.443806
07_to_04	pair	0.529832	0.444509	0.238445
07_to_05	pair	0.400811	0.276634	0.100576
07_to_06	pair	0.160686	0.107052	0.087687
07_to_07	identity	0.007564	0.000000	nan
07_to_08	pair	0.295039	0.154266	0.022200
07_to_09	pair	0.841222	0.484115	0.451766
07_to_10	pair	0.996427	0.814333	0.646557
08_to_01	pair	0.863955	0.959113	0.606116
08_to_02	pair	0.888557	0.882382	0.381949
08_to_03	pair	0.963272	0.683463	-0.032025
08_to_04	pair	0.951149	0.509584	0.024570
08_to_05	pair	1.007710	0.389467	0.139184
08_to_06	pair	0.998031	0.255637	0.160000
08_to_07	pair	0.254131	0.151311	0.177858
08_to_08	identity	0.000390	0.000000	nan
08_to_09	pair	0.300540	0.305621	0.510887
08_to_10	pair	0.675704	0.704635	0.560312
09_to_01	pair	0.561007	0.654446	0.618799
09_to_02	pair	0.735426	0.667191	0.180954
09_to_03	pair	0.901669	0.541201	0.122989
09_to_04	pair	1.023643	0.509608	0.353641
09_to_05	pair	1.252351	0.534531	0.449066
09_to_06	pair	1.393099	0.520197	0.432081
09_to_07	pair	1.069388	0.482468	0.318707
09_to_08	pair	0.393597	0.301752	0.274629
09_to_09	identity	0.005721	0.000000	nan
09_to_10	pair	0.375116	0.345159	0.536350
10_to_01	pair	0.202160	0.233920	0.551059
10_to_02	pair	0.681602	0.323130	0.100020
10_to_03	pair	1.155704	0.410843	0.397412
10_to_04	pair	1.404211	0.623490	0.552236
10_to_05	pair	1.748113	0.769596	0.526050
10_to_06	pair	2.036577	0.820622	0.458361
10_to_07	pair	1.949303	0.826510	0.328448
10_to_08	pair	0.888400	0.705919	0.386845
10_to_09	pair	0.398512	0.345099	0.507738
10_to_10	identity	0.001582	0.000000	nan
