[spare_mc_p2_warp_d_finetune] device=cuda train=1024 val=288 lr_g=3e-05 lr_d=1e-05
Epoch 001/30 | G=0.3376 D=0.0000 valG=0.3268 | time=0.01h
Epoch 002/30 | G=0.2102 D=0.0000 valG=0.2908 | time=0.02h
/home/abhishek/Documents/LEARN-GUI/LEARN-GUI-Python/.venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:720: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1036.)
  return F.conv3d(
Epoch 003/30 | G=0.1996 D=0.0860 valG=0.2616 | time=0.03h
Epoch 004/30 | G=0.1777 D=0.0772 valG=0.2454 | time=0.05h
Epoch 005/30 | G=0.1660 D=0.0767 valG=0.2390 | time=0.06h
Epoch 006/30 | G=0.1556 D=0.0787 valG=0.2239 | time=0.07h
Epoch 007/30 | G=0.1485 D=0.0781 valG=0.2203 | time=0.08h
Epoch 008/30 | G=0.1433 D=0.0782 valG=0.2127 | time=0.09h
Epoch 009/30 | G=0.1385 D=0.0777 valG=0.2139 | time=0.11h
Epoch 010/30 | G=0.1361 D=0.0801 valG=0.2133 | time=0.12h
Epoch 011/30 | G=0.1312 D=0.0794 valG=0.2069 | time=0.13h
Epoch 012/30 | G=0.1282 D=0.0806 valG=0.2031 | time=0.14h
Epoch 013/30 | G=0.1266 D=0.0811 valG=0.1957 | time=0.15h
Epoch 014/30 | G=0.1235 D=0.0817 valG=0.2022 | time=0.17h
Epoch 015/30 | G=0.1212 D=0.0821 valG=0.2017 | time=0.18h
Epoch 016/30 | G=0.1204 D=0.0823 valG=0.2007 | time=0.19h
Epoch 017/30 | G=0.1179 D=0.0845 valG=0.1980 | time=0.20h
Epoch 018/30 | G=0.1156 D=0.0818 valG=0.1957 | time=0.21h
Epoch 019/30 | G=0.1154 D=0.0829 valG=0.1943 | time=0.23h
Epoch 020/30 | G=0.1135 D=0.0817 valG=0.1955 | time=0.24h
Epoch 021/30 | G=0.1133 D=0.0819 valG=0.1891 | time=0.25h
Epoch 022/30 | G=0.1120 D=0.0826 valG=0.1981 | time=0.26h
Epoch 023/30 | G=0.1113 D=0.0822 valG=0.1898 | time=0.27h
Epoch 024/30 | G=0.1100 D=0.0824 valG=0.1885 | time=0.29h
Epoch 025/30 | G=0.1077 D=0.0846 valG=0.1987 | time=0.30h
Epoch 026/30 | G=0.1098 D=0.0809 valG=0.1883 | time=0.31h
Epoch 027/30 | G=0.1069 D=0.0831 valG=0.1892 | time=0.32h
Epoch 028/30 | G=0.1070 D=0.0833 valG=0.1949 | time=0.33h
Epoch 029/30 | G=0.1057 D=0.0836 valG=0.1947 | time=0.35h
Epoch 030/30 | G=0.1051 D=0.0823 valG=0.1990 | time=0.36h
finished best_val=0.188260
