ckpt=Dan'sPaperGan/weights/dans_crb_p2_warp_d_finetune_generator.pth pairs=100 out=P2/dans_gan_ft/qc
[001/100] 01_to_01 L1=0.0001 cos=nan
[002/100] 01_to_02 L1=0.0773 cos=0.9178
[003/100] 01_to_03 L1=0.1208 cos=0.9755
[004/100] 01_to_04 L1=0.1434 cos=0.9844
[005/100] 01_to_05 L1=0.1554 cos=0.9887
[006/100] 01_to_06 L1=0.1607 cos=0.9912
[007/100] 01_to_07 L1=0.1661 cos=0.9915
[008/100] 01_to_08 L1=0.1641 cos=0.9907
[009/100] 01_to_09 L1=0.1693 cos=0.9746
[010/100] 01_to_10 L1=0.0820 cos=0.9594
[011/100] 02_to_01 L1=0.0786 cos=0.9120
[012/100] 02_to_02 L1=0.0001 cos=nan
[013/100] 02_to_03 L1=0.0744 cos=0.9702
[014/100] 02_to_04 L1=0.1179 cos=0.9824
[015/100] 02_to_05 L1=0.1512 cos=0.9830
[016/100] 02_to_06 L1=0.1522 cos=0.9872
[017/100] 02_to_07 L1=0.1522 cos=0.9899
[018/100] 02_to_08 L1=0.1529 cos=0.9895
[019/100] 02_to_09 L1=0.1654 cos=0.9727
[020/100] 02_to_10 L1=0.1058 cos=0.9546
[021/100] 03_to_01 L1=0.1088 cos=0.9755
[022/100] 03_to_02 L1=0.0798 cos=0.9672
[023/100] 03_to_03 L1=0.0015 cos=nan
[024/100] 03_to_04 L1=0.0782 cos=0.9565
[025/100] 03_to_05 L1=0.1114 cos=0.9716
[026/100] 03_to_06 L1=0.1207 cos=0.9835
[027/100] 03_to_07 L1=0.1335 cos=0.9853
[028/100] 03_to_08 L1=0.1297 cos=0.9859
[029/100] 03_to_09 L1=0.1700 cos=0.9413
[030/100] 03_to_10 L1=0.1246 cos=0.9649
[031/100] 04_to_01 L1=0.1446 cos=0.9839
[032/100] 04_to_02 L1=0.1119 cos=0.9836
[033/100] 04_to_03 L1=0.0764 cos=0.9589
[034/100] 04_to_04 L1=0.0016 cos=nan
[035/100] 04_to_05 L1=0.0735 cos=0.9277
[036/100] 04_to_06 L1=0.0921 cos=0.9674
[037/100] 04_to_07 L1=0.1093 cos=0.9755
[038/100] 04_to_08 L1=0.1235 cos=0.9751
[039/100] 04_to_09 L1=0.1903 cos=0.8967
[040/100] 04_to_10 L1=0.1422 cos=0.9759
[041/100] 05_to_01 L1=0.1795 cos=0.9847
[042/100] 05_to_02 L1=0.1516 cos=0.9836
[043/100] 05_to_03 L1=0.1161 cos=0.9726
[044/100] 05_to_04 L1=0.0737 cos=0.9340
[045/100] 05_to_05 L1=0.0004 cos=nan
[046/100] 05_to_06 L1=0.0703 cos=0.9073
[047/100] 05_to_07 L1=0.1019 cos=0.9492
[048/100] 05_to_08 L1=0.1276 cos=0.9527
[049/100] 05_to_09 L1=0.2118 cos=0.8891
[050/100] 05_to_10 L1=0.1640 cos=0.9797
[051/100] 06_to_01 L1=0.1599 cos=0.9901
