ckpt=Dan'sPaperGan/weights/dans_crb_p1_full_warp_d_generator.pth pairs=100 out=P2/dans_gan/qc
[001/100] 01_to_01 L1=0.0143 cos=nan
[002/100] 01_to_02 L1=0.1537 cos=-0.0209
[003/100] 01_to_03 L1=0.8033 cos=0.6909
[004/100] 01_to_04 L1=1.0330 cos=0.7509
[005/100] 01_to_05 L1=1.2278 cos=0.7397
[006/100] 01_to_06 L1=1.3425 cos=0.7029
[007/100] 01_to_07 L1=1.1082 cos=0.6186
[008/100] 01_to_08 L1=0.8465 cos=0.6008
[009/100] 01_to_09 L1=0.5617 cos=0.6164
[010/100] 01_to_10 L1=0.2222 cos=0.5671
[011/100] 02_to_01 L1=0.1677 cos=0.2623
[012/100] 02_to_02 L1=0.0092 cos=nan
[013/100] 02_to_03 L1=0.2113 cos=0.5713
[014/100] 02_to_04 L1=0.6154 cos=0.7487
[015/100] 02_to_05 L1=0.8546 cos=0.7300
[016/100] 02_to_06 L1=0.9673 cos=0.6503
[017/100] 02_to_07 L1=0.8775 cos=0.5797
[018/100] 02_to_08 L1=0.8036 cos=0.4762
[019/100] 02_to_09 L1=0.6300 cos=0.3509
[020/100] 02_to_10 L1=0.4427 cos=0.3540
[021/100] 03_to_01 L1=0.7798 cos=0.6955
[022/100] 03_to_02 L1=0.2373 cos=0.6343
[023/100] 03_to_03 L1=0.0015 cos=nan
[024/100] 03_to_04 L1=0.2093 cos=0.0393
[025/100] 03_to_05 L1=0.4781 cos=0.5977
[026/100] 03_to_06 L1=0.6752 cos=0.5074
[027/100] 03_to_07 L1=0.6974 cos=0.3777
[028/100] 03_to_08 L1=0.8388 cos=0.0695
[029/100] 03_to_09 L1=0.8186 cos=0.2243
[030/100] 03_to_10 L1=0.7806 cos=0.5951
[031/100] 04_to_01 L1=1.0191 cos=0.7372
[032/100] 04_to_02 L1=0.4945 cos=0.7029
[033/100] 04_to_03 L1=0.2091 cos=0.1466
[034/100] 04_to_04 L1=0.0029 cos=nan
[035/100] 04_to_05 L1=0.1532 cos=-0.0098
[036/100] 04_to_06 L1=0.3965 cos=0.2959
[037/100] 04_to_07 L1=0.5531 cos=0.1822
