pair	note	L1_pred	L1_zero	cos
01_to_01	identity	0.022613	0.000000	nan
01_to_02	pair	0.164585	0.153384	0.746864
01_to_03	pair	0.563146	0.417549	0.734982
01_to_04	pair	0.745734	0.680004	0.779668
01_to_05	pair	0.867416	0.866464	0.785649
01_to_06	pair	0.974290	0.957712	0.748729
01_to_07	pair	0.937083	1.016436	0.673536
01_to_08	pair	0.906310	0.955212	0.534555
01_to_09	pair	0.643761	0.643421	0.469597
01_to_10	pair	0.249594	0.235750	0.410228
02_to_01	pair	0.187333	0.157055	0.752835
02_to_02	identity	0.025757	0.000000	nan
02_to_03	pair	0.283817	0.224181	0.624459
02_to_04	pair	0.501583	0.494671	0.706568
02_to_05	pair	0.651146	0.690909	0.724823
02_to_06	pair	0.810895	0.808607	0.672167
02_to_07	pair	0.850642	0.901013	0.604862
02_to_08	pair	0.914007	0.884449	0.378617
02_to_09	pair	0.708351	0.654559	0.328924
02_to_10	pair	0.418781	0.322335	0.511837
03_to_01	pair	0.554122	0.408781	0.754898
03_to_02	pair	0.279416	0.223766	0.656724
03_to_03	identity	0.019691	0.000000	nan
03_to_04	pair	0.161959	0.207874	0.774937
03_to_05	pair	0.344194	0.399191	0.695868
03_to_06	pair	0.543433	0.538375	0.614263
03_to_07	pair	0.652551	0.646944	0.517833
03_to_08	pair	0.832853	0.679700	0.216030
03_to_09	pair	0.753709	0.541953	0.364734
03_to_10	pair	0.629537	0.415479	0.739678
04_to_01	pair	0.687594	0.678101	0.795875
04_to_02	pair	0.476611	0.486793	0.727279
04_to_03	pair	0.156500	0.210490	0.778413
04_to_04	identity	0.017374	0.000000	nan
04_to_05	pair	0.163083	0.152192	0.601053
04_to_06	pair	0.379082	0.304661	0.465291
04_to_07	pair	0.517166	0.439972	0.370766
04_to_08	pair	0.771489	0.512630	0.237003
04_to_09	pair	0.809959	0.514451	0.516856
04_to_10	pair	0.757430	0.614008	0.796456
05_to_01	pair	0.818145	0.853821	0.787080
05_to_02	pair	0.629085	0.683321	0.727817
05_to_03	pair	0.326538	0.405852	0.709337
05_to_04	pair	0.163026	0.159057	0.573556
05_to_05	identity	0.018560	0.000000	nan
05_to_06	pair	0.182619	0.136079	0.378948
05_to_07	pair	0.368593	0.270393	0.346440
05_to_08	pair	0.775111	0.389834	0.291147
05_to_09	pair	0.879840	0.539986	0.621946
05_to_10	pair	0.862104	0.764710	0.800606
06_to_01	pair	0.915797	0.937682	0.755607
06_to_02	pair	0.755687	0.793929	0.693107
06_to_03	pair	0.509607	0.545034	0.620548
06_to_04	pair	0.354256	0.312840	0.476357
06_to_05	pair	0.177171	0.135098	0.344177
06_to_06	identity	0.020542	0.000000	nan
06_to_07	pair	0.193731	0.110508	0.268942
06_to_08	pair	0.788503	0.258402	0.287013
06_to_09	pair	0.946537	0.529718	0.620484
06_to_10	pair	0.960062	0.806051	0.766015
07_to_01	pair	0.885009	0.995438	0.685502
07_to_02	pair	0.780660	0.882252	0.612844
07_to_03	pair	0.630289	0.650171	0.482053
07_to_04	pair	0.512733	0.444509	0.340021
07_to_05	pair	0.386342	0.276634	0.278578
07_to_06	pair	0.208035	0.107052	0.187831
07_to_07	identity	0.021460	0.000000	nan
07_to_08	pair	0.304912	0.154266	0.303186
07_to_09	pair	0.699288	0.484115	0.592918
07_to_10	pair	0.789901	0.814333	0.722779
08_to_01	pair	0.885171	0.959113	0.502180
08_to_02	pair	0.900287	0.882382	0.332454
08_to_03	pair	0.885715	0.683463	0.147858
08_to_04	pair	0.848933	0.509584	0.157056
08_to_05	pair	0.849899	0.389467	0.210834
08_to_06	pair	0.840101	0.255637	0.222019
08_to_07	pair	0.346069	0.151311	0.279346
08_to_08	identity	0.021716	0.000000	nan
08_to_09	pair	0.265502	0.305621	0.549347
08_to_10	pair	0.622438	0.704635	0.560670
09_to_01	pair	0.611683	0.654446	0.491166
09_to_02	pair	0.690696	0.667191	0.332663
09_to_03	pair	0.772512	0.541201	0.325865
09_to_04	pair	0.845078	0.509608	0.468420
09_to_05	pair	0.950715	0.534531	0.558862
09_to_06	pair	1.014393	0.520197	0.566088
09_to_07	pair	0.805943	0.482468	0.519442
09_to_08	pair	0.291248	0.301752	0.498128
09_to_09	identity	0.025237	0.000000	nan
09_to_10	pair	0.319945	0.345159	0.586713
10_to_01	pair	0.226832	0.233920	0.462866
10_to_02	pair	0.408057	0.323130	0.516791
10_to_03	pair	0.659140	0.410843	0.700258
10_to_04	pair	0.806104	0.623490	0.767994
10_to_05	pair	0.921715	0.769596	0.781044
10_to_06	pair	1.002053	0.820622	0.751367
10_to_07	pair	0.883653	0.826510	0.697980
10_to_08	pair	0.637543	0.705919	0.576595
10_to_09	pair	0.326677	0.345099	0.583498
10_to_10	identity	0.030908	0.000000	nan
