[crb_dec_amp_oracle_e1] device=cuda:0 | params=1.07M trainable | shape-MSE + oracle log(r_p) | seed=20260823
[crb_dec_amp_oracle_e1] A_train_mm=7.179 | grid=data_iso 2mm 160³ | train 8640 val 480 | train=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5']
Epoch: 1 | train MSE: 0.021494 | val MSE: 0.012574 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.012327 | val MSE: 0.010684 | total time: 0 hours 5 minutes
Epoch: 3 | train MSE: 0.009109 | val MSE: 0.009368 | total time: 0 hours 8 minutes
Epoch: 4 | train MSE: 0.007011 | val MSE: 0.009434 | total time: 0 hours 11 minutes
Epoch: 5 | train MSE: 0.005772 | val MSE: 0.009433 | total time: 0 hours 14 minutes
Epoch: 6 | train MSE: 0.004841 | val MSE: 0.007656 | total time: 0 hours 17 minutes
Epoch: 7 | train MSE: 0.004044 | val MSE: 0.008172 | total time: 0 hours 20 minutes
Epoch: 8 | train MSE: 0.003512 | val MSE: 0.007874 | total time: 0 hours 23 minutes
Epoch: 9 | train MSE: 0.003162 | val MSE: 0.007444 | total time: 0 hours 26 minutes
Epoch: 10 | train MSE: 0.002926 | val MSE: 0.007582 | total time: 0 hours 30 minutes
Epoch: 11 | train MSE: 0.002694 | val MSE: 0.007482 | total time: 0 hours 33 minutes
Epoch: 12 | train MSE: 0.002520 | val MSE: 0.006914 | total time: 0 hours 36 minutes
Epoch: 13 | train MSE: 0.002395 | val MSE: 0.006392 | total time: 0 hours 39 minutes
Epoch: 14 | train MSE: 0.002258 | val MSE: 0.007274 | total time: 0 hours 42 minutes
Epoch: 15 | train MSE: 0.002160 | val MSE: 0.007038 | total time: 0 hours 46 minutes
Epoch: 16 | train MSE: 0.002047 | val MSE: 0.007288 | total time: 0 hours 49 minutes
Epoch: 17 | train MSE: 0.002009 | val MSE: 0.006192 | total time: 0 hours 52 minutes
Epoch: 18 | train MSE: 0.001927 | val MSE: 0.006743 | total time: 0 hours 55 minutes
Epoch: 19 | train MSE: 0.001887 | val MSE: 0.006030 | total time: 0 hours 59 minutes
Epoch: 20 | train MSE: 0.001771 | val MSE: 0.006928 | total time: 1 hours 2 minutes
Epoch: 21 | train MSE: 0.001795 | val MSE: 0.006337 | total time: 1 hours 5 minutes
Epoch: 22 | train MSE: 0.001676 | val MSE: 0.006587 | total time: 1 hours 8 minutes
Epoch: 23 | train MSE: 0.001649 | val MSE: 0.006470 | total time: 1 hours 12 minutes
Epoch: 24 | train MSE: 0.001621 | val MSE: 0.006020 | total time: 1 hours 15 minutes
Epoch: 25 | train MSE: 0.001617 | val MSE: 0.006010 | total time: 1 hours 18 minutes
Epoch: 26 | train MSE: 0.001557 | val MSE: 0.006207 | total time: 1 hours 21 minutes
Epoch: 27 | train MSE: 0.001555 | val MSE: 0.006027 | total time: 1 hours 25 minutes
Epoch: 28 | train MSE: 0.001488 | val MSE: 0.005478 | total time: 1 hours 28 minutes
Epoch: 29 | train MSE: 0.001468 | val MSE: 0.005840 | total time: 1 hours 32 minutes
Epoch: 30 | train MSE: 0.001441 | val MSE: 0.006026 | total time: 1 hours 36 minutes
Epoch: 31 | train MSE: 0.001431 | val MSE: 0.006267 | total time: 1 hours 39 minutes
Epoch: 32 | train MSE: 0.001431 | val MSE: 0.005600 | total time: 1 hours 43 minutes
Epoch: 33 | train MSE: 0.001373 | val MSE: 0.005949 | total time: 1 hours 46 minutes
Epoch: 34 | train MSE: 0.001338 | val MSE: 0.005586 | total time: 1 hours 49 minutes
Epoch: 35 | train MSE: 0.001341 | val MSE: 0.005867 | total time: 1 hours 53 minutes
Epoch: 36 | train MSE: 0.001314 | val MSE: 0.005978 | total time: 1 hours 56 minutes
Epoch: 37 | train MSE: 0.001288 | val MSE: 0.005738 | total time: 2 hours 0 minutes
Epoch: 38 | train MSE: 0.001299 | val MSE: 0.005719 | total time: 2 hours 3 minutes
Epoch: 39 | train MSE: 0.001252 | val MSE: 0.005617 | total time: 2 hours 7 minutes
Epoch: 40 | train MSE: 0.001270 | val MSE: 0.005505 | total time: 2 hours 10 minutes
Epoch: 41 | train MSE: 0.001245 | val MSE: 0.006124 | total time: 2 hours 14 minutes
Epoch: 42 | train MSE: 0.001240 | val MSE: 0.005984 | total time: 2 hours 17 minutes
Epoch: 43 | train MSE: 0.001220 | val MSE: 0.006161 | total time: 2 hours 21 minutes
Epoch: 44 | train MSE: 0.001194 | val MSE: 0.005805 | total time: 2 hours 24 minutes
Epoch: 45 | train MSE: 0.001184 | val MSE: 0.005865 | total time: 2 hours 28 minutes
Epoch: 46 | train MSE: 0.001183 | val MSE: 0.005721 | total time: 2 hours 31 minutes
Epoch: 47 | train MSE: 0.001161 | val MSE: 0.005854 | total time: 2 hours 34 minutes
Epoch: 48 | train MSE: 0.001162 | val MSE: 0.006080 | total time: 2 hours 37 minutes
Epoch: 49 | train MSE: 0.001164 | val MSE: 0.005842 | total time: 2 hours 40 minutes
Epoch: 50 | train MSE: 0.001142 | val MSE: 0.006453 | total time: 2 hours 44 minutes
Epoch: 51 | train MSE: 0.001128 | val MSE: 0.005571 | total time: 2 hours 47 minutes
Epoch: 52 | train MSE: 0.001111 | val MSE: 0.006204 | total time: 2 hours 50 minutes
Epoch: 53 | train MSE: 0.001103 | val MSE: 0.005802 | total time: 2 hours 53 minutes
Epoch: 54 | train MSE: 0.001104 | val MSE: 0.005766 | total time: 2 hours 56 minutes
Epoch: 55 | train MSE: 0.001081 | val MSE: 0.005822 | total time: 3 hours 0 minutes
Epoch: 56 | train MSE: 0.001085 | val MSE: 0.006620 | total time: 3 hours 3 minutes
Epoch: 57 | train MSE: 0.001066 | val MSE: 0.005624 | total time: 3 hours 6 minutes
Epoch: 58 | train MSE: 0.001065 | val MSE: 0.005486 | total time: 3 hours 9 minutes
Epoch: 59 | train MSE: 0.001078 | val MSE: 0.005279 | total time: 3 hours 12 minutes
Epoch: 60 | train MSE: 0.001038 | val MSE: 0.005343 | total time: 3 hours 16 minutes
Epoch: 61 | train MSE: 0.001057 | val MSE: 0.005392 | total time: 3 hours 19 minutes
Epoch: 62 | train MSE: 0.001029 | val MSE: 0.005945 | total time: 3 hours 22 minutes
Epoch: 63 | train MSE: 0.001021 | val MSE: 0.005561 | total time: 3 hours 25 minutes
Epoch: 64 | train MSE: 0.001023 | val MSE: 0.005851 | total time: 3 hours 29 minutes
Epoch: 65 | train MSE: 0.001005 | val MSE: 0.005518 | total time: 3 hours 32 minutes
Epoch: 66 | train MSE: 0.001010 | val MSE: 0.005339 | total time: 3 hours 35 minutes
Epoch: 67 | train MSE: 0.000999 | val MSE: 0.005559 | total time: 3 hours 38 minutes
Epoch: 68 | train MSE: 0.000984 | val MSE: 0.005647 | total time: 3 hours 41 minutes
Epoch: 69 | train MSE: 0.000984 | val MSE: 0.005332 | total time: 3 hours 45 minutes
Epoch: 70 | train MSE: 0.000991 | val MSE: 0.005632 | total time: 3 hours 48 minutes
Epoch: 71 | train MSE: 0.000987 | val MSE: 0.005668 | total time: 3 hours 51 minutes
Epoch: 72 | train MSE: 0.000973 | val MSE: 0.005657 | total time: 3 hours 54 minutes
Epoch: 73 | train MSE: 0.000965 | val MSE: 0.005642 | total time: 3 hours 57 minutes
Epoch: 74 | train MSE: 0.000957 | val MSE: 0.005552 | total time: 4 hours 1 minutes
Epoch: 75 | train MSE: 0.000948 | val MSE: 0.005763 | total time: 4 hours 4 minutes
Epoch: 76 | train MSE: 0.000950 | val MSE: 0.005753 | total time: 4 hours 7 minutes
Epoch: 77 | train MSE: 0.000946 | val MSE: 0.005527 | total time: 4 hours 10 minutes
Epoch: 78 | train MSE: 0.000948 | val MSE: 0.005524 | total time: 4 hours 13 minutes
Epoch: 79 | train MSE: 0.000941 | val MSE: 0.005584 | total time: 4 hours 17 minutes
Epoch: 80 | train MSE: 0.000918 | val MSE: 0.005453 | total time: 4 hours 20 minutes
Epoch: 81 | train MSE: 0.000925 | val MSE: 0.005322 | total time: 4 hours 23 minutes
Epoch: 82 | train MSE: 0.000923 | val MSE: 0.005375 | total time: 4 hours 26 minutes
Epoch: 83 | train MSE: 0.000912 | val MSE: 0.005683 | total time: 4 hours 29 minutes
Epoch: 84 | train MSE: 0.000916 | val MSE: 0.005486 | total time: 4 hours 33 minutes
Epoch: 85 | train MSE: 0.000888 | val MSE: 0.005311 | total time: 4 hours 36 minutes
Epoch: 86 | train MSE: 0.000909 | val MSE: 0.005839 | total time: 4 hours 39 minutes
Epoch: 87 | train MSE: 0.000899 | val MSE: 0.005558 | total time: 4 hours 42 minutes
