[crb_dec_a1_normonly_e2] device=cuda:0 | params=1.07M trainable | shape-MSE + log(r̂)=0 (A1) | seed=20260823
[crb_dec_a1_normonly_e2] A_train_mm=7.179 | infer_scale=A_train_mean | grid=data_iso 2mm 160³ | train 8640 val 480 | train=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5']
Epoch: 1 | train MSE: 0.021993 | val MSE: 0.012422 | total time: 0 hours 3 minutes
Epoch: 2 | train MSE: 0.013376 | val MSE: 0.012189 | total time: 0 hours 6 minutes
Epoch: 3 | train MSE: 0.009880 | val MSE: 0.011546 | total time: 0 hours 9 minutes
Epoch: 4 | train MSE: 0.007559 | val MSE: 0.009405 | total time: 0 hours 12 minutes
Epoch: 5 | train MSE: 0.006217 | val MSE: 0.010789 | total time: 0 hours 16 minutes
Epoch: 6 | train MSE: 0.005293 | val MSE: 0.008315 | total time: 0 hours 19 minutes
Epoch: 7 | train MSE: 0.004506 | val MSE: 0.009041 | total time: 0 hours 22 minutes
Epoch: 8 | train MSE: 0.003846 | val MSE: 0.008001 | total time: 0 hours 25 minutes
Epoch: 9 | train MSE: 0.003457 | val MSE: 0.008411 | total time: 0 hours 28 minutes
Epoch: 10 | train MSE: 0.003137 | val MSE: 0.007812 | total time: 0 hours 32 minutes
Epoch: 11 | train MSE: 0.002845 | val MSE: 0.007269 | total time: 0 hours 35 minutes
Epoch: 12 | train MSE: 0.002684 | val MSE: 0.007276 | total time: 0 hours 39 minutes
Epoch: 13 | train MSE: 0.002500 | val MSE: 0.007427 | total time: 0 hours 42 minutes
Epoch: 14 | train MSE: 0.002393 | val MSE: 0.008025 | total time: 0 hours 46 minutes
Epoch: 15 | train MSE: 0.002273 | val MSE: 0.006575 | total time: 0 hours 49 minutes
Epoch: 16 | train MSE: 0.002201 | val MSE: 0.006193 | total time: 0 hours 53 minutes
Epoch: 17 | train MSE: 0.002110 | val MSE: 0.006867 | total time: 0 hours 56 minutes
Epoch: 18 | train MSE: 0.002042 | val MSE: 0.007104 | total time: 1 hours 0 minutes
Epoch: 19 | train MSE: 0.001957 | val MSE: 0.005880 | total time: 1 hours 3 minutes
Epoch: 20 | train MSE: 0.001867 | val MSE: 0.006808 | total time: 1 hours 7 minutes
Epoch: 21 | train MSE: 0.001846 | val MSE: 0.006435 | total time: 1 hours 10 minutes
Epoch: 22 | train MSE: 0.001764 | val MSE: 0.006267 | total time: 1 hours 14 minutes
Epoch: 23 | train MSE: 0.001731 | val MSE: 0.006434 | total time: 1 hours 17 minutes
Epoch: 24 | train MSE: 0.001682 | val MSE: 0.005819 | total time: 1 hours 21 minutes
Epoch: 25 | train MSE: 0.001668 | val MSE: 0.006233 | total time: 1 hours 24 minutes
Epoch: 26 | train MSE: 0.001590 | val MSE: 0.006206 | total time: 1 hours 28 minutes
Epoch: 27 | train MSE: 0.001584 | val MSE: 0.006140 | total time: 1 hours 31 minutes
Epoch: 28 | train MSE: 0.001534 | val MSE: 0.006516 | total time: 1 hours 35 minutes
Epoch: 29 | train MSE: 0.001508 | val MSE: 0.006789 | total time: 1 hours 38 minutes
Epoch: 30 | train MSE: 0.001480 | val MSE: 0.006143 | total time: 1 hours 42 minutes
Epoch: 31 | train MSE: 0.001451 | val MSE: 0.005937 | total time: 1 hours 45 minutes
Epoch: 32 | train MSE: 0.001443 | val MSE: 0.005817 | total time: 1 hours 49 minutes
Epoch: 33 | train MSE: 0.001394 | val MSE: 0.006089 | total time: 1 hours 52 minutes
Epoch: 34 | train MSE: 0.001384 | val MSE: 0.006221 | total time: 1 hours 56 minutes
Epoch: 35 | train MSE: 0.001373 | val MSE: 0.005686 | total time: 1 hours 59 minutes
Epoch: 36 | train MSE: 0.001339 | val MSE: 0.006107 | total time: 2 hours 3 minutes
Epoch: 37 | train MSE: 0.001314 | val MSE: 0.005349 | total time: 2 hours 6 minutes
Epoch: 38 | train MSE: 0.001310 | val MSE: 0.005285 | total time: 2 hours 10 minutes
Epoch: 39 | train MSE: 0.001283 | val MSE: 0.005531 | total time: 2 hours 13 minutes
Epoch: 40 | train MSE: 0.001284 | val MSE: 0.005193 | total time: 2 hours 17 minutes
Epoch: 41 | train MSE: 0.001265 | val MSE: 0.005333 | total time: 2 hours 21 minutes
Epoch: 42 | train MSE: 0.001270 | val MSE: 0.005403 | total time: 2 hours 24 minutes
Epoch: 43 | train MSE: 0.001252 | val MSE: 0.005618 | total time: 2 hours 28 minutes
Epoch: 44 | train MSE: 0.001224 | val MSE: 0.005231 | total time: 2 hours 31 minutes
Epoch: 45 | train MSE: 0.001216 | val MSE: 0.004967 | total time: 2 hours 35 minutes
Epoch: 46 | train MSE: 0.001199 | val MSE: 0.005020 | total time: 2 hours 38 minutes
Epoch: 47 | train MSE: 0.001177 | val MSE: 0.005101 | total time: 2 hours 42 minutes
Epoch: 48 | train MSE: 0.001172 | val MSE: 0.005175 | total time: 2 hours 45 minutes
Epoch: 49 | train MSE: 0.001186 | val MSE: 0.005774 | total time: 2 hours 49 minutes
Epoch: 50 | train MSE: 0.001175 | val MSE: 0.005606 | total time: 2 hours 52 minutes
Epoch: 51 | train MSE: 0.001144 | val MSE: 0.005109 | total time: 2 hours 56 minutes
Epoch: 52 | train MSE: 0.001118 | val MSE: 0.005916 | total time: 2 hours 59 minutes
Epoch: 53 | train MSE: 0.001121 | val MSE: 0.005449 | total time: 3 hours 3 minutes
Epoch: 54 | train MSE: 0.001120 | val MSE: 0.005945 | total time: 3 hours 6 minutes
Epoch: 55 | train MSE: 0.001103 | val MSE: 0.005569 | total time: 3 hours 10 minutes
Epoch: 56 | train MSE: 0.001098 | val MSE: 0.005042 | total time: 3 hours 13 minutes
Epoch: 57 | train MSE: 0.001085 | val MSE: 0.005231 | total time: 3 hours 17 minutes
Epoch: 58 | train MSE: 0.001086 | val MSE: 0.005417 | total time: 3 hours 20 minutes
Epoch: 59 | train MSE: 0.001105 | val MSE: 0.004997 | total time: 3 hours 24 minutes
Epoch: 60 | train MSE: 0.001059 | val MSE: 0.005950 | total time: 3 hours 27 minutes
Epoch: 61 | train MSE: 0.001077 | val MSE: 0.005531 | total time: 3 hours 31 minutes
Epoch: 62 | train MSE: 0.001047 | val MSE: 0.005044 | total time: 3 hours 34 minutes
Epoch: 63 | train MSE: 0.001054 | val MSE: 0.004861 | total time: 3 hours 38 minutes
Epoch: 64 | train MSE: 0.001068 | val MSE: 0.006117 | total time: 3 hours 41 minutes
Epoch: 65 | train MSE: 0.001022 | val MSE: 0.005239 | total time: 3 hours 45 minutes
Epoch: 66 | train MSE: 0.001026 | val MSE: 0.005025 | total time: 3 hours 48 minutes
Epoch: 67 | train MSE: 0.001028 | val MSE: 0.005656 | total time: 3 hours 52 minutes
Epoch: 68 | train MSE: 0.001013 | val MSE: 0.005259 | total time: 3 hours 56 minutes
Epoch: 69 | train MSE: 0.001003 | val MSE: 0.004839 | total time: 3 hours 59 minutes
Epoch: 70 | train MSE: 0.001010 | val MSE: 0.005155 | total time: 4 hours 3 minutes
Epoch: 71 | train MSE: 0.001032 | val MSE: 0.004784 | total time: 4 hours 6 minutes
Epoch: 72 | train MSE: 0.000999 | val MSE: 0.005245 | total time: 4 hours 10 minutes
Epoch: 73 | train MSE: 0.000989 | val MSE: 0.005018 | total time: 4 hours 13 minutes
Epoch: 74 | train MSE: 0.000987 | val MSE: 0.005175 | total time: 4 hours 17 minutes
Epoch: 75 | train MSE: 0.000985 | val MSE: 0.005033 | total time: 4 hours 20 minutes
Epoch: 76 | train MSE: 0.000979 | val MSE: 0.005132 | total time: 4 hours 24 minutes
Epoch: 77 | train MSE: 0.000978 | val MSE: 0.005347 | total time: 4 hours 27 minutes
Epoch: 78 | train MSE: 0.000978 | val MSE: 0.004988 | total time: 4 hours 31 minutes
Epoch: 79 | train MSE: 0.000969 | val MSE: 0.005607 | total time: 4 hours 34 minutes
Epoch: 80 | train MSE: 0.000960 | val MSE: 0.005613 | total time: 4 hours 38 minutes
Epoch: 81 | train MSE: 0.000958 | val MSE: 0.005009 | total time: 4 hours 41 minutes
Epoch: 82 | train MSE: 0.000952 | val MSE: 0.004884 | total time: 4 hours 45 minutes
Epoch: 83 | train MSE: 0.000932 | val MSE: 0.005041 | total time: 4 hours 48 minutes
Epoch: 84 | train MSE: 0.000957 | val MSE: 0.005398 | total time: 4 hours 52 minutes
Epoch: 85 | train MSE: 0.000930 | val MSE: 0.005661 | total time: 4 hours 55 minutes
Epoch: 86 | train MSE: 0.000929 | val MSE: 0.005544 | total time: 4 hours 59 minutes
Epoch: 87 | train MSE: 0.000933 | val MSE: 0.005448 | total time: 5 hours 2 minutes
Epoch: 88 | train MSE: 0.000910 | val MSE: 0.005096 | total time: 5 hours 6 minutes
Epoch: 89 | train MSE: 0.000938 | val MSE: 0.005199 | total time: 5 hours 9 minutes
Epoch: 90 | train MSE: 0.000920 | val MSE: 0.004986 | total time: 5 hours 13 minutes
Epoch: 91 | train MSE: 0.000913 | val MSE: 0.005123 | total time: 5 hours 16 minutes
Epoch: 92 | train MSE: 0.000912 | val MSE: 0.004896 | total time: 5 hours 20 minutes
Epoch: 93 | train MSE: 0.000904 | val MSE: 0.005054 | total time: 5 hours 23 minutes
Epoch: 94 | train MSE: 0.000913 | val MSE: 0.005142 | total time: 5 hours 27 minutes
Epoch: 95 | train MSE: 0.000885 | val MSE: 0.005523 | total time: 5 hours 30 minutes
Epoch: 96 | train MSE: 0.000899 | val MSE: 0.005142 | total time: 5 hours 34 minutes
Epoch: 97 | train MSE: 0.000890 | val MSE: 0.005204 | total time: 5 hours 37 minutes
Epoch: 98 | train MSE: 0.000882 | val MSE: 0.005022 | total time: 5 hours 41 minutes
Epoch: 99 | train MSE: 0.000889 | val MSE: 0.005576 | total time: 5 hours 45 minutes
Epoch: 100 | train MSE: 0.000884 | val MSE: 0.005554 | total time: 5 hours 48 minutes
finished best_val_mse=0.004784
