pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.005783	0.000000	578277.837485	nan	nan
01_to_02	pair	0.271835	0.283223	0.959793	0.3224245309829712	0.22848375141620636
01_to_03	pair	0.625614	0.660861	0.946665	0.4669797718524933	0.41716083884239197
01_to_04	pair	1.008793	1.085606	0.929244	0.4626825749874115	0.41519325971603394
01_to_05	pair	1.372777	1.570012	0.874374	0.541351854801178	0.3816210627555847
01_to_06	pair	1.506661	1.730101	0.870851	0.5347124338150024	0.3640980124473572
01_to_07	pair	1.324285	1.504791	0.880046	0.5285593271255493	0.3151113986968994
01_to_08	pair	1.014702	1.185815	0.855700	0.5635902285575867	0.30092716217041016
01_to_09	pair	0.652403	0.712774	0.915301	0.47511836886405945	0.17336530983448029
01_to_10	pair	0.273029	0.287970	0.948117	0.4416062533855438	0.10160435736179352
02_to_01	pair	0.261520	0.285222	0.916899	0.36335062980651855	0.30607128143310547
02_to_02	identity	0.006276	0.000000	627553.137019	nan	nan
02_to_03	pair	0.392653	0.414510	0.947270	0.447653204202652	0.263155996799469
02_to_04	pair	0.878341	0.938574	0.935825	0.4696563184261322	0.20057296752929688
02_to_05	pair	1.292060	1.432481	0.901973	0.525090217590332	0.24644111096858978
02_to_06	pair	1.482527	1.646454	0.900436	0.5131919980049133	0.24472340941429138
02_to_07	pair	1.349601	1.485985	0.908220	0.47179996967315674	0.22433213889598846
02_to_08	pair	1.057364	1.176280	0.898904	0.4797796905040741	0.2108197659254074
02_to_09	pair	0.740400	0.798624	0.927094	0.4240074157714844	0.16416725516319275
02_to_10	pair	0.471227	0.479502	0.982742	0.007758901454508305	0.14100375771522522
03_to_01	pair	0.573363	0.669161	0.856838	0.5797190070152283	0.3968315124511719
03_to_02	pair	0.403224	0.410394	0.982529	0.3840263783931732	0.22911429405212402
03_to_03	identity	0.006733	0.000000	673288.060352	nan	nan
03_to_04	pair	0.469954	0.481606	0.975807	0.45760518312454224	0.05366791412234306
03_to_05	pair	1.020582	1.036899	0.984264	0.20310565829277039	0.06663838773965836
03_to_06	pair	1.224514	1.270660	0.963684	0.3633556663990021	0.10074445605278015
03_to_07	pair	1.069820	1.154727	0.926470	0.46640440821647644	0.14472323656082153
03_to_08	pair	0.787047	0.835814	0.941653	0.4107586443424225	0.1536998450756073
03_to_09	pair	0.698416	0.733434	0.952255	0.34786108136177063	0.16479042172431946
03_to_10	pair	0.628614	0.702845	0.894385	0.5144893527030945	0.33588549494743347
04_to_01	pair	1.015687	1.132895	0.896541	0.5018340945243835	0.3694823086261749
04_to_02	pair	0.872333	0.931834	0.936146	0.41433191299438477	0.18593564629554749
04_to_03	pair	0.445915	0.458508	0.972535	0.24571402370929718	0.1090698167681694
04_to_04	identity	0.004108	0.000000	410758.750513	nan	nan
04_to_05	pair	0.396963	0.404221	0.982046	0.3578815460205078	0.041841622442007065
04_to_06	pair	0.649647	0.660158	0.984078	0.1674569696187973	0.07237151265144348
04_to_07	pair	0.640592	0.656082	0.976390	0.25369638204574585	0.1302078813314438
