[crb_both_mse_full_spare] device=cuda:0 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=encoder+decoder | seed=20260824
[crb_both_mse_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.478606 | val MSE: 0.278017 | total time: 0 hours 3 minutes
Epoch: 2 | train MSE: 0.285881 | val MSE: 0.230635 | total time: 0 hours 7 minutes
Epoch: 3 | train MSE: 0.210060 | val MSE: 0.184289 | total time: 0 hours 11 minutes
Epoch: 4 | train MSE: 0.164839 | val MSE: 0.137654 | total time: 0 hours 14 minutes
Epoch: 5 | train MSE: 0.136405 | val MSE: 0.133405 | total time: 0 hours 18 minutes
Epoch: 6 | train MSE: 0.112724 | val MSE: 0.100361 | total time: 0 hours 22 minutes
Epoch: 7 | train MSE: 0.096488 | val MSE: 0.094106 | total time: 0 hours 26 minutes
Epoch: 8 | train MSE: 0.083017 | val MSE: 0.092478 | total time: 0 hours 30 minutes
Epoch: 9 | train MSE: 0.073308 | val MSE: 0.077515 | total time: 0 hours 35 minutes
Epoch: 10 | train MSE: 0.067747 | val MSE: 0.086831 | total time: 0 hours 38 minutes
Epoch: 11 | train MSE: 0.061579 | val MSE: 0.079720 | total time: 0 hours 43 minutes
Epoch: 12 | train MSE: 0.056991 | val MSE: 0.068073 | total time: 0 hours 47 minutes
Epoch: 13 | train MSE: 0.053191 | val MSE: 0.059404 | total time: 0 hours 51 minutes
Epoch: 14 | train MSE: 0.049861 | val MSE: 0.064255 | total time: 0 hours 55 minutes
Epoch: 15 | train MSE: 0.047856 | val MSE: 0.063890 | total time: 1 hours 0 minutes
Epoch: 16 | train MSE: 0.045688 | val MSE: 0.050900 | total time: 1 hours 4 minutes
Epoch: 17 | train MSE: 0.043526 | val MSE: 0.058266 | total time: 1 hours 8 minutes
Epoch: 18 | train MSE: 0.042362 | val MSE: 0.059391 | total time: 1 hours 12 minutes
Epoch: 19 | train MSE: 0.040371 | val MSE: 0.049247 | total time: 1 hours 17 minutes
Epoch: 20 | train MSE: 0.038653 | val MSE: 0.049254 | total time: 1 hours 21 minutes
Epoch: 21 | train MSE: 0.037624 | val MSE: 0.053384 | total time: 1 hours 24 minutes
Epoch: 22 | train MSE: 0.036296 | val MSE: 0.048195 | total time: 1 hours 28 minutes
Epoch: 23 | train MSE: 0.035480 | val MSE: 0.045833 | total time: 1 hours 32 minutes
Epoch: 24 | train MSE: 0.035168 | val MSE: 0.043055 | total time: 1 hours 35 minutes
Epoch: 25 | train MSE: 0.033486 | val MSE: 0.045756 | total time: 1 hours 39 minutes
Epoch: 26 | train MSE: 0.032889 | val MSE: 0.042729 | total time: 1 hours 43 minutes
Epoch: 27 | train MSE: 0.032701 | val MSE: 0.044467 | total time: 1 hours 47 minutes
Epoch: 28 | train MSE: 0.031657 | val MSE: 0.046225 | total time: 1 hours 51 minutes
Epoch: 29 | train MSE: 0.031176 | val MSE: 0.041614 | total time: 1 hours 56 minutes
Epoch: 30 | train MSE: 0.030366 | val MSE: 0.041124 | total time: 2 hours 0 minutes
Epoch: 31 | train MSE: 0.029919 | val MSE: 0.041777 | total time: 2 hours 4 minutes
Epoch: 32 | train MSE: 0.029434 | val MSE: 0.041758 | total time: 2 hours 9 minutes
Epoch: 33 | train MSE: 0.029189 | val MSE: 0.040314 | total time: 2 hours 13 minutes
Epoch: 34 | train MSE: 0.028152 | val MSE: 0.040479 | total time: 2 hours 18 minutes
Epoch: 35 | train MSE: 0.027723 | val MSE: 0.039824 | total time: 2 hours 23 minutes
Epoch: 36 | train MSE: 0.027839 | val MSE: 0.041680 | total time: 2 hours 27 minutes
Epoch: 37 | train MSE: 0.027285 | val MSE: 0.039262 | total time: 2 hours 32 minutes
Epoch: 38 | train MSE: 0.026768 | val MSE: 0.038785 | total time: 2 hours 36 minutes
Epoch: 39 | train MSE: 0.026562 | val MSE: 0.040331 | total time: 2 hours 41 minutes
Epoch: 40 | train MSE: 0.026211 | val MSE: 0.038816 | total time: 2 hours 46 minutes
Epoch: 41 | train MSE: 0.025853 | val MSE: 0.037776 | total time: 2 hours 50 minutes
Epoch: 42 | train MSE: 0.025455 | val MSE: 0.038224 | total time: 2 hours 55 minutes
Epoch: 43 | train MSE: 0.025060 | val MSE: 0.034188 | total time: 2 hours 59 minutes
Epoch: 44 | train MSE: 0.024849 | val MSE: 0.035589 | total time: 3 hours 3 minutes
Epoch: 45 | train MSE: 0.024480 | val MSE: 0.034830 | total time: 3 hours 8 minutes
Epoch: 46 | train MSE: 0.023849 | val MSE: 0.037048 | total time: 3 hours 12 minutes
Epoch: 47 | train MSE: 0.024042 | val MSE: 0.035913 | total time: 3 hours 16 minutes
Epoch: 48 | train MSE: 0.023549 | val MSE: 0.034505 | total time: 3 hours 20 minutes
Epoch: 49 | train MSE: 0.023348 | val MSE: 0.035789 | total time: 3 hours 24 minutes
Epoch: 50 | train MSE: 0.023299 | val MSE: 0.037578 | total time: 3 hours 28 minutes
Epoch: 51 | train MSE: 0.022732 | val MSE: 0.037243 | total time: 3 hours 33 minutes
Epoch: 52 | train MSE: 0.022834 | val MSE: 0.036706 | total time: 3 hours 39 minutes
Epoch: 53 | train MSE: 0.022791 | val MSE: 0.033221 | total time: 3 hours 45 minutes
Epoch: 54 | train MSE: 0.022342 | val MSE: 0.035885 | total time: 3 hours 50 minutes
Epoch: 55 | train MSE: 0.021884 | val MSE: 0.034013 | total time: 3 hours 56 minutes
Epoch: 56 | train MSE: 0.021878 | val MSE: 0.038623 | total time: 4 hours 1 minutes
Epoch: 57 | train MSE: 0.021577 | val MSE: 0.035532 | total time: 4 hours 7 minutes
Epoch: 58 | train MSE: 0.021383 | val MSE: 0.033188 | total time: 4 hours 13 minutes
Epoch: 59 | train MSE: 0.021203 | val MSE: 0.032181 | total time: 4 hours 18 minutes
Epoch: 60 | train MSE: 0.020975 | val MSE: 0.032611 | total time: 4 hours 24 minutes
Epoch: 61 | train MSE: 0.020695 | val MSE: 0.034631 | total time: 4 hours 30 minutes
Epoch: 62 | train MSE: 0.020486 | val MSE: 0.033164 | total time: 4 hours 35 minutes
Epoch: 63 | train MSE: 0.020533 | val MSE: 0.031876 | total time: 4 hours 41 minutes
Epoch: 64 | train MSE: 0.020448 | val MSE: 0.032117 | total time: 4 hours 47 minutes
Epoch: 65 | train MSE: 0.020486 | val MSE: 0.032236 | total time: 4 hours 53 minutes
Epoch: 66 | train MSE: 0.019866 | val MSE: 0.033570 | total time: 4 hours 58 minutes
Epoch: 67 | train MSE: 0.019806 | val MSE: 0.033456 | total time: 5 hours 4 minutes
Epoch: 68 | train MSE: 0.019874 | val MSE: 0.033648 | total time: 5 hours 10 minutes
Epoch: 69 | train MSE: 0.019824 | val MSE: 0.031902 | total time: 5 hours 15 minutes
Epoch: 70 | train MSE: 0.019333 | val MSE: 0.030166 | total time: 5 hours 21 minutes
Epoch: 71 | train MSE: 0.019417 | val MSE: 0.031155 | total time: 5 hours 26 minutes
Epoch: 72 | train MSE: 0.019002 | val MSE: 0.030565 | total time: 5 hours 32 minutes
Epoch: 73 | train MSE: 0.019106 | val MSE: 0.029880 | total time: 5 hours 38 minutes
Epoch: 74 | train MSE: 0.019017 | val MSE: 0.030373 | total time: 5 hours 43 minutes
Epoch: 75 | train MSE: 0.018526 | val MSE: 0.030138 | total time: 5 hours 49 minutes
Epoch: 76 | train MSE: 0.018396 | val MSE: 0.029505 | total time: 5 hours 55 minutes
Epoch: 77 | train MSE: 0.018546 | val MSE: 0.031144 | total time: 6 hours 0 minutes
Epoch: 78 | train MSE: 0.018380 | val MSE: 0.034497 | total time: 6 hours 6 minutes
Epoch: 79 | train MSE: 0.018449 | val MSE: 0.031822 | total time: 6 hours 12 minutes
Epoch: 80 | train MSE: 0.018048 | val MSE: 0.029715 | total time: 6 hours 17 minutes
Epoch: 81 | train MSE: 0.018101 | val MSE: 0.029762 | total time: 6 hours 23 minutes
Epoch: 82 | train MSE: 0.018019 | val MSE: 0.030216 | total time: 6 hours 29 minutes
Epoch: 83 | train MSE: 0.017664 | val MSE: 0.030003 | total time: 6 hours 34 minutes
Epoch: 84 | train MSE: 0.017916 | val MSE: 0.032871 | total time: 6 hours 40 minutes
Epoch: 85 | train MSE: 0.017586 | val MSE: 0.029144 | total time: 6 hours 46 minutes
Epoch: 86 | train MSE: 0.017524 | val MSE: 0.029992 | total time: 6 hours 51 minutes
Epoch: 87 | train MSE: 0.017279 | val MSE: 0.030398 | total time: 6 hours 57 minutes
Epoch: 88 | train MSE: 0.017449 | val MSE: 0.030153 | total time: 7 hours 2 minutes
Epoch: 89 | train MSE: 0.017320 | val MSE: 0.028445 | total time: 7 hours 8 minutes
Epoch: 90 | train MSE: 0.017095 | val MSE: 0.028771 | total time: 7 hours 14 minutes
Epoch: 91 | train MSE: 0.016872 | val MSE: 0.030584 | total time: 7 hours 19 minutes
Epoch: 92 | train MSE: 0.016795 | val MSE: 0.028043 | total time: 7 hours 25 minutes
Epoch: 93 | train MSE: 0.016996 | val MSE: 0.029571 | total time: 7 hours 31 minutes
Epoch: 94 | train MSE: 0.016704 | val MSE: 0.028970 | total time: 7 hours 36 minutes
Epoch: 95 | train MSE: 0.016735 | val MSE: 0.028670 | total time: 7 hours 42 minutes
Epoch: 96 | train MSE: 0.016457 | val MSE: 0.028793 | total time: 7 hours 48 minutes
Epoch: 97 | train MSE: 0.016444 | val MSE: 0.030434 | total time: 7 hours 53 minutes
Epoch: 98 | train MSE: 0.016322 | val MSE: 0.028436 | total time: 7 hours 59 minutes
Epoch: 99 | train MSE: 0.016226 | val MSE: 0.027496 | total time: 8 hours 4 minutes
Epoch: 100 | train MSE: 0.016168 | val MSE: 0.027670 | total time: 8 hours 10 minutes
finished best_val_mse=0.027496
