pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.014786	0.000000	1478633.750230	nan	nan
01_to_02	pair	0.448602	0.447823	1.001740	0.37449249625205994	0.13520555198192596
01_to_03	pair	0.820577	0.829436	0.989320	0.2309434860944748	0.1995927095413208
01_to_04	pair	1.116753	1.134359	0.984479	0.20941181480884552	0.21182866394519806
01_to_05	pair	1.364426	1.376533	0.991205	0.25262266397476196	0.1980307400226593
01_to_06	pair	1.456038	1.480060	0.983769	0.27847468852996826	0.2160986363887787
01_to_07	pair	0.998866	1.025722	0.973818	0.2636563181877136	0.28294265270233154
01_to_08	pair	0.588226	0.578338	1.017097	0.16682884097099304	0.3710355758666992
01_to_09	pair	0.464319	0.449939	1.031962	0.02000805363059044	0.309504896402359
01_to_10	pair	0.335827	0.327701	1.024798	-0.03468991070985794	0.17651383578777313
02_to_01	pair	0.428129	0.431501	0.992185	0.3264424502849579	0.12104083597660065
02_to_02	identity	0.009579	0.000000	957870.204002	nan	nan
02_to_03	pair	0.336570	0.339877	0.990271	0.12194611132144928	0.2716696262359619
02_to_04	pair	0.658387	0.666204	0.988267	0.1681348830461502	0.26397454738616943
02_to_05	pair	0.936022	0.961574	0.973427	0.22189325094223022	0.22731919586658478
02_to_06	pair	1.088444	1.120894	0.971050	0.21666505932807922	0.21541646122932434
02_to_07	pair	0.886263	0.893062	0.992386	0.172520250082016	0.22809797525405884
02_to_08	pair	0.811699	0.817818	0.992517	0.08185906708240509	0.17589664459228516
02_to_09	pair	0.952780	0.964438	0.987911	0.13980281352996826	0.10629567503929138
02_to_10	pair	0.848447	0.864478	0.981456	0.3115552067756653	0.08895052969455719
03_to_01	pair	0.737415	0.767947	0.960242	0.3387835621833801	0.18865278363227844
03_to_02	pair	0.340552	0.335414	1.015319	-0.005982900038361549	0.2077321708202362
03_to_03	identity	0.008012	0.000000	801247.917116	nan	nan
03_to_04	pair	0.273815	0.278028	0.984845	0.19263523817062378	0.17363812029361725
03_to_05	pair	0.633342	0.634077	0.998842	0.1722666323184967	0.1422441154718399
03_to_06	pair	0.837252	0.843818	0.992219	0.16762225329875946	0.14911574125289917
03_to_07	pair	0.887695	0.892369	0.994763	0.15038470923900604	0.13240069150924683
03_to_08	pair	1.012092	1.030794	0.981857	0.21484829485416412	0.10909043997526169
03_to_09	pair	1.198285	1.225291	0.977959	0.3091573119163513	0.1206163838505745
03_to_10	pair	1.095086	1.136707	0.963384	0.419573575258255	0.15893849730491638
04_to_01	pair	1.004749	1.034637	0.971113	0.24597513675689697	0.22516681253910065
04_to_02	pair	0.635271	0.631874	1.005376	0.08466216921806335	0.21154694259166718
04_to_03	pair	0.274489	0.269645	1.017962	0.017299825325608253	0.196483314037323
04_to_04	identity	0.006850	0.000000	684971.688315	nan	nan
04_to_05	pair	0.356552	0.355905	1.001817	0.031741730868816376	0.08214975148439407
04_to_06	pair	0.579062	0.581101	0.996492	0.1661488115787506	0.09890782088041306
04_to_07	pair	0.703260	0.710622	0.989641	0.20118604600429535	0.10983219742774963
04_to_08	pair	1.010571	1.039110	0.972535	0.35435914993286133	0.12103909999132156
04_to_09	pair	1.375981	1.421536	0.967954	0.41884148120880127	0.13182570040225983
04_to_10	pair	1.292054	1.331572	0.970323	0.3607989549636841	0.17344354093074799
05_to_01	pair	1.247106	1.297444	0.961202	0.3510376214981079	0.2464810311794281
05_to_02	pair	0.888508	0.901576	0.985506	0.1766907423734665	0.23335202038288116
05_to_03	pair	0.604823	0.604926	0.999830	0.17064626514911652	0.16437163949012756
05_to_04	pair	0.324001	0.328734	0.985601	0.2509881854057312	0.12460191547870636
05_to_05	identity	0.007022	0.000000	702157.383785	nan	nan
05_to_06	pair	0.281586	0.280411	1.004192	0.09021326899528503	0.07222796231508255
05_to_07	pair	0.657970	0.665005	0.989422	0.20453520119190216	0.09116477519273758
05_to_08	pair	1.127732	1.163844	0.968972	0.4752544164657593	0.1263245940208435
05_to_09	pair	1.484247	1.540992	0.963176	0.5267713665962219	0.1502271145582199
05_to_10	pair	1.566006	1.628747	0.961479	0.5044940114021301	0.18661098182201385
06_to_01	pair	1.317691	1.360525	0.968517	0.2964629828929901	0.21976213157176971
06_to_02	pair	1.053756	1.048733	1.004790	0.07700001448392868	0.20434081554412842
06_to_03	pair	0.805291	0.797957	1.009191	0.0640484020113945	0.16510383784770966
06_to_04	pair	0.560074	0.560302	0.999594	0.09510580450296402	0.13687855005264282
06_to_05	pair	0.283970	0.280695	1.011668	-0.05260862037539482	0.08693566918373108
06_to_06	identity	0.007164	0.000000	716437.259689	nan	nan
06_to_07	pair	0.501931	0.501644	1.000572	0.1768549084663391	0.07801995426416397
06_to_08	pair	1.023762	1.045940	0.978797	0.4030340015888214	0.1297098696231842
06_to_09	pair	1.400065	1.444469	0.969259	0.4825860857963562	0.1507135033607483
06_to_10	pair	1.591638	1.638795	0.971225	0.4323458671569824	0.17632943391799927
07_to_01	pair	0.970062	0.969443	1.000639	0.18385526537895203	0.2840177118778229
07_to_02	pair	0.917201	0.890027	1.030531	0.06973497569561005	0.19883669912815094
07_to_03	pair	0.868782	0.869321	0.999380	0.12516631186008453	0.13554926216602325
07_to_04	pair	0.705949	0.716917	0.984701	0.16524054110050201	0.10530629009008408
07_to_05	pair	0.683749	0.683762	0.999981	0.11550147086381912	0.06968875229358673
07_to_06	pair	0.519761	0.513857	1.011489	-0.0075788055546581745	0.07269655168056488
07_to_07	identity	0.007842	0.000000	784213.282168	nan	nan
07_to_08	pair	0.473033	0.476806	0.992086	0.24239736795425415	0.13594496250152588
07_to_09	pair	0.911961	0.928904	0.981760	0.34495511651039124	0.16988052427768707
07_to_10	pair	1.109985	1.136232	0.976900	0.36340293288230896	0.21160972118377686
08_to_01	pair	0.581833	0.566532	1.027008	0.11435133963823318	0.29903772473335266
08_to_02	pair	0.852579	0.866454	0.983987	0.13290175795555115	0.1442718207836151
08_to_03	pair	1.069301	1.080932	0.989240	0.1818132847547531	0.094537153840065
08_to_04	pair	1.079648	1.083406	0.996532	0.18374747037887573	0.10830152779817581
08_to_05	pair	1.238502	1.243304	0.996138	0.2851353883743286	0.11261904239654541
08_to_06	pair	1.104765	1.107360	0.997657	0.26717889308929443	0.13162648677825928
08_to_07	pair	0.523699	0.503450	1.040220	-0.010554704815149307	0.14153988659381866
08_to_08	identity	0.008152	0.000000	815155.543387	nan	nan
08_to_09	pair	0.404119	0.401934	1.005437	0.21915824711322784	0.16183257102966309
08_to_10	pair	0.643777	0.645302	0.997638	0.24525675177574158	0.24200321733951569
09_to_01	pair	0.476401	0.464037	1.026646	-0.10117543488740921	0.18767425417900085
09_to_02	pair	1.010933	1.021825	0.989341	0.17217721045017242	0.07632484287023544
09_to_03	pair	1.294648	1.288791	1.004545	0.10832427442073822	0.09981674700975418
09_to_04	pair	1.505946	1.518135	0.991971	0.26649683713912964	0.1311035007238388
09_to_05	pair	1.642818	1.673055	0.981928	0.39996328949928284	0.1484012007713318
09_to_06	pair	1.523973	1.567132	0.972459	0.4237264096736908	0.17397160828113556
09_to_07	pair	0.995439	0.990646	1.004839	0.22701500356197357	0.1616281121969223
09_to_08	pair	0.430117	0.416325	1.033127	0.011088110506534576	0.15050379931926727
09_to_09	identity	0.008522	0.000000	852245.558053	nan	nan
09_to_10	pair	0.222823	0.215394	1.034488	0.08401156216859818	0.2882736027240753
10_to_01	pair	0.348626	0.339979	1.025436	-0.16316257417201996	0.10168857127428055
10_to_02	pair	0.911561	0.923162	0.987433	0.3191310465335846	0.07519986480474472
10_to_03	pair	1.215860	1.235784	0.983878	0.3032638728618622	0.13402731716632843
10_to_04	pair	1.415899	1.452479	0.974815	0.3555540144443512	0.17369785904884338
10_to_05	pair	1.734668	1.781311	0.973815	0.43154260516166687	0.18051952123641968
10_to_06	pair	1.693593	1.770655	0.956478	0.46976450085639954	0.21551811695098877
10_to_07	pair	1.216362	1.235212	0.984739	0.2987476885318756	0.2097586840391159
10_to_08	pair	0.652273	0.654603	0.996441	0.21690307557582855	0.2345678061246872
10_to_09	pair	0.238036	0.229164	1.038712	0.0644451454281807	0.2869887351989746
10_to_10	identity	0.008807	0.000000	880706.775934	nan	nan
