pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.013515	0.000000	1351466.309279	nan	nan
01_to_02	pair	0.256180	0.342548	0.747865	0.70076584815979	0.8141429424285889
01_to_03	pair	0.646715	0.872194	0.741481	0.7202513813972473	0.7188949584960938
01_to_04	pair	1.123372	1.491833	0.753015	0.6816111207008362	0.5780380964279175
01_to_05	pair	1.299250	1.764018	0.736529	0.7258898615837097	0.6047118902206421
01_to_06	pair	1.322132	1.788058	0.739423	0.7321079969406128	0.6475943922996521
01_to_07	pair	1.167488	1.575479	0.741037	0.7039058208465576	0.5992386341094971
01_to_08	pair	0.954568	1.281303	0.744998	0.6787806153297424	0.4526141285896301
01_to_09	pair	0.626922	0.827106	0.757971	0.6690421104431152	0.36405444145202637
01_to_10	pair	0.319258	0.361070	0.884201	0.34608128666877747	0.2630294859409332
02_to_01	pair	0.255277	0.338110	0.755011	0.7026196718215942	0.8225782513618469
02_to_02	identity	0.014342	0.000000	1434170.082211	nan	nan
02_to_03	pair	0.356832	0.455671	0.783091	0.7254775762557983	0.8189963698387146
02_to_04	pair	0.743901	0.968925	0.767759	0.6801199316978455	0.6598260998725891
02_to_05	pair	1.143364	1.556096	0.734765	0.695138156414032	0.5708020925521851
02_to_06	pair	1.165594	1.610087	0.723932	0.7221261858940125	0.608224630355835
02_to_07	pair	1.179446	1.526163	0.772818	0.6226969361305237	0.4934273958206177
02_to_08	pair	0.994642	1.260709	0.788955	0.5592617988586426	0.3762291669845581
02_to_09	pair	0.785246	0.869857	0.902730	0.27843326330184937	0.41349565982818604
02_to_10	pair	0.519017	0.468105	1.108763	0.23231086134910583	0.8787616491317749
03_to_01	pair	0.625336	0.844942	0.740094	0.7364550232887268	0.7960848808288574
03_to_02	pair	0.335976	0.453212	0.741323	0.7593510746955872	0.8272890448570251
03_to_03	identity	0.018837	0.000000	1883705.891669	nan	nan
03_to_04	pair	0.332103	0.429703	0.772866	0.7143301963806152	0.607545793056488
03_to_05	pair	0.705013	0.910854	0.774013	0.6560484766960144	0.5370487570762634
03_to_06	pair	0.820671	1.147218	0.715357	0.6757084727287292	0.5384841561317444
03_to_07	pair	0.886630	1.125620	0.787682	0.5527997612953186	0.4020198583602905
03_to_08	pair	0.900613	0.940647	0.957440	0.2948729693889618	0.46875497698783875
03_to_09	pair	0.880282	0.819166	1.074607	0.32675638794898987	0.7667896151542664
03_to_10	pair	0.800158	0.862746	0.927455	0.5363979339599609	0.9216652512550354
04_to_01	pair	1.018858	1.413851	0.720626	0.7692632079124451	0.6623537540435791
04_to_02	pair	0.697564	0.925565	0.753663	0.7252068519592285	0.7106085419654846
04_to_03	pair	0.313081	0.412765	0.758498	0.7230921983718872	0.726302981376648
04_to_04	identity	0.019389	0.000000	1938860.863447	nan	nan
04_to_05	pair	0.295160	0.357271	0.826154	0.633746325969696	0.5069029927253723
04_to_06	pair	0.509281	0.589791	0.863495	0.5104041695594788	0.536030650138855
04_to_07	pair	0.516335	0.528380	0.977206	0.28800684213638306	0.6314374804496765
04_to_08	pair	0.638733	0.614944	1.038685	0.4082545042037964	0.9452692866325378
04_to_09	pair	0.746665	0.849867	0.878567	0.5862089991569519	0.9713237285614014
