arch	vendor	scan	cos	L1_over_zero	beat
encoder	varian	CV_P1_V_01	0.3838	0.9972	72.2
encoder	varian	CV_P2_V_01	0.5448	0.8867	100.0
encoder	varian	CV_P3_V_01	0.5623	0.8708	93.3
encoder	varian	CV_P4_V_01	0.6246	0.7952	92.2
encoder	varian	CV_P5_V_01	0.5944	0.8103	96.7
encoder	elekta	CE_P1_V_01	0.6333	0.8083	98.9
encoder	elekta	CE_P2_V_01	0.4237	0.9393	75.6
encoder	elekta	CE_P3_V_01	0.4842	0.8943	85.6
encoder	elekta	CE_P4_V_01	0.4105	0.9523	70.0
encoder	elekta	CE_P5_V_01	0.5426	0.8497	81.1
decoder	varian	CV_P1_V_01	0.4056	1.0853	52.2
decoder	varian	CV_P2_V_01	0.5262	0.9908	58.9
decoder	varian	CV_P3_V_01	0.5948	0.8575	84.4
decoder	varian	CV_P4_V_01	0.6819	0.7390	97.8
decoder	varian	CV_P5_V_01	0.6352	0.7695	98.9
decoder	elekta	CE_P1_V_01	0.5433	0.8889	88.9
decoder	elekta	CE_P2_V_01	0.3120	0.9795	70.0
decoder	elekta	CE_P3_V_01	0.5222	0.8937	86.7
decoder	elekta	CE_P4_V_01	0.4695	0.9843	67.8
decoder	elekta	CE_P5_V_01	0.5459	0.8360	82.2
both	varian	CV_P1_V_01	0.3690	1.0743	56.7
both	varian	CV_P2_V_01	0.5631	0.8996	85.6
both	varian	CV_P3_V_01	0.6227	0.8387	90.0
both	varian	CV_P4_V_01	0.6363	0.7788	88.9
both	varian	CV_P5_V_01	0.6286	0.7755	95.6
both	elekta	CE_P1_V_01	0.6179	0.8374	97.8
both	elekta	CE_P2_V_01	0.3544	0.9812	65.6
both	elekta	CE_P3_V_01	0.5226	0.8823	84.4
both	elekta	CE_P4_V_01	0.3877	0.9830	66.7
both	elekta	CE_P5_V_01	0.4870	0.8832	78.9
