pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.060303	0.000000	6030314.043164	nan	nan
01_to_02	pair	0.383723	0.383169	1.001447	0.12287092953920364	0.21641114354133606
01_to_03	pair	1.240583	1.230852	1.007906	-0.03306044265627861	0.0816897451877594
01_to_04	pair	1.655030	1.645525	1.005776	-0.004651318769901991	0.062378209084272385
01_to_05	pair	1.813624	1.797984	1.008699	-0.08329486101865768	0.061949100345373154
01_to_06	pair	1.767984	1.765300	1.001520	0.05132836848497391	0.08781459182500839
01_to_07	pair	1.354194	1.343949	1.007624	0.05662623047828674	0.16289255023002625
01_to_08	pair	0.785403	0.765092	1.026548	0.008895364589989185	0.26107412576675415
01_to_09	pair	0.420786	0.362947	1.159359	-0.08768410980701447	0.5999211668968201
01_to_10	pair	0.228927	0.231239	0.989999	0.13183416426181793	0.21305397152900696
02_to_01	pair	0.379312	0.373688	1.015051	-0.03911760821938515	0.12142816185951233
02_to_02	identity	0.031259	0.000000	3125888.109207	nan	nan
02_to_03	pair	0.500167	0.507783	0.985003	0.21405808627605438	0.11133936792612076
02_to_04	pair	1.103052	1.104614	0.998586	0.030165592208504677	0.04892084375023842
02_to_05	pair	1.404768	1.398126	1.004751	-0.08352275937795639	0.04807683452963829
02_to_06	pair	1.374518	1.355520	1.014015	-0.09382621198892593	0.08036412298679352
02_to_07	pair	1.042242	1.008403	1.033558	-0.1605074256658554	0.12012846022844315
02_to_08	pair	0.609142	0.607477	1.002741	-0.027201322838664055	0.10575418174266815
02_to_09	pair	0.521388	0.520649	1.001420	0.05448522791266441	0.14327363669872284
02_to_10	pair	0.638539	0.629724	1.013997	0.03116518259048462	0.15745890140533447
03_to_01	pair	1.190440	1.171499	1.016168	-0.07553167641162872	0.11765081435441971
03_to_02	pair	0.482326	0.479957	1.004935	0.12118960916996002	0.1558133363723755
03_to_03	identity	0.015585	0.000000	1558518.130332	nan	nan
03_to_04	pair	0.355196	0.357610	0.993250	0.11291756480932236	0.06353525072336197
03_to_05	pair	0.588035	0.589066	0.998249	0.045348066836595535	0.05767320096492767
03_to_06	pair	0.762597	0.752228	1.013784	-0.09918518364429474	0.06632611900568008
03_to_07	pair	0.622235	0.627460	0.991672	0.05495990440249443	0.08916746824979782
03_to_08	pair	0.902708	0.892904	1.010981	0.005625605117529631	0.1181817501783371
03_to_09	pair	1.164847	1.161543	1.002845	0.1596595048904419	0.21510279178619385
03_to_10	pair	1.367624	1.366739	1.000648	0.11872336268424988	0.16454969346523285
04_to_01	pair	1.578177	1.540874	1.024209	-0.08364785462617874	0.13677790760993958
04_to_02	pair	1.017202	1.014633	1.002532	0.07165098935365677	0.15355977416038513
04_to_03	pair	0.334660	0.344286	0.972040	0.1891510784626007	0.18875907361507416
04_to_04	identity	0.012684	0.000000	1268365.047872	nan	nan
04_to_05	pair	0.248764	0.247435	1.005374	-0.04098140075802803	0.056096404790878296
04_to_06	pair	0.387122	0.386374	1.001936	0.040495119988918304	0.0544700026512146
04_to_07	pair	0.635835	0.609610	1.043020	-0.1486026644706726	0.212737038731575
04_to_08	pair	1.115581	1.075706	1.037069	-0.02023017406463623	0.20307956635951996
04_to_09	pair	1.419015	1.437664	0.987029	0.22450309991836548	0.21564042568206787
04_to_10	pair	1.631414	1.658634	0.983589	0.1777316778898239	0.16442492604255676
05_to_01	pair	1.723246	1.686764	1.021629	-0.008437702432274818	0.16165846586227417
05_to_02	pair	1.287357	1.266736	1.016279	0.026853423565626144	0.17366789281368256
05_to_03	pair	0.555558	0.565520	0.982384	0.15871502459049225	0.18024854362010956
05_to_04	pair	0.234634	0.246878	0.950402	0.29963219165802	0.20063278079032898
05_to_05	identity	0.013287	0.000000	1328710.000962	nan	nan
05_to_06	pair	0.253595	0.243390	1.041929	-0.3147599399089813	0.12498126924037933
05_to_07	pair	0.638826	0.600396	1.064008	0.007269234862178564	0.37682056427001953
05_to_08	pair	1.114543	1.071677	1.039999	0.11162830144166946	0.2516518533229828
05_to_09	pair	1.514179	1.524253	0.993390	0.19440118968486786	0.192369282245636
05_to_10	pair	1.877536	1.862919	1.007847	-0.009098134003579617	0.09026613086462021
06_to_01	pair	1.740717	1.694264	1.027418	0.008381971158087254	0.20182104408740997
06_to_02	pair	1.281010	1.255286	1.020493	0.005374323111027479	0.18412365019321442
06_to_03	pair	0.712654	0.714043	0.998054	0.01942308060824871	0.17121148109436035
06_to_04	pair	0.358972	0.382374	0.938798	0.40152162313461304	0.1743222326040268
06_to_05	pair	0.235638	0.245322	0.960524	0.25800439715385437	0.1562657505273819
06_to_06	identity	0.012637	0.000000	1263652.089983	nan	nan
06_to_07	pair	0.429288	0.404705	1.060742	0.01705893874168396	0.31702759861946106
06_to_08	pair	0.889438	0.870913	1.021270	0.2628267705440521	0.33100685477256775
06_to_09	pair	1.415181	1.404932	1.007295	0.03894186019897461	0.1042422354221344
06_to_10	pair	1.865042	1.824787	1.022060	-0.24226462841033936	0.0751870796084404
07_to_01	pair	1.300107	1.248031	1.041727	-0.06949399411678314	0.2090529203414917
07_to_02	pair	0.999720	0.959571	1.041841	-0.14210045337677002	0.19938091933727264
07_to_03	pair	0.596434	0.622187	0.958608	0.19322584569454193	0.16134735941886902
07_to_04	pair	0.603963	0.622187	0.970710	0.28539222478866577	0.09560484439134598
07_to_05	pair	0.624545	0.615050	1.015439	-0.05200525000691414	0.11622770130634308
07_to_06	pair	0.430267	0.417106	1.031551	0.019458308815956116	0.21534359455108643
07_to_07	identity	0.012644	0.000000	1264375.727624	nan	nan
07_to_08	pair	0.488531	0.469165	1.041278	-0.15015538036823273	0.17063766717910767
07_to_09	pair	0.945657	0.932549	1.014056	-0.29125967621803284	0.0531846359372139
07_to_10	pair	1.412747	1.393687	1.013676	-0.24944886565208435	0.061366006731987
08_to_01	pair	0.784705	0.755354	1.038858	-0.07248804718255997	0.2257775217294693
08_to_02	pair	0.592506	0.589452	1.005181	-0.052068259567022324	0.20539669692516327
08_to_03	pair	0.893897	0.907557	0.984949	0.17205455899238586	0.07707008719444275
08_to_04	pair	1.115158	1.104625	1.009535	-0.0229581780731678	0.07875486463308334
08_to_05	pair	1.152088	1.128541	1.020865	-0.057173434644937515	0.10647383332252502
08_to_06	pair	0.970294	0.956336	1.014595	0.009760018438100815	0.12100641429424286
08_to_07	pair	0.484073	0.484070	1.000006	0.19481873512268066	0.2119145691394806
08_to_08	identity	0.012791	0.000000	1279106.549919	nan	nan
08_to_09	pair	0.414122	0.406001	1.020003	-0.339785099029541	0.08646813035011292
08_to_10	pair	0.765651	0.751807	1.018415	-0.28850996494293213	0.0765393078327179
09_to_01	pair	0.396468	0.368094	1.077085	-0.19825232028961182	0.28063827753067017
09_to_02	pair	0.548489	0.551272	0.994953	0.06345231086015701	0.18190515041351318
09_to_03	pair	1.205776	1.201547	1.003520	0.038418959826231	0.08870670944452286
09_to_04	pair	1.518595	1.508976	1.006375	-0.022149942815303802	0.08282384276390076
09_to_05	pair	1.647643	1.626589	1.012944	-0.05163661763072014	0.087852843105793
09_to_06	pair	1.526799	1.508342	1.012237	-0.10111501812934875	0.07411865144968033
09_to_07	pair	1.003916	0.992626	1.011374	-0.07584240287542343	0.08698633313179016
09_to_08	pair	0.422565	0.422591	0.999938	0.09745469689369202	0.16536790132522583
09_to_09	identity	0.017328	0.000000	1732817.478478	nan	nan
09_to_10	pair	0.292859	0.286272	1.023009	-0.2733732759952545	0.10136371850967407
10_to_01	pair	0.238436	0.239771	0.994432	0.24816235899925232	0.5452549457550049
10_to_02	pair	0.664155	0.646829	1.026786	0.11620365083217621	0.3575977683067322
10_to_03	pair	1.432922	1.420108	1.009023	0.053543899208307266	0.1417229324579239
10_to_04	pair	1.765738	1.766569	0.999529	0.07347888499498367	0.09941017627716064
10_to_05	pair	2.023923	2.010335	1.006759	0.04342262074351311	0.09910598397254944
10_to_06	pair	1.965738	1.947671	1.009276	0.021575339138507843	0.09789002686738968
10_to_07	pair	1.511453	1.505615	1.003878	0.05730369687080383	0.12183690071105957
10_to_08	pair	0.783606	0.782096	1.001930	0.09798797219991684	0.23500274121761322
10_to_09	pair	0.328670	0.297518	1.104708	-0.2210148274898529	0.363507479429245
10_to_10	identity	0.097760	0.000000	9775992.482901	nan	nan
