pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.008731	0.000000	873061.269522	nan	nan
01_to_02	pair	0.219381	0.225848	0.971369	0.2520376741886139	0.24378012120723724
01_to_03	pair	0.493082	0.514921	0.957588	0.28513967990875244	0.4296838939189911
01_to_04	pair	0.669145	0.714543	0.936465	0.3762035667896271	0.5896607637405396
01_to_05	pair	0.730276	0.754408	0.968012	0.4426315128803253	0.8044983744621277
01_to_06	pair	0.677644	0.742779	0.912309	0.4493548274040222	0.6934739947319031
01_to_07	pair	0.713847	0.632931	1.127844	0.01995476335287094	0.6756986975669861
01_to_08	pair	0.562569	0.524817	1.071933	0.018713651224970818	0.4666478633880615
01_to_09	pair	0.366048	0.349547	1.047205	-0.04454904794692993	0.2622944712638855
01_to_10	pair	0.165877	0.160100	1.036083	0.0346401073038578	0.19944433867931366
02_to_01	pair	0.224101	0.228828	0.979340	0.24139787256717682	0.19602297246456146
02_to_02	identity	0.009033	0.000000	903286.319226	nan	nan
02_to_03	pair	0.207510	0.218714	0.948773	0.3285561800003052	0.4588216543197632
02_to_04	pair	0.482529	0.536150	0.899990	0.3939726948738098	0.4782906472682953
02_to_05	pair	0.710531	0.805199	0.882429	0.44807013869285583	0.5712612271308899
02_to_06	pair	0.631535	0.688857	0.916787	0.4420405626296997	0.6719951629638672
02_to_07	pair	0.691202	0.708678	0.975340	0.23518027365207672	0.3244972229003906
02_to_08	pair	0.621175	0.623101	0.996910	0.13346394896507263	0.2440694272518158
02_to_09	pair	0.547409	0.543702	1.006819	0.08756481856107712	0.2321506142616272
02_to_10	pair	0.501386	0.501835	0.999105	0.15723714232444763	0.2557685673236847
03_to_01	pair	0.493256	0.512375	0.962685	0.2816357910633087	0.4254249632358551
03_to_02	pair	0.206832	0.214379	0.964797	0.30182206630706787	0.4349270462989807
03_to_03	identity	0.004966	0.000000	496638.752520	nan	nan
03_to_04	pair	0.216292	0.239987	0.901263	0.42931509017944336	0.41322600841522217
03_to_05	pair	0.505726	0.579169	0.873192	0.43859729170799255	0.3846142888069153
03_to_06	pair	0.664692	0.758821	0.875954	0.4109399616718292	0.4056238532066345
03_to_07	pair	0.624433	0.640985	0.974177	0.286959171295166	0.3013715147972107
03_to_08	pair	0.652085	0.687064	0.949089	0.27306854724884033	0.2450377494096756
03_to_09	pair	0.677798	0.685678	0.988508	0.03486425429582596	0.309556782245636
03_to_10	pair	0.590519	0.540113	1.093324	0.11252816766500473	0.6252573132514954
04_to_01	pair	0.710755	0.780638	0.910480	0.42711859941482544	0.5759134888648987
04_to_02	pair	0.491388	0.532704	0.922441	0.43700751662254333	0.6454790830612183
04_to_03	pair	0.210313	0.237405	0.885880	0.47596317529678345	0.5498496890068054
04_to_04	identity	0.003039	0.000000	303907.878697	nan	nan
04_to_05	pair	0.188166	0.221504	0.849492	0.5158764123916626	0.4898030459880829
04_to_06	pair	0.432599	0.469833	0.920752	0.36513552069664	0.4008186459541321
04_to_07	pair	0.671442	0.704433	0.953166	0.32004135847091675	0.23458482325077057
04_to_08	pair	0.709105	0.747827	0.948221	0.2873324751853943	0.2498735934495926
04_to_09	pair	0.742382	0.735433	1.009449	0.12009908258914948	0.39750441908836365
04_to_10	pair	0.660412	0.672584	0.981903	0.444990336894989	0.7414085865020752
05_to_01	pair	0.727563	0.749508	0.970720	0.5314578413963318	0.9782880544662476
05_to_02	pair	0.743129	0.826431	0.899203	0.4839249551296234	0.7244246006011963
05_to_03	pair	0.513362	0.588200	0.872768	0.45397162437438965	0.5265076756477356
05_to_04	pair	0.195604	0.225704	0.866639	0.5278385281562805	0.7507927417755127
05_to_05	identity	0.002096	0.000000	209645.694122	nan	nan
05_to_06	pair	0.198102	0.218412	0.907010	0.3711892068386078	0.43153461813926697
