[crb_enc_mse_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260824
[crb_enc_mse_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.571348 | val MSE: 0.421149 | total time: 0 hours 3 minutes
Epoch: 2 | train MSE: 0.364311 | val MSE: 0.291004 | total time: 0 hours 7 minutes
Epoch: 3 | train MSE: 0.262360 | val MSE: 0.203197 | total time: 0 hours 11 minutes
Epoch: 4 | train MSE: 0.211903 | val MSE: 0.170307 | total time: 0 hours 14 minutes
Epoch: 5 | train MSE: 0.177416 | val MSE: 0.139122 | total time: 0 hours 18 minutes
Epoch: 6 | train MSE: 0.150563 | val MSE: 0.140680 | total time: 0 hours 22 minutes
Epoch: 7 | train MSE: 0.132641 | val MSE: 0.116941 | total time: 0 hours 26 minutes
Epoch: 8 | train MSE: 0.116170 | val MSE: 0.117515 | total time: 0 hours 29 minutes
Epoch: 9 | train MSE: 0.104323 | val MSE: 0.101601 | total time: 0 hours 33 minutes
Epoch: 10 | train MSE: 0.098082 | val MSE: 0.106043 | total time: 0 hours 37 minutes
Epoch: 11 | train MSE: 0.089565 | val MSE: 0.096005 | total time: 0 hours 41 minutes
Epoch: 12 | train MSE: 0.082538 | val MSE: 0.085504 | total time: 0 hours 44 minutes
Epoch: 13 | train MSE: 0.077122 | val MSE: 0.083125 | total time: 0 hours 48 minutes
Epoch: 14 | train MSE: 0.073536 | val MSE: 0.082667 | total time: 0 hours 52 minutes
Epoch: 15 | train MSE: 0.069523 | val MSE: 0.079815 | total time: 0 hours 56 minutes
Epoch: 16 | train MSE: 0.066628 | val MSE: 0.075486 | total time: 0 hours 59 minutes
Epoch: 17 | train MSE: 0.062549 | val MSE: 0.075355 | total time: 1 hours 3 minutes
Epoch: 18 | train MSE: 0.060328 | val MSE: 0.070100 | total time: 1 hours 7 minutes
Epoch: 19 | train MSE: 0.057532 | val MSE: 0.063741 | total time: 1 hours 11 minutes
