=== E2 encoder start Tue Aug 25 11:27:28 AM AEST 2026 ===
[crb_enc_mse_cyclic_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.526906 | val MSE: 0.281346 | total time: 0 hours 4 minutes
Epoch: 2 | train MSE: 0.305542 | val MSE: 0.244253 | total time: 0 hours 8 minutes
Epoch: 3 | train MSE: 0.231844 | val MSE: 0.171051 | total time: 0 hours 13 minutes
Epoch: 4 | train MSE: 0.188843 | val MSE: 0.156037 | total time: 0 hours 17 minutes
Epoch: 5 | train MSE: 0.163353 | val MSE: 0.126725 | total time: 0 hours 22 minutes
Epoch: 6 | train MSE: 0.140670 | val MSE: 0.126385 | total time: 0 hours 26 minutes
Epoch: 7 | train MSE: 0.125718 | val MSE: 0.109572 | total time: 0 hours 31 minutes
Epoch: 8 | train MSE: 0.112889 | val MSE: 0.113648 | total time: 0 hours 35 minutes
Epoch: 9 | train MSE: 0.102507 | val MSE: 0.091022 | total time: 0 hours 40 minutes
Epoch: 10 | train MSE: 0.094422 | val MSE: 0.095497 | total time: 0 hours 44 minutes
Epoch: 11 | train MSE: 0.086383 | val MSE: 0.084408 | total time: 0 hours 49 minutes
Epoch: 12 | train MSE: 0.078677 | val MSE: 0.081292 | total time: 0 hours 53 minutes
Epoch: 13 | train MSE: 0.073425 | val MSE: 0.079095 | total time: 0 hours 57 minutes
Epoch: 14 | train MSE: 0.068957 | val MSE: 0.077697 | total time: 1 hours 1 minutes
Epoch: 15 | train MSE: 0.066504 | val MSE: 0.073799 | total time: 1 hours 5 minutes
Epoch: 16 | train MSE: 0.064277 | val MSE: 0.073279 | total time: 1 hours 9 minutes
Epoch: 17 | train MSE: 0.060112 | val MSE: 0.070377 | total time: 1 hours 13 minutes
Epoch: 18 | train MSE: 0.058153 | val MSE: 0.060149 | total time: 1 hours 17 minutes
Epoch: 19 | train MSE: 0.056255 | val MSE: 0.058391 | total time: 1 hours 21 minutes
Epoch: 20 | train MSE: 0.053771 | val MSE: 0.064288 | total time: 1 hours 25 minutes
Epoch: 21 | train MSE: 0.052030 | val MSE: 0.066792 | total time: 1 hours 29 minutes
Epoch: 22 | train MSE: 0.050838 | val MSE: 0.065116 | total time: 1 hours 34 minutes
Epoch: 23 | train MSE: 0.049270 | val MSE: 0.062229 | total time: 1 hours 38 minutes
Epoch: 24 | train MSE: 0.048260 | val MSE: 0.053874 | total time: 1 hours 42 minutes
Epoch: 25 | train MSE: 0.046793 | val MSE: 0.055322 | total time: 1 hours 47 minutes
Epoch: 26 | train MSE: 0.045475 | val MSE: 0.052015 | total time: 1 hours 51 minutes
Epoch: 27 | train MSE: 0.045222 | val MSE: 0.050435 | total time: 1 hours 55 minutes
Epoch: 28 | train MSE: 0.043862 | val MSE: 0.052976 | total time: 2 hours 0 minutes
Epoch: 29 | train MSE: 0.043086 | val MSE: 0.048878 | total time: 2 hours 4 minutes
Epoch: 30 | train MSE: 0.042056 | val MSE: 0.049633 | total time: 2 hours 9 minutes
Epoch: 31 | train MSE: 0.041702 | val MSE: 0.048784 | total time: 2 hours 13 minutes
Epoch: 32 | train MSE: 0.040711 | val MSE: 0.076289 | total time: 2 hours 17 minutes
