scan	vendor	mode	L1_over_zero	cos	k	beat_zero_pct	pack_mm_vox_zyx
CV_P1_V_01	varian	voxel	1.1264	0.3842	0.9752	50.0	1.6328,1.7188,2.1016
CV_P1_V_01	varian	mm	1.1225	0.3752	0.9621	47.8	1.6328,1.7188,2.1016
CV_P1_V_01	varian	corrected	1.1211	0.3816	0.9630	48.9	1.6328,1.7188,2.1016
CV_P2_V_01	varian	voxel	0.8364	0.6183	0.6824	97.8	1.7344,1.7188,2.3672
CV_P2_V_01	varian	mm	0.8431	0.5992	0.6593	98.9	1.7344,1.7188,2.3672
CV_P2_V_01	varian	corrected	0.8338	0.6173	0.6659	98.9	1.7344,1.7188,2.3672
CV_P3_V_01	varian	voxel	0.8480	0.6222	0.7988	80.0	1.8125,1.7188,2.4219
CV_P3_V_01	varian	mm	0.8618	0.5902	0.7655	80.0	1.8125,1.7188,2.4219
CV_P3_V_01	varian	corrected	0.8421	0.6206	0.7770	83.3	1.8125,1.7188,2.4219
CV_P4_V_01	varian	voxel	0.7523	0.6799	0.7349	95.6	1.7031,1.7188,2.5156
CV_P4_V_01	varian	mm	0.7723	0.6559	0.7232	93.3	1.7031,1.7188,2.5156
CV_P4_V_01	varian	corrected	0.7485	0.6806	0.7204	95.6	1.7031,1.7188,2.5156
CV_P5_V_01	varian	voxel	0.8853	0.5090	0.3164	97.8	1.6562,1.7188,2.0938
CV_P5_V_01	varian	mm	0.8893	0.4945	0.3122	97.8	1.6562,1.7188,2.0938
CV_P5_V_01	varian	corrected	0.8868	0.5069	0.3126	97.8	1.6562,1.7188,2.0938
CE_P1_V_01	elekta	voxel	1.0287	0.1365	0.3317	40.0	1.2500,1.9922,1.6641
CE_P1_V_01	elekta	mm	1.0255	0.1647	0.3570	42.2	1.2500,1.9922,1.6641
CE_P1_V_01	elekta	corrected	1.0410	0.1189	0.3310	37.8	1.2500,1.9922,1.6641
CE_P2_V_01	elekta	voxel	1.0183	0.1298	0.3087	46.7	1.7109,2.0000,1.3281
CE_P2_V_01	elekta	mm	1.0215	0.1411	0.3333	48.9	1.7109,2.0000,1.3281
CE_P2_V_01	elekta	corrected	1.0229	0.1227	0.3007	40.0	1.7109,2.0000,1.3281
CE_P3_V_01	elekta	voxel	0.9963	0.0563	0.1020	52.2	1.5547,0.8516,1.7422
CE_P3_V_01	elekta	mm	1.0002	0.0620	0.1089	54.4	1.5547,0.8516,1.7422
CE_P3_V_01	elekta	corrected	1.0080	0.0522	0.1888	46.7	1.5547,0.8516,1.7422
CE_P4_V_01	elekta	voxel	0.9606	0.3455	0.4653	76.7	1.6562,2.0000,1.6562
CE_P4_V_01	elekta	mm	0.9572	0.3679	0.4998	74.4	1.6562,2.0000,1.6562
CE_P4_V_01	elekta	corrected	0.9579	0.3264	0.4205	82.2	1.6562,2.0000,1.6562
CE_P5_V_01	elekta	voxel	0.9485	0.3154	0.2624	80.0	1.2891,2.0000,1.8047
CE_P5_V_01	elekta	mm	0.9444	0.3382	0.2983	78.9	1.2891,2.0000,1.8047
CE_P5_V_01	elekta	corrected	0.9480	0.3171	0.2437	80.0	1.2891,2.0000,1.8047
