pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.003833	0.000000	383257.702924	nan	nan
01_to_02	pair	0.586219	0.622080	0.942353	0.2696833908557892	0.22378769516944885
01_to_03	pair	1.252361	1.462762	0.856162	0.4960838258266449	0.31615474820137024
01_to_04	pair	1.982939	2.110929	0.939368	0.3891688287258148	0.20587198436260223
01_to_05	pair	2.200353	2.429275	0.905765	0.5078446865081787	0.22332046926021576
01_to_06	pair	2.022552	2.447153	0.826492	0.5392543077468872	0.3654573857784271
01_to_07	pair	1.649869	1.975930	0.834983	0.5184680819511414	0.3967570662498474
01_to_08	pair	1.143038	1.332699	0.857687	0.45747166872024536	0.38917404413223267
01_to_09	pair	0.429157	0.383811	1.118149	0.2928451597690582	0.7845569252967834
01_to_10	pair	0.232421	0.199995	1.162133	-0.16886669397354126	0.3567812144756317
02_to_01	pair	0.504476	0.514415	0.980679	0.16948433220386505	0.16845133900642395
02_to_02	identity	0.002639	0.000000	263944.128528	nan	nan
02_to_03	pair	0.692942	0.691318	1.002349	0.048789042979478836	0.14010567963123322
02_to_04	pair	1.292877	1.287145	1.004454	0.03382647782564163	0.12111646682024002
02_to_05	pair	1.622502	1.650109	0.983270	0.16492514312267303	0.13443073630332947
02_to_06	pair	1.575760	1.723956	0.914037	0.3929808735847473	0.22959062457084656
02_to_07	pair	1.285813	1.398258	0.919582	0.36289915442466736	0.2927212119102478
02_to_08	pair	0.917621	0.946244	0.969751	0.2630542814731598	0.20934760570526123
02_to_09	pair	0.700172	0.655721	1.067790	-0.14931389689445496	0.2147602140903473
02_to_10	pair	0.747590	0.750450	0.996189	0.07763113081455231	0.13340140879154205
03_to_01	pair	1.144189	1.250738	0.914811	0.42251700162887573	0.21658965945243835
03_to_02	pair	0.519005	0.558441	0.929381	0.37374693155288696	0.3082326352596283
03_to_03	identity	0.006795	0.000000	679478.887469	nan	nan
03_to_04	pair	0.494312	0.488817	1.011243	-0.07858172059059143	0.1070307046175003
03_to_05	pair	0.809105	0.849928	0.951969	0.41645705699920654	0.11902329325675964
03_to_06	pair	0.909771	0.990912	0.918115	0.4160572588443756	0.19655819237232208
03_to_07	pair	0.937000	0.961677	0.974340	0.3151283264160156	0.14487597346305847
03_to_08	pair	1.136634	1.151181	0.987364	0.34465640783309937	0.10533377528190613
03_to_09	pair	1.264742	1.294425	0.977069	0.20663732290267944	0.12199251353740692
03_to_10	pair	1.379399	1.462267	0.943329	0.3290086090564728	0.1699834167957306
04_to_01	pair	1.548190	1.804450	0.857985	0.5468564629554749	0.3329443335533142
04_to_02	pair	0.985331	1.108390	0.888975	0.502192497253418	0.31148284673690796
04_to_03	pair	0.404869	0.425303	0.951953	0.3878556489944458	0.17359107732772827
04_to_04	identity	0.004079	0.000000	407912.954688	nan	nan
04_to_05	pair	0.293391	0.317741	0.923368	0.4021138846874237	0.14936071634292603
04_to_06	pair	0.506712	0.534542	0.947937	0.4119250476360321	0.18004463613033295
04_to_07	pair	0.845833	0.884496	0.956288	0.5074453949928284	0.13607139885425568
04_to_08	pair	1.373240	1.412144	0.972450	0.45440712571144104	0.13343355059623718
04_to_09	pair	1.631448	1.804789	0.903955	0.506105363368988	0.20971611142158508
04_to_10	pair	1.779324	1.959167	0.908204	0.4266643226146698	0.2548680901527405
05_to_01	pair	1.783338	2.110980	0.844792	0.5681641101837158	0.36522895097732544
05_to_02	pair	1.249189	1.431573	0.872599	0.4833039939403534	0.3564472198486328
05_to_03	pair	0.633462	0.731243	0.866281	0.5184347033500671	0.29506921768188477
05_to_04	pair	0.259199	0.287447	0.901727	0.40736475586891174	0.3647206723690033
05_to_05	identity	0.002613	0.000000	261325.202882	nan	nan
05_to_06	pair	0.269183	0.270961	0.993440	0.3210854232311249	0.09595813602209091
05_to_07	pair	0.758520	0.805131	0.942108	0.535916268825531	0.13358885049819946
05_to_08	pair	1.406924	1.484441	0.947780	0.5076532363891602	0.1376887857913971
05_to_09	pair	1.808895	1.995662	0.906413	0.5023826956748962	0.21088677644729614
05_to_10	pair	2.050629	2.282162	0.898547	0.49708205461502075	0.25313976407051086
06_to_01	pair	1.615548	2.116509	0.763308	0.6478906273841858	0.4908294677734375
06_to_02	pair	1.175380	1.464999	0.802308	0.5795208811759949	0.47191357612609863
06_to_03	pair	0.729883	0.835825	0.873248	0.4154946208000183	0.4023072123527527
06_to_04	pair	0.436692	0.460203	0.948912	0.3757011294364929	0.36785605549812317
06_to_05	pair	0.268290	0.265459	1.010666	0.19510862231254578	0.17563171684741974
06_to_06	identity	0.007011	0.000000	701112.719253	nan	nan
06_to_07	pair	0.496867	0.507596	0.978864	0.30606335401535034	0.20137077569961548
06_to_08	pair	1.143594	1.255455	0.910900	0.5864835381507874	0.1939353495836258
06_to_09	pair	1.630617	1.833693	0.889253	0.5187203884124756	0.2547169029712677
