pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.003433	0.000000	343317.328952	nan	nan
01_to_02	pair	0.272601	0.332370	0.820173	0.602231502532959	0.45841026306152344
01_to_03	pair	0.561427	0.755384	0.743235	0.744361162185669	0.6227561235427856
01_to_04	pair	0.724726	0.981348	0.738501	0.7376216053962708	0.6830329298973083
01_to_05	pair	0.839008	1.136216	0.738423	0.7389180660247803	0.6894426941871643
01_to_06	pair	0.846108	1.140912	0.741607	0.7407389879226685	0.7932636737823486
01_to_07	pair	0.764478	0.945656	0.808410	0.724653422832489	0.8836652636528015
01_to_08	pair	0.701519	0.801626	0.875120	0.6435205340385437	0.8108470439910889
01_to_09	pair	0.453132	0.535060	0.846881	0.6299238801002502	0.7053645253181458
01_to_10	pair	0.203369	0.230751	0.881337	0.5462102293968201	0.5768809914588928
02_to_01	pair	0.295822	0.340751	0.868146	0.5326898694038391	0.4832601845264435
02_to_02	identity	0.002931	0.000000	293053.453788	nan	nan
02_to_03	pair	0.271831	0.330487	0.822518	0.7086148262023926	0.7647610306739807
02_to_04	pair	0.544769	0.685189	0.795064	0.7302213907241821	0.7265956997871399
02_to_05	pair	0.699082	0.878338	0.795914	0.7136750221252441	0.7376070618629456
02_to_06	pair	0.789822	0.987458	0.799854	0.6825588941574097	0.729642927646637
02_to_07	pair	0.710868	0.917454	0.774826	0.6958028674125671	0.7711966633796692
02_to_08	pair	0.608897	0.757626	0.803691	0.6391045451164246	0.6961825489997864
02_to_09	pair	0.412623	0.500078	0.825117	0.6127870082855225	0.528010904788971
02_to_10	pair	0.359703	0.390113	0.922048	0.33995285630226135	0.3834400773048401
03_to_01	pair	0.594710	0.771520	0.770829	0.7020471096038818	0.5598022937774658
03_to_02	pair	0.273279	0.341433	0.800388	0.7059934735298157	0.6868628859519958
03_to_03	identity	0.005664	0.000000	566358.491778	nan	nan
03_to_04	pair	0.221869	0.284301	0.780401	0.7446976900100708	0.7243135571479797
03_to_05	pair	0.470282	0.597627	0.786915	0.7070358395576477	0.6056877374649048
03_to_06	pair	0.551355	0.718964	0.766874	0.6842237114906311	0.6421343088150024
03_to_07	pair	0.567222	0.712282	0.796346	0.6668659448623657	0.6624282598495483
03_to_08	pair	0.502715	0.640196	0.785251	0.6459774971008301	0.49868839979171753
03_to_09	pair	0.461701	0.567740	0.813226	0.5575576424598694	0.4649102985858917
03_to_10	pair	0.566823	0.692244	0.818820	0.57197505235672	0.5984447598457336
04_to_01	pair	0.804275	1.033960	0.777860	0.6896171569824219	0.6107147336006165
04_to_02	pair	0.554230	0.706954	0.783969	0.7309439182281494	0.7066345810890198
04_to_03	pair	0.226955	0.280114	0.810225	0.7265645861625671	0.7304981350898743
04_to_04	identity	0.003435	0.000000	343481.381424	nan	nan
04_to_05	pair	0.181249	0.217313	0.834045	0.6202694177627563	0.6524533033370972
04_to_06	pair	0.356996	0.423867	0.842235	0.5813742876052856	0.5444517731666565
04_to_07	pair	0.410671	0.510701	0.804132	0.6393365263938904	0.5168248414993286
04_to_08	pair	0.464800	0.566209	0.820897	0.6015806794166565	0.42140188813209534
04_to_09	pair	0.536578	0.679994	0.789092	0.6092652082443237	0.590751051902771
04_to_10	pair	0.694067	0.886294	0.783111	0.6457252502441406	0.6423008441925049
05_to_01	pair	0.956934	1.225770	0.780680	0.6533244848251343	0.6126552820205688
05_to_02	pair	0.757115	0.914051	0.828307	0.6585198640823364	0.6694546937942505
05_to_03	pair	0.527522	0.592579	0.890214	0.6053076982498169	0.5740460157394409
05_to_04	pair	0.215171	0.226624	0.949466	0.45503392815589905	0.6441181898117065
05_to_05	identity	0.003089	0.000000	308854.365721	nan	nan
05_to_06	pair	0.133651	0.139715	0.956600	0.3850182592868805	0.6290029883384705
