scan	vendor	norm	L1_over_zero	cos	k	beat_zero_pct	intensity_dist
CV_P1_V_01	varian	minmax	1.1264	0.3842	0.9752	50.0	0.1610
CV_P1_V_01	varian	p0.5_p99.5	1.1188	0.3849	0.9539	51.1	0.0288
CV_P1_V_01	varian	p1_p99	1.1146	0.3841	0.9405	51.1	0.0232
CV_P1_V_01	varian	p2_p98	1.1082	0.3855	0.9257	52.2	0.0205
CV_P1_V_01	varian	p5_p95	1.0949	0.3907	0.8992	53.3	0.0213
CV_P1_V_01	varian	mu_air_water	1.0437	0.3861	0.8350	62.2	0.0659
CV_P2_V_01	varian	minmax	0.8364	0.6183	0.6824	97.8	0.4205
CV_P2_V_01	varian	p0.5_p99.5	0.8907	0.5997	0.8078	93.3	0.0594
CV_P2_V_01	varian	p1_p99	0.8896	0.5982	0.7963	93.3	0.0529
CV_P2_V_01	varian	p2_p98	0.8880	0.5978	0.7869	93.3	0.0504
CV_P2_V_01	varian	p5_p95	0.8862	0.5974	0.7780	93.3	0.0550
CV_P2_V_01	varian	mu_air_water	0.8714	0.6159	0.8215	94.4	0.1054
CV_P3_V_01	varian	minmax	0.8480	0.6222	0.7988	80.0	0.1063
CV_P3_V_01	varian	p0.5_p99.5	0.8231	0.6552	0.7923	85.6	0.0832
CV_P3_V_01	varian	p1_p99	0.8200	0.6551	0.7723	86.7	0.0853
CV_P3_V_01	varian	p2_p98	0.8177	0.6531	0.7541	86.7	0.0870
CV_P3_V_01	varian	p5_p95	0.8161	0.6487	0.7274	87.8	0.0967
CV_P3_V_01	varian	mu_air_water	0.8423	0.6188	0.7369	83.3	0.0858
CV_P4_V_01	varian	minmax	0.7523	0.6799	0.7349	95.6	0.0964
CV_P4_V_01	varian	p0.5_p99.5	0.7470	0.6839	0.7065	94.4	0.1185
CV_P4_V_01	varian	p1_p99	0.7460	0.6842	0.6985	94.4	0.1245
CV_P4_V_01	varian	p2_p98	0.7451	0.6842	0.6901	94.4	0.1315
CV_P4_V_01	varian	p5_p95	0.7449	0.6839	0.6784	94.4	0.1329
CV_P4_V_01	varian	mu_air_water	0.7571	0.6695	0.7242	94.4	0.0916
CV_P5_V_01	varian	minmax	0.8853	0.5090	0.3164	97.8	0.1719
CV_P5_V_01	varian	p0.5_p99.5	0.7779	0.6528	0.4624	95.6	0.0698
CV_P5_V_01	varian	p1_p99	0.7782	0.6530	0.4615	96.7	0.0631
CV_P5_V_01	varian	p2_p98	0.7822	0.6475	0.4542	96.7	0.0636
CV_P5_V_01	varian	p5_p95	0.7908	0.6369	0.4340	96.7	0.0786
CV_P5_V_01	varian	mu_air_water	0.8146	0.5953	0.3969	93.3	0.0950
CE_P1_V_01	elekta	minmax	1.0287	0.1365	0.3317	40.0	0.5805
CE_P1_V_01	elekta	p0.5_p99.5	0.8614	0.5187	0.5690	91.1	0.2785
CE_P1_V_01	elekta	p1_p99	0.8562	0.5224	0.5535	92.2	0.2620
CE_P1_V_01	elekta	p2_p98	0.8600	0.5152	0.5303	94.4	0.2670
CE_P1_V_01	elekta	p5_p95	0.8631	0.5224	0.5251	97.8	0.2699
CE_P1_V_01	elekta	mu_air_water	0.8404	0.5892	0.6735	93.3	0.2672
CE_P2_V_01	elekta	minmax	1.0183	0.1298	0.3087	46.7	0.6714
CE_P2_V_01	elekta	p0.5_p99.5	0.9792	0.2407	0.3430	64.4	0.4051
CE_P2_V_01	elekta	p1_p99	0.9616	0.3108	0.3931	65.6	0.3655
CE_P2_V_01	elekta	p2_p98	0.9358	0.3978	0.4903	73.3	0.2564
CE_P2_V_01	elekta	p5_p95	0.9386	0.4163	0.4893	75.6	0.1586
CE_P2_V_01	elekta	mu_air_water	0.9139	0.4774	0.5656	81.1	0.3298
CE_P3_V_01	elekta	minmax	0.9963	0.0563	0.1020	52.2	0.9794
CE_P3_V_01	elekta	p0.5_p99.5	0.9065	0.4429	0.2569	83.3	0.5161
CE_P3_V_01	elekta	p1_p99	0.8937	0.4702	0.2810	83.3	0.4334
CE_P3_V_01	elekta	p2_p98	0.8960	0.4654	0.2760	80.0	0.3976
CE_P3_V_01	elekta	p5_p95	0.9091	0.4410	0.2543	78.9	0.3938
CE_P3_V_01	elekta	mu_air_water	0.8980	0.4523	0.2433	85.6	0.3726
CE_P4_V_01	elekta	minmax	0.9606	0.3455	0.4653	76.7	0.4818
CE_P4_V_01	elekta	p0.5_p99.5	0.9325	0.4381	0.5858	80.0	0.1079
CE_P4_V_01	elekta	p1_p99	0.9350	0.4403	0.5980	77.8	0.0850
CE_P4_V_01	elekta	p2_p98	0.9370	0.4376	0.6004	76.7	0.0808
CE_P4_V_01	elekta	p5_p95	0.9387	0.4289	0.5900	77.8	0.0867
CE_P4_V_01	elekta	mu_air_water	0.9676	0.4553	0.7339	67.8	0.0628
CE_P5_V_01	elekta	minmax	0.9485	0.3154	0.2624	80.0	0.3998
CE_P5_V_01	elekta	p0.5_p99.5	0.8736	0.4732	0.3864	81.1	0.2712
CE_P5_V_01	elekta	p1_p99	0.8679	0.4859	0.4026	82.2	0.2241
CE_P5_V_01	elekta	p2_p98	0.8686	0.4864	0.4044	82.2	0.1956
CE_P5_V_01	elekta	p5_p95	0.8727	0.4834	0.3903	81.1	0.1834
CE_P5_V_01	elekta	mu_air_water	0.8418	0.5514	0.5174	82.2	0.1820
