pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.013756	0.000000	1375550.962985	nan	nan
01_to_02	pair	0.398387	0.383169	1.039718	-0.06420277059078217	0.25938859581947327
01_to_03	pair	1.269015	1.230852	1.031006	-0.0022984116803854704	0.28334081172943115
01_to_04	pair	1.773396	1.645525	1.077708	0.03651818633079529	0.38537853956222534
01_to_05	pair	2.000486	1.797984	1.112627	0.004310597199946642	0.43571463227272034
01_to_06	pair	1.999487	1.765300	1.132662	-0.03003891371190548	0.4685795307159424
01_to_07	pair	1.487132	1.343949	1.106539	0.055890198796987534	0.48961925506591797
01_to_08	pair	0.793848	0.765092	1.037585	0.20281998813152313	0.5166966915130615
01_to_09	pair	0.409663	0.362947	1.128714	0.038037024438381195	0.6024638414382935
01_to_10	pair	0.246648	0.231239	1.066634	-0.23180191218852997	0.2178640067577362
02_to_01	pair	0.394423	0.373688	1.055489	-0.21556201577186584	0.17464394867420197
02_to_02	identity	0.017268	0.000000	1726799.085736	nan	nan
02_to_03	pair	0.511213	0.507783	1.006755	0.16219331324100494	0.21131113171577454
02_to_04	pair	1.153113	1.104614	1.043906	0.002134790876880288	0.23382169008255005
02_to_05	pair	1.552869	1.398126	1.110679	-0.09067687392234802	0.35650575160980225
02_to_06	pair	1.514920	1.355520	1.117594	-0.04167929291725159	0.4293297529220581
02_to_07	pair	1.109677	1.008403	1.100431	0.02472987212240696	0.49130263924598694
02_to_08	pair	0.687123	0.607477	1.131109	-0.06213676929473877	0.5157913565635681
02_to_09	pair	0.626130	0.520649	1.202595	-0.3724517226219177	0.3941689729690552
02_to_10	pair	0.685889	0.629724	1.089189	-0.42777925729751587	0.19385899603366852
03_to_01	pair	1.229713	1.171499	1.049691	-0.10126931965351105	0.25600317120552063
03_to_02	pair	0.486890	0.479957	1.014443	0.04550614953041077	0.15481135249137878
03_to_03	identity	0.028272	0.000000	2827152.609825	nan	nan
03_to_04	pair	0.375011	0.357610	1.048660	-0.11028750240802765	0.14797447621822357
03_to_05	pair	0.658488	0.589066	1.117851	-0.11535651981830597	0.3127794563770294
03_to_06	pair	0.893839	0.752228	1.188256	-0.2430657297372818	0.4457859396934509
03_to_07	pair	0.625711	0.627460	0.997212	0.2096863090991974	0.3011331260204315
03_to_08	pair	0.953041	0.892904	1.067350	-0.20512661337852478	0.2072688341140747
03_to_09	pair	1.218087	1.161543	1.048680	-0.27473846077919006	0.17644481360912323
03_to_10	pair	1.394633	1.366739	1.020410	-0.0556466169655323	0.2413376271724701
04_to_01	pair	1.655651	1.540874	1.074489	-0.07609155774116516	0.335091233253479
04_to_02	pair	1.124036	1.014633	1.107825	-0.19660010933876038	0.23960979282855988
04_to_03	pair	0.356317	0.344286	1.034944	-0.1107458546757698	0.11354216188192368
04_to_04	identity	0.020292	0.000000	2029198.408127	nan	nan
04_to_05	pair	0.255054	0.247435	1.030795	-0.15171469748020172	0.12177600711584091
04_to_06	pair	0.409907	0.386374	1.060906	-0.006905450485646725	0.3491014242172241
04_to_07	pair	0.624882	0.609610	1.025053	0.0006892686942592263	0.2142340987920761
04_to_08	pair	1.136672	1.075706	1.056675	-0.27206310629844666	0.18052323162555695
04_to_09	pair	1.498149	1.437664	1.042071	-0.08091456443071365	0.24166816473007202
04_to_10	pair	1.701662	1.658634	1.025942	0.02163284830749035	0.29470738768577576
05_to_01	pair	1.917447	1.686764	1.136761	-0.16128027439117432	0.36836907267570496
05_to_02	pair	1.480097	1.266736	1.168433	-0.1957007646560669	0.38756659626960754
05_to_03	pair	0.605302	0.565520	1.070347	0.037721578031778336	0.3493204116821289
05_to_04	pair	0.249130	0.246878	1.009119	0.04082505777478218	0.1268245428800583
05_to_05	identity	0.015420	0.000000	1542041.357607	nan	nan
05_to_06	pair	0.239945	0.243390	0.985844	0.18544340133666992	0.06987401843070984
05_to_07	pair	0.597631	0.600396	0.995394	0.14360053837299347	0.2239709198474884
05_to_08	pair	1.179571	1.071677	1.100678	-0.16974575817584991	0.3176807165145874
05_to_09	pair	1.618261	1.524253	1.061674	-0.007811158429831266	0.3198193609714508
05_to_10	pair	2.010170	1.862919	1.079043	-0.05459756776690483	0.398189514875412
06_to_01	pair	2.006651	1.694264	1.184379	-0.13128159940242767	0.46749117970466614
06_to_02	pair	1.498008	1.255286	1.193360	-0.11464032530784607	0.5079063773155212
06_to_03	pair	0.811545	0.714043	1.136548	-0.012447833083570004	0.45288506150245667
06_to_04	pair	0.400134	0.382374	1.046447	0.08767391741275787	0.4512590765953064
06_to_05	pair	0.251457	0.245322	1.025005	-0.09806966781616211	0.10029043257236481
06_to_06	identity	0.018144	0.000000	1814439.520240	nan	nan
06_to_07	pair	0.401409	0.404705	0.991856	0.24144862592220306	0.30295345187187195
06_to_08	pair	1.044770	0.870913	1.199625	-0.14744743704795837	0.5199517011642456
06_to_09	pair	1.509361	1.404932	1.074331	0.019155902788043022	0.3938809633255005
06_to_10	pair	2.002907	1.824787	1.097611	-0.04696545749902725	0.46212321519851685
07_to_01	pair	1.511310	1.248031	1.210956	-0.052794646471738815	0.5537862181663513
07_to_02	pair	1.155370	0.959571	1.204049	-0.09617268294095993	0.5302786231040955
07_to_03	pair	0.638122	0.622187	1.025611	0.19200770556926727	0.3602275848388672
07_to_04	pair	0.628870	0.622187	1.010740	0.08815343677997589	0.17887243628501892
07_to_05	pair	0.647327	0.615050	1.052479	-0.11959208548069	0.24290840327739716
07_to_06	pair	0.454303	0.417106	1.089178	-0.09747463464736938	0.28547602891921997
07_to_07	identity	0.024411	0.000000	2441141.754389	nan	nan
07_to_08	pair	0.473193	0.469165	1.008587	0.07277493923902512	0.1303771585226059
07_to_09	pair	0.930543	0.932549	0.997848	0.19579452276229858	0.29945138096809387
07_to_10	pair	1.478431	1.393687	1.060806	0.06022728234529495	0.4780047833919525
08_to_01	pair	0.842629	0.755354	1.115542	0.03235452622175217	0.44204363226890564
08_to_02	pair	0.690208	0.589452	1.170932	-0.15027031302452087	0.4874520003795624
08_to_03	pair	0.946590	0.907557	1.043009	-0.029077036306262016	0.20596110820770264
08_to_04	pair	1.168296	1.104625	1.057640	-0.19339978694915771	0.21504326164722443
08_to_05	pair	1.273021	1.128541	1.128023	-0.15319177508354187	0.3714554011821747
08_to_06	pair	1.164242	0.956336	1.217398	-0.15976764261722565	0.4894055724143982
08_to_07	pair	0.512265	0.484070	1.058245	-0.13962891697883606	0.18541133403778076
08_to_08	identity	0.019513	0.000000	1951349.526644	nan	nan
08_to_09	pair	0.402206	0.406001	0.990654	0.2033633142709732	0.13688786327838898
08_to_10	pair	0.745114	0.751807	0.991098	0.23299013078212738	0.45226481556892395
09_to_01	pair	0.396716	0.368094	1.077757	-0.10752896964550018	0.34838786721229553
09_to_02	pair	0.645335	0.551272	1.170629	-0.2571529746055603	0.3551713824272156
09_to_03	pair	1.295056	1.201547	1.077824	-0.2382861226797104	0.24619410932064056
09_to_04	pair	1.642339	1.508976	1.088380	-0.11680340021848679	0.32822656631469727
09_to_05	pair	1.794233	1.626589	1.103065	-0.029161734506487846	0.389163076877594
09_to_06	pair	1.660728	1.508342	1.101029	-0.012253397144377232	0.3961634039878845
09_to_07	pair	1.017228	0.992626	1.024785	0.11920571327209473	0.2926422655582428
09_to_08	pair	0.448052	0.422591	1.060250	-0.2077169567346573	0.16060617566108704
09_to_09	identity	0.011004	0.000000	1100374.851376	nan	nan
09_to_10	pair	0.274345	0.286272	0.958338	0.29192018508911133	0.15182086825370789
10_to_01	pair	0.261742	0.239771	1.091631	-0.2693914771080017	0.24627386033535004
10_to_02	pair	0.731271	0.646829	1.130547	-0.28342053294181824	0.287948340177536
10_to_03	pair	1.527538	1.420108	1.075649	-0.16571317613124847	0.3037869334220886
10_to_04	pair	1.926425	1.766569	1.090489	-0.042256515473127365	0.40420591831207275
10_to_05	pair	2.205157	2.010335	1.096910	-0.00016450622933916748	0.4707236588001251
10_to_06	pair	2.164126	1.947671	1.111135	-0.05807165801525116	0.45431971549987793
10_to_07	pair	1.506607	1.505615	1.000659	0.10344088822603226	0.3331192433834076
10_to_08	pair	0.809663	0.782096	1.035247	0.10625933855772018	0.3502737283706665
10_to_09	pair	0.291237	0.297518	0.978889	0.19989226758480072	0.11862985789775848
10_to_10	identity	0.035734	0.000000	3573352.470994	nan	nan
