pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.005606	0.000000	560581.125319	nan	nan
01_to_02	pair	0.234720	0.225848	1.039284	0.2461840808391571	0.5836975574493408
01_to_03	pair	0.568108	0.514921	1.103291	0.28212153911590576	0.8737481236457825
01_to_04	pair	0.749008	0.714543	1.048233	0.46147283911705017	1.0050427913665771
01_to_05	pair	0.869618	0.754408	1.152716	0.5222201943397522	1.2182273864746094
01_to_06	pair	0.920822	0.742779	1.239698	0.5453845262527466	1.413045883178711
01_to_07	pair	0.987765	0.632931	1.560621	0.20206783711910248	1.4940043687820435
01_to_08	pair	0.688523	0.524817	1.311930	0.26245754957199097	1.23866605758667
01_to_09	pair	0.440038	0.349547	1.258881	0.0027027172036468983	0.716174304485321
01_to_10	pair	0.172925	0.160100	1.080110	-0.025941921398043633	0.28988757729530334
02_to_01	pair	0.237077	0.228828	1.036049	0.30687621235847473	0.6837615966796875
02_to_02	identity	0.005243	0.000000	524266.017601	nan	nan
02_to_03	pair	0.221778	0.218714	1.014009	0.49395889043807983	1.0146334171295166
02_to_04	pair	0.489943	0.536150	0.913818	0.5121053457260132	0.881568968296051
02_to_05	pair	0.738250	0.805199	0.916854	0.533955454826355	0.8817304372787476
02_to_06	pair	0.735460	0.688857	1.067653	0.5133460760116577	1.1020010709762573
02_to_07	pair	0.709374	0.708678	1.000981	0.46590456366539	0.889087438583374
02_to_08	pair	0.594084	0.623101	0.953432	0.4355153441429138	0.7306753396987915
02_to_09	pair	0.608057	0.543702	1.118365	-0.08765099942684174	0.42726683616638184
02_to_10	pair	0.495087	0.501835	0.986555	0.1326780766248703	0.2373240739107132
03_to_01	pair	0.530683	0.512375	1.035732	0.34126201272010803	0.8370108008384705
03_to_02	pair	0.212704	0.214379	0.992188	0.45285671949386597	0.8078434467315674
03_to_03	identity	0.006009	0.000000	600947.951898	nan	nan
03_to_04	pair	0.198147	0.239987	0.825658	0.5438513159751892	0.5457810759544373
03_to_05	pair	0.475077	0.579169	0.820274	0.5108566880226135	0.4650753140449524
03_to_06	pair	0.650527	0.758821	0.857286	0.4705077111721039	0.5236008763313293
03_to_07	pair	0.614213	0.640985	0.958234	0.35577353835105896	0.5606042146682739
03_to_08	pair	0.625579	0.687064	0.910510	0.3829164505004883	0.35188257694244385
03_to_09	pair	0.670579	0.685678	0.977980	0.19075797498226166	0.3633769154548645
03_to_10	pair	0.613815	0.540113	1.136456	0.20237891376018524	0.8413704633712769
04_to_01	pair	0.759479	0.780638	0.972896	0.4117540717124939	0.7571133971214294
04_to_02	pair	0.469802	0.532704	0.881920	0.5498470664024353	0.869369387626648
04_to_03	pair	0.205758	0.237405	0.866696	0.527163028717041	0.5860549807548523
04_to_04	identity	0.004582	0.000000	458224.257454	nan	nan
04_to_05	pair	0.175741	0.221504	0.793398	0.5767819285392761	0.4870140850543976
04_to_06	pair	0.410544	0.469833	0.873808	0.43520665168762207	0.43455377221107483
04_to_07	pair	0.648925	0.704433	0.921202	0.4019150137901306	0.30938535928726196
04_to_08	pair	0.734620	0.747827	0.982340	0.26267752051353455	0.3052913248538971
04_to_09	pair	0.810258	0.735433	1.101744	0.15577568113803864	0.6405913829803467
04_to_10	pair	0.748126	0.672584	1.112316	0.3608008027076721	0.9192904233932495
05_to_01	pair	0.752415	0.749508	1.003878	0.4969542920589447	0.9471734762191772
05_to_02	pair	0.709957	0.826431	0.859064	0.5360810160636902	0.6951910853385925
05_to_03	pair	0.494195	0.588200	0.840183	0.5012460947036743	0.5157679319381714
05_to_04	pair	0.187954	0.225704	0.832745	0.5327335596084595	0.5528020858764648
05_to_05	identity	0.002958	0.000000	295826.932415	nan	nan
05_to_06	pair	0.204324	0.218412	0.935497	0.3411453366279602	0.38911759853363037
05_to_07	pair	0.440769	0.474068	0.929759	0.3887288570404053	0.2893838584423065
05_to_08	pair	0.711272	0.664968	1.069633	0.12621958553791046	0.5193731188774109
05_to_09	pair	0.977934	0.808245	1.209947	0.13096830248832703	0.8287895321846008
05_to_10	pair	0.998634	0.761150	1.312007	0.19688525795936584	1.0782215595245361
06_to_01	pair	0.762722	0.769175	0.991611	0.5261697769165039	1.0089383125305176
06_to_02	pair	0.648200	0.695616	0.931837	0.49123406410217285	0.810692310333252
06_to_03	pair	0.648108	0.751114	0.862862	0.46836137771606445	0.4895503520965576
06_to_04	pair	0.428110	0.481160	0.889745	0.3995383381843567	0.39328911900520325
06_to_05	pair	0.207023	0.215365	0.961267	0.26947489380836487	0.3401297926902771
06_to_06	identity	0.004891	0.000000	489134.201780	nan	nan
06_to_07	pair	0.218680	0.226231	0.966621	0.26550209522247314	0.32091763615608215
06_to_08	pair	0.470706	0.412106	1.142197	0.17260564863681793	0.7755974531173706
06_to_09	pair	0.788426	0.615277	1.281416	0.09396744519472122	0.9029074311256409
06_to_10	pair	0.967810	0.721094	1.342142	0.11474838107824326	1.0816175937652588
07_to_01	pair	0.871665	0.630572	1.382340	0.17156970500946045	1.2945775985717773
07_to_02	pair	0.680763	0.723112	0.941435	0.49374714493751526	0.8162131309509277
07_to_03	pair	0.591861	0.658017	0.899460	0.4484005272388458	0.5294378995895386
