pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.015521	0.000000	1552056.148648	nan	nan
01_to_02	pair	0.424473	0.412737	1.028434	-0.07589046657085419	0.10562314093112946
01_to_03	pair	1.254128	1.191885	1.052222	-0.21068713068962097	0.10948184132575989
01_to_04	pair	1.565393	1.453186	1.077215	-0.2730541527271271	0.14113900065422058
01_to_05	pair	1.674108	1.552099	1.078609	-0.2506124675273895	0.1492110788822174
01_to_06	pair	1.616874	1.503139	1.075665	-0.17398107051849365	0.15917162597179413
01_to_07	pair	1.420314	1.333044	1.065467	-0.15554428100585938	0.1534898728132248
01_to_08	pair	1.120407	1.065695	1.051340	-0.17650113999843597	0.1356632262468338
01_to_09	pair	0.757831	0.724359	1.046210	-0.23361274600028992	0.12656337022781372
01_to_10	pair	0.366105	0.355581	1.029595	-0.20220546424388885	0.11688628047704697
02_to_01	pair	0.417049	0.404560	1.030871	-0.046365123242139816	0.13427692651748657
02_to_02	identity	0.008268	0.000000	826798.286289	nan	nan
02_to_03	pair	0.533255	0.502816	1.060537	-0.15180765092372894	0.12619653344154358
02_to_04	pair	0.882574	0.795878	1.108931	-0.23762747645378113	0.18730013072490692
02_to_05	pair	1.132966	1.031234	1.098651	-0.2251400500535965	0.18170233070850372
02_to_06	pair	1.190647	1.098740	1.083647	-0.18148267269134521	0.17563460767269135
02_to_07	pair	1.073737	1.018315	1.054425	-0.12313027679920197	0.17009973526000977
02_to_08	pair	0.917733	0.899736	1.020003	-0.04618231952190399	0.13487276434898376
02_to_09	pair	0.724985	0.704035	1.029758	-0.09783153235912323	0.1089315116405487
02_to_10	pair	0.447695	0.437902	1.022362	0.020436862483620644	0.1466810256242752
03_to_01	pair	1.219507	1.185975	1.028273	-0.07178399711847305	0.10238021612167358
03_to_02	pair	0.540466	0.503510	1.073396	-0.29260361194610596	0.13590510189533234
03_to_03	identity	0.011918	0.000000	1191839.575768	nan	nan
03_to_04	pair	0.315049	0.294523	1.069693	-0.3273269832134247	0.14916154742240906
03_to_05	pair	0.568195	0.527409	1.077334	-0.28591787815093994	0.1654355227947235
03_to_06	pair	0.670039	0.636062	1.053418	-0.15877678990364075	0.15844982862472534
03_to_07	pair	0.727633	0.707535	1.028406	-0.04833247885107994	0.13887298107147217
03_to_08	pair	0.784561	0.774707	1.012719	-0.08859883248806	0.10696426033973694
03_to_09	pair	0.898649	0.877174	1.024481	-0.11265461146831512	0.11664586514234543
03_to_10	pair	1.105601	1.070336	1.032948	-0.03753199800848961	0.14562876522541046
04_to_01	pair	1.447291	1.412139	1.024893	0.06586161255836487	0.15910904109477997
04_to_02	pair	0.828962	0.786776	1.053619	-0.046275801956653595	0.16965413093566895
04_to_03	pair	0.313955	0.286574	1.095546	-0.26482415199279785	0.2000051885843277
04_to_04	identity	0.007622	0.000000	762155.186385	nan	nan
04_to_05	pair	0.257925	0.251635	1.024996	-0.08187904953956604	0.11818315088748932
04_to_06	pair	0.390102	0.385818	1.011104	0.07220982760190964	0.11553999781608582
04_to_07	pair	0.514037	0.517733	0.992862	0.06542053073644638	0.12837843596935272
04_to_08	pair	0.719075	0.713430	1.007913	-0.010261681862175465	0.1298380345106125
04_to_09	pair	0.963979	0.940748	1.024694	0.009313381277024746	0.1812216192483902
04_to_10	pair	1.242182	1.207316	1.028879	0.08076261729001999	0.19052642583847046
05_to_01	pair	1.504241	1.479541	1.016694	0.14380471408367157	0.19740183651447296
05_to_02	pair	1.094768	1.047866	1.044760	-0.008081368170678616	0.19105404615402222
05_to_03	pair	0.541688	0.513150	1.055614	-0.10329246520996094	0.18661485612392426
05_to_04	pair	0.261033	0.255745	1.020676	0.010628408752381802	0.1670941412448883
05_to_05	identity	0.007164	0.000000	716411.229223	nan	nan
05_to_06	pair	0.176141	0.174867	1.007288	0.05663885548710823	0.0934583768248558
05_to_07	pair	0.369342	0.366271	1.008385	0.013548413291573524	0.13080638647079468
05_to_08	pair	0.650665	0.639597	1.017306	0.019156798720359802	0.17794173955917358
05_to_09	pair	0.942620	0.926330	1.017586	0.1144501268863678	0.22877149283885956
05_to_10	pair	1.249374	1.222690	1.021825	0.1472150832414627	0.2271399348974228
06_to_01	pair	1.487495	1.447151	1.027878	0.0915941670536995	0.20404140651226044
06_to_02	pair	1.115768	1.058359	1.054243	-0.04963389039039612	0.20817899703979492
06_to_03	pair	0.657356	0.619980	1.060286	-0.06620268523693085	0.20938749611377716
06_to_04	pair	0.401507	0.387870	1.035159	0.027998261153697968	0.21069523692131042
06_to_05	pair	0.183124	0.180208	1.016179	0.04107368737459183	0.15651704370975494
06_to_06	identity	0.006293	0.000000	629338.761792	nan	nan
