pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.011522	0.000000	1152203.883976	nan	nan
01_to_02	pair	0.341789	0.326654	1.046334	0.37747859954833984	0.7211211919784546
01_to_03	pair	0.639617	0.676961	0.944835	0.5632957816123962	0.7716105580329895
01_to_04	pair	0.764172	0.894585	0.854220	0.604854941368103	0.8070268630981445
01_to_05	pair	0.932598	1.201784	0.776011	0.6555222868919373	0.7279612421989441
01_to_06	pair	1.059324	1.387839	0.763290	0.6648284196853638	0.6907604932785034
01_to_07	pair	0.896538	1.127972	0.794823	0.602044403553009	0.6429473161697388
01_to_08	pair	0.680859	0.859081	0.792544	0.613653302192688	0.522331714630127
01_to_09	pair	0.515944	0.611380	0.843900	0.6358935832977295	0.37483125925064087
01_to_10	pair	0.335968	0.343676	0.977571	0.25543275475502014	0.20953868329524994
02_to_01	pair	0.335976	0.319704	1.050898	0.34764134883880615	0.7119717001914978
02_to_02	identity	0.010136	0.000000	1013595.610857	nan	nan
02_to_03	pair	0.276735	0.338032	0.818665	0.7288966774940491	0.9827491641044617
02_to_04	pair	0.527862	0.637639	0.827839	0.6834724545478821	0.9016708731651306
02_to_05	pair	0.706889	0.970341	0.728495	0.7135744094848633	0.7515183091163635
02_to_06	pair	0.831362	1.162847	0.714936	0.7178629636764526	0.6973361372947693
02_to_07	pair	0.814376	0.992118	0.820845	0.5969103574752808	0.6453372240066528
02_to_08	pair	0.673065	0.770588	0.873443	0.5001635551452637	0.5710609555244446
02_to_09	pair	0.614853	0.625526	0.982938	0.23462936282157898	0.4645792245864868
02_to_10	pair	0.495837	0.401621	1.234589	-0.15431293845176697	0.8334407806396484
03_to_01	pair	0.599373	0.645767	0.928156	0.6048815250396729	0.9067192673683167
03_to_02	pair	0.270805	0.338703	0.799534	0.7456662058830261	1.0368536710739136
03_to_03	identity	0.014523	0.000000	1452258.508652	nan	nan
03_to_04	pair	0.247065	0.298417	0.827920	0.6465582847595215	0.8342016339302063
03_to_05	pair	0.486101	0.629203	0.772567	0.6845590472221375	0.6569933891296387
03_to_06	pair	0.658188	0.854974	0.769834	0.6767973303794861	0.6022365093231201
03_to_07	pair	0.650933	0.731535	0.889817	0.48986756801605225	0.5450541973114014
03_to_08	pair	0.661210	0.637704	1.036862	0.23889277875423431	0.6402684450149536
03_to_09	pair	0.652440	0.516075	1.264235	0.13496606051921844	1.1559040546417236
03_to_10	pair	0.673329	0.523410	1.286428	0.3275016248226166	1.3663657903671265
04_to_01	pair	0.740204	0.827395	0.894620	0.6731594800949097	1.0944201946258545
04_to_02	pair	0.462070	0.577734	0.799797	0.7541168928146362	1.0890694856643677
04_to_03	pair	0.237006	0.279927	0.846672	0.6610796451568604	1.026532769203186
04_to_04	identity	0.015450	0.000000	1544989.366084	nan	nan
04_to_05	pair	0.264305	0.348021	0.759452	0.7405872941017151	0.46142303943634033
04_to_06	pair	0.500327	0.627401	0.797459	0.642626941204071	0.4404456615447998
04_to_07	pair	0.581134	0.580611	1.000901	0.25938597321510315	0.5156210064888
04_to_08	pair	0.679514	0.546896	1.242491	0.2155296504497528	1.0513038635253906
04_to_09	pair	0.772026	0.506958	1.522860	0.2707033157348633	1.5606822967529297
04_to_10	pair	0.757455	0.593922	1.275345	0.5348761677742004	1.5602251291275024
05_to_01	pair	0.764482	1.076548	0.710124	0.7823655605316162	0.9385010600090027
05_to_02	pair	0.631331	0.892070	0.707714	0.759983479976654	0.8877109289169312
05_to_03	pair	0.446519	0.596326	0.748783	0.7172034382820129	0.7408197522163391
05_to_04	pair	0.253649	0.337035	0.752588	0.7279692888259888	0.5589348077774048
05_to_05	identity	0.017176	0.000000	1717550.307512	nan	nan
05_to_06	pair	0.222720	0.262211	0.849394	0.5489553809165955	0.3595336675643921
05_to_07	pair	0.393281	0.400074	0.983022	0.40542569756507874	0.7715623378753662
05_to_08	pair	0.571793	0.576863	0.991212	0.5712757706642151	1.097159504890442
05_to_09	pair	0.713339	0.691442	1.031668	0.6056980490684509	1.2824175357818604
05_to_10	pair	0.832710	0.881321	0.944844	0.6462945938110352	1.1665204763412476
06_to_01	pair	0.834314	1.296750	0.643388	0.8375023007392883	0.6908271908760071
06_to_02	pair	0.775659	1.066434	0.727339	0.7231318950653076	0.7364160418510437
06_to_03	pair	0.619264	0.813302	0.761419	0.6654008030891418	0.5997400283813477
06_to_04	pair	0.487421	0.611303	0.797347	0.6410053372383118	0.452083945274353
06_to_05	pair	0.212179	0.264295	0.802811	0.6244326233863831	0.4270501732826233
06_to_06	identity	0.021911	0.000000	2191141.620278	nan	nan
06_to_07	pair	0.278622	0.337161	0.826376	0.6327634453773499	0.46540623903274536
06_to_08	pair	0.430870	0.591531	0.728397	0.724181056022644	0.7249687910079956
06_to_09	pair	0.582133	0.735652	0.791316	0.693545937538147	0.9526898860931396
06_to_10	pair	0.751968	0.957267	0.785537	0.6938671469688416	0.9030498266220093
07_to_01	pair	0.862177	1.023236	0.842598	0.633948802947998	0.8439236879348755
07_to_02	pair	0.792176	0.915591	0.865207	0.5298401713371277	0.6198564767837524
07_to_03	pair	0.644629	0.719027	0.896530	0.4317372143268585	0.47430628538131714
07_to_04	pair	0.553878	0.567239	0.976446	0.22498349845409393	0.4575980603694916
07_to_05	pair	0.401745	0.412649	0.973576	0.3408081531524658	0.621487021446228
07_to_06	pair	0.308347	0.356046	0.866031	0.5523027181625366	0.5965314507484436
07_to_07	identity	0.018428	0.000000	1842822.507024	nan	nan
07_to_08	pair	0.284246	0.321638	0.883746	0.6253048181533813	0.9672149419784546
07_to_09	pair	0.479673	0.454655	1.055026	0.6595946550369263	1.4114402532577515
07_to_10	pair	0.628583	0.658376	0.954747	0.6689013242721558	1.2028106451034546
08_to_01	pair	0.735558	0.798644	0.921009	0.4688410460948944	0.27222880721092224
08_to_02	pair	0.669701	0.677410	0.988620	0.16393689811229706	0.1937701404094696
08_to_03	pair	0.578273	0.566289	1.021164	-0.07724671810865402	0.2660076916217804
08_to_04	pair	0.609684	0.547156	1.114278	-0.03035966493189335	0.4580572247505188
08_to_05	pair	0.605336	0.624736	0.968946	0.3541291058063507	0.5673296451568604
08_to_06	pair	0.564423	0.628526	0.898011	0.5056269764900208	0.5611955523490906
08_to_07	pair	0.326244	0.359721	0.906936	0.5026863217353821	0.3388373851776123
08_to_08	identity	0.011491	0.000000	1149111.334234	nan	nan
08_to_09	pair	0.274737	0.307789	0.892616	0.4739832580089569	0.441786527633667
08_to_10	pair	0.427872	0.479025	0.893214	0.5342879891395569	0.4671086370944977
09_to_01	pair	0.490133	0.582528	0.841391	0.6516962647438049	0.45588216185569763
09_to_02	pair	0.610769	0.567422	1.076394	-0.030755188316106796	0.4555654227733612
09_to_03	pair	0.667554	0.515163	1.295810	0.017436904832720757	1.077183485031128
09_to_04	pair	0.813376	0.505332	1.609587	0.17285190522670746	1.5431548357009888
09_to_05	pair	0.822556	0.713303	1.153165	0.5171471834182739	1.334171175956726
09_to_06	pair	0.808155	0.762595	1.059743	0.628668487071991	1.3138493299484253
09_to_07	pair	0.479482	0.450462	1.064424	0.65264493227005	1.353364109992981
09_to_08	pair	0.234344	0.259873	0.901765	0.5806414484977722	0.9513896107673645
09_to_09	identity	0.010970	0.000000	1096990.890801	nan	nan
09_to_10	pair	0.224891	0.280902	0.800602	0.6766053438186646	0.6440882086753845
10_to_01	pair	0.357206	0.366969	0.973394	0.30092743039131165	0.11678040027618408
10_to_02	pair	0.474697	0.407496	1.164911	-0.3156444728374481	0.548893392086029
10_to_03	pair	0.599422	0.514517	1.165019	0.19630835950374603	0.9694609045982361
10_to_04	pair	0.730379	0.595319	1.226871	0.39172860980033875	1.2643272876739502
10_to_05	pair	0.957678	0.931372	1.028244	0.5138372778892517	0.9870554804801941
10_to_06	pair	0.976570	1.024548	0.953172	0.5965807437896729	0.9715747237205505
10_to_07	pair	0.602223	0.687737	0.875659	0.620201051235199	0.8582899570465088
10_to_08	pair	0.414068	0.487675	0.849066	0.5961822867393494	0.6632757782936096
10_to_09	pair	0.266177	0.302644	0.879506	0.5512306690216064	0.39213308691978455
10_to_10	identity	0.008323	0.000000	832306.314260	nan	nan
