[crb_dec_mse_full_spare] device=cuda:0 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260824
[crb_dec_mse_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.434391 | val MSE: 0.248185 | total time: 0 hours 3 minutes
Epoch: 2 | train MSE: 0.246678 | val MSE: 0.181404 | total time: 0 hours 7 minutes
Epoch: 3 | train MSE: 0.170517 | val MSE: 0.143387 | total time: 0 hours 11 minutes
Epoch: 4 | train MSE: 0.131928 | val MSE: 0.124469 | total time: 0 hours 15 minutes
Epoch: 5 | train MSE: 0.108451 | val MSE: 0.116646 | total time: 0 hours 18 minutes
Epoch: 6 | train MSE: 0.091382 | val MSE: 0.087030 | total time: 0 hours 22 minutes
Epoch: 7 | train MSE: 0.078268 | val MSE: 0.084782 | total time: 0 hours 26 minutes
Epoch: 8 | train MSE: 0.068188 | val MSE: 0.072141 | total time: 0 hours 30 minutes
Epoch: 9 | train MSE: 0.059924 | val MSE: 0.062757 | total time: 0 hours 33 minutes
Epoch: 10 | train MSE: 0.057031 | val MSE: 0.077327 | total time: 0 hours 37 minutes
Epoch: 11 | train MSE: 0.052707 | val MSE: 0.063621 | total time: 0 hours 41 minutes
Epoch: 12 | train MSE: 0.048820 | val MSE: 0.058358 | total time: 0 hours 45 minutes
Epoch: 13 | train MSE: 0.046099 | val MSE: 0.052153 | total time: 0 hours 49 minutes
Epoch: 14 | train MSE: 0.043767 | val MSE: 0.050610 | total time: 0 hours 52 minutes
Epoch: 15 | train MSE: 0.042224 | val MSE: 0.054885 | total time: 0 hours 56 minutes
Epoch: 16 | train MSE: 0.040696 | val MSE: 0.046884 | total time: 1 hours 0 minutes
Epoch: 17 | train MSE: 0.038944 | val MSE: 0.047931 | total time: 1 hours 4 minutes
Epoch: 18 | train MSE: 0.037874 | val MSE: 0.048879 | total time: 1 hours 8 minutes
Epoch: 19 | train MSE: 0.036363 | val MSE: 0.044993 | total time: 1 hours 11 minutes
Epoch: 20 | train MSE: 0.034800 | val MSE: 0.043809 | total time: 1 hours 15 minutes
Epoch: 21 | train MSE: 0.034471 | val MSE: 0.045770 | total time: 1 hours 19 minutes
Epoch: 22 | train MSE: 0.032794 | val MSE: 0.044558 | total time: 1 hours 22 minutes
Epoch: 23 | train MSE: 0.032655 | val MSE: 0.047683 | total time: 1 hours 26 minutes
Epoch: 24 | train MSE: 0.032274 | val MSE: 0.040378 | total time: 1 hours 30 minutes
Epoch: 25 | train MSE: 0.030624 | val MSE: 0.038918 | total time: 1 hours 34 minutes
Epoch: 26 | train MSE: 0.030368 | val MSE: 0.038107 | total time: 1 hours 37 minutes
Epoch: 27 | train MSE: 0.030284 | val MSE: 0.039088 | total time: 1 hours 41 minutes
Epoch: 28 | train MSE: 0.029326 | val MSE: 0.037780 | total time: 1 hours 45 minutes
Epoch: 29 | train MSE: 0.029122 | val MSE: 0.037172 | total time: 1 hours 49 minutes
Epoch: 30 | train MSE: 0.028108 | val MSE: 0.035813 | total time: 1 hours 52 minutes
Epoch: 31 | train MSE: 0.027748 | val MSE: 0.036465 | total time: 1 hours 56 minutes
Epoch: 32 | train MSE: 0.027437 | val MSE: 0.037049 | total time: 2 hours 0 minutes
Epoch: 33 | train MSE: 0.027217 | val MSE: 0.037562 | total time: 2 hours 4 minutes
Epoch: 34 | train MSE: 0.026556 | val MSE: 0.035798 | total time: 2 hours 8 minutes
Epoch: 35 | train MSE: 0.026271 | val MSE: 0.034979 | total time: 2 hours 11 minutes
Epoch: 36 | train MSE: 0.025991 | val MSE: 0.034471 | total time: 2 hours 15 minutes
Epoch: 37 | train MSE: 0.025748 | val MSE: 0.037603 | total time: 2 hours 19 minutes
Epoch: 38 | train MSE: 0.025396 | val MSE: 0.036858 | total time: 2 hours 23 minutes
Epoch: 39 | train MSE: 0.025157 | val MSE: 0.035257 | total time: 2 hours 26 minutes
Epoch: 40 | train MSE: 0.025027 | val MSE: 0.035620 | total time: 2 hours 30 minutes
Epoch: 41 | train MSE: 0.024587 | val MSE: 0.034263 | total time: 2 hours 34 minutes
Epoch: 42 | train MSE: 0.024211 | val MSE: 0.034518 | total time: 2 hours 38 minutes
Epoch: 43 | train MSE: 0.023763 | val MSE: 0.034917 | total time: 2 hours 41 minutes
Epoch: 44 | train MSE: 0.023865 | val MSE: 0.033231 | total time: 2 hours 45 minutes
Epoch: 45 | train MSE: 0.023625 | val MSE: 0.033547 | total time: 2 hours 49 minutes
Epoch: 46 | train MSE: 0.023302 | val MSE: 0.035889 | total time: 2 hours 52 minutes
Epoch: 47 | train MSE: 0.023025 | val MSE: 0.033104 | total time: 2 hours 56 minutes
Epoch: 48 | train MSE: 0.022654 | val MSE: 0.032122 | total time: 3 hours 0 minutes
Epoch: 49 | train MSE: 0.022314 | val MSE: 0.030696 | total time: 3 hours 3 minutes
Epoch: 50 | train MSE: 0.022429 | val MSE: 0.033459 | total time: 3 hours 7 minutes
Epoch: 51 | train MSE: 0.022101 | val MSE: 0.032225 | total time: 3 hours 11 minutes
Epoch: 52 | train MSE: 0.022032 | val MSE: 0.031513 | total time: 3 hours 15 minutes
Epoch: 53 | train MSE: 0.021886 | val MSE: 0.030118 | total time: 3 hours 18 minutes
Epoch: 54 | train MSE: 0.021531 | val MSE: 0.030910 | total time: 3 hours 22 minutes
Epoch: 55 | train MSE: 0.021178 | val MSE: 0.031054 | total time: 3 hours 26 minutes
Epoch: 56 | train MSE: 0.021303 | val MSE: 0.031827 | total time: 3 hours 29 minutes
Epoch: 57 | train MSE: 0.021008 | val MSE: 0.030116 | total time: 3 hours 33 minutes
Epoch: 58 | train MSE: 0.021088 | val MSE: 0.030168 | total time: 3 hours 37 minutes
Epoch: 59 | train MSE: 0.020500 | val MSE: 0.031783 | total time: 3 hours 40 minutes
Epoch: 60 | train MSE: 0.020682 | val MSE: 0.032499 | total time: 3 hours 44 minutes
Epoch: 61 | train MSE: 0.020275 | val MSE: 0.029759 | total time: 3 hours 48 minutes
Epoch: 62 | train MSE: 0.020192 | val MSE: 0.030117 | total time: 3 hours 51 minutes
Epoch: 63 | train MSE: 0.020311 | val MSE: 0.030280 | total time: 3 hours 55 minutes
Epoch: 64 | train MSE: 0.020151 | val MSE: 0.029669 | total time: 3 hours 59 minutes
Epoch: 65 | train MSE: 0.020050 | val MSE: 0.031886 | total time: 4 hours 2 minutes
Epoch: 66 | train MSE: 0.019610 | val MSE: 0.029212 | total time: 4 hours 6 minutes
Epoch: 67 | train MSE: 0.019635 | val MSE: 0.029275 | total time: 4 hours 10 minutes
Epoch: 68 | train MSE: 0.019646 | val MSE: 0.029341 | total time: 4 hours 14 minutes
Epoch: 69 | train MSE: 0.019635 | val MSE: 0.031079 | total time: 4 hours 17 minutes
Epoch: 70 | train MSE: 0.019253 | val MSE: 0.029048 | total time: 4 hours 21 minutes
Epoch: 71 | train MSE: 0.019181 | val MSE: 0.029109 | total time: 4 hours 25 minutes
Epoch: 72 | train MSE: 0.018762 | val MSE: 0.030282 | total time: 4 hours 28 minutes
Epoch: 73 | train MSE: 0.018993 | val MSE: 0.031928 | total time: 4 hours 32 minutes
Epoch: 74 | train MSE: 0.018873 | val MSE: 0.028785 | total time: 4 hours 36 minutes
Epoch: 75 | train MSE: 0.018464 | val MSE: 0.027742 | total time: 4 hours 39 minutes
Epoch: 76 | train MSE: 0.018556 | val MSE: 0.028876 | total time: 4 hours 43 minutes
Epoch: 77 | train MSE: 0.018558 | val MSE: 0.027891 | total time: 4 hours 47 minutes
Epoch: 78 | train MSE: 0.018660 | val MSE: 0.028551 | total time: 4 hours 51 minutes
Epoch: 79 | train MSE: 0.018402 | val MSE: 0.030429 | total time: 4 hours 54 minutes
Epoch: 80 | train MSE: 0.018199 | val MSE: 0.027312 | total time: 4 hours 58 minutes
Epoch: 81 | train MSE: 0.018256 | val MSE: 0.028204 | total time: 5 hours 2 minutes
Epoch: 82 | train MSE: 0.018104 | val MSE: 0.031588 | total time: 5 hours 5 minutes
Epoch: 83 | train MSE: 0.017877 | val MSE: 0.029002 | total time: 5 hours 9 minutes
Epoch: 84 | train MSE: 0.017836 | val MSE: 0.028445 | total time: 5 hours 13 minutes
Epoch: 85 | train MSE: 0.017729 | val MSE: 0.030044 | total time: 5 hours 16 minutes
Epoch: 86 | train MSE: 0.017959 | val MSE: 0.027586 | total time: 5 hours 20 minutes
Epoch: 87 | train MSE: 0.017611 | val MSE: 0.029577 | total time: 5 hours 25 minutes
Epoch: 88 | train MSE: 0.017590 | val MSE: 0.029274 | total time: 5 hours 29 minutes
Epoch: 89 | train MSE: 0.017458 | val MSE: 0.027369 | total time: 5 hours 33 minutes
Epoch: 90 | train MSE: 0.017447 | val MSE: 0.027974 | total time: 5 hours 37 minutes
Epoch: 91 | train MSE: 0.017179 | val MSE: 0.027517 | total time: 5 hours 41 minutes
Epoch: 92 | train MSE: 0.017206 | val MSE: 0.028013 | total time: 5 hours 46 minutes
Epoch: 93 | train MSE: 0.017165 | val MSE: 0.028103 | total time: 5 hours 50 minutes
Epoch: 94 | train MSE: 0.016915 | val MSE: 0.027860 | total time: 5 hours 53 minutes
Epoch: 95 | train MSE: 0.016970 | val MSE: 0.025914 | total time: 5 hours 57 minutes
Epoch: 96 | train MSE: 0.016787 | val MSE: 0.027342 | total time: 6 hours 1 minutes
Epoch: 97 | train MSE: 0.016901 | val MSE: 0.027504 | total time: 6 hours 5 minutes
Epoch: 98 | train MSE: 0.016795 | val MSE: 0.026823 | total time: 6 hours 8 minutes
Epoch: 99 | train MSE: 0.016636 | val MSE: 0.025998 | total time: 6 hours 12 minutes
Epoch: 100 | train MSE: 0.016518 | val MSE: 0.026724 | total time: 6 hours 16 minutes
finished best_val_mse=0.025914
