pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.039372	0.000000	3937230.631709	nan	nan
01_to_02	pair	0.420340	0.412737	1.018419	0.018269874155521393	0.18108029663562775
01_to_03	pair	1.186998	1.191885	0.995900	0.10521581768989563	0.08368433266878128
01_to_04	pair	1.446322	1.453186	0.995277	0.0404689721763134	0.10093510150909424
01_to_05	pair	1.563102	1.552099	1.007089	-0.06776602566242218	0.10583341866731644
01_to_06	pair	1.501645	1.503139	0.999006	0.11402878910303116	0.12095791101455688
01_to_07	pair	1.340131	1.333044	1.005316	0.10226226598024368	0.1440841108560562
01_to_08	pair	1.088693	1.065695	1.021581	0.011074243113398552	0.15945415198802948
01_to_09	pair	0.735776	0.724359	1.015763	0.09266122430562973	0.1715441644191742
01_to_10	pair	0.382777	0.355581	1.076481	-0.15089726448059082	0.2010992020368576
02_to_01	pair	0.402060	0.404560	0.993822	0.11583088338375092	0.1396220177412033
02_to_02	identity	0.023176	0.000000	2317590.825260	nan	nan
02_to_03	pair	0.497931	0.502816	0.990286	0.22379058599472046	0.08737050741910934
02_to_04	pair	0.789073	0.795878	0.991449	0.18099786341190338	0.07211782783269882
02_to_05	pair	1.021715	1.031234	0.990770	0.11967051774263382	0.12372710555791855
02_to_06	pair	1.109547	1.098740	1.009835	0.013146549463272095	0.11592798680067062
02_to_07	pair	1.048630	1.018315	1.029769	-0.20370417833328247	0.10876798629760742
02_to_08	pair	0.917554	0.899736	1.019803	-0.06864248961210251	0.09659437835216522
02_to_09	pair	0.724363	0.704035	1.028874	-0.12745237350463867	0.08606875687837601
02_to_10	pair	0.452344	0.437902	1.032979	-0.01168823055922985	0.2203730344772339
03_to_01	pair	1.187970	1.185975	1.001682	0.09970490634441376	0.12669843435287476
03_to_02	pair	0.498402	0.503510	0.989856	0.1116868108510971	0.11132955551147461
03_to_03	identity	0.010110	0.000000	1010978.687555	nan	nan
03_to_04	pair	0.287273	0.294523	0.975384	0.267608106136322	0.1230316087603569
03_to_05	pair	0.510888	0.527409	0.968675	0.23692341148853302	0.17625397443771362
03_to_06	pair	0.633580	0.636062	0.996099	0.09366413950920105	0.1497042179107666
03_to_07	pair	0.725511	0.707535	1.025406	0.007680393289774656	0.12609265744686127
03_to_08	pair	0.790632	0.774707	1.020556	0.05272422730922699	0.12828649580478668
03_to_09	pair	0.897234	0.877174	1.022869	0.0026615867391228676	0.1854207068681717
03_to_10	pair	1.043247	1.070336	0.974691	0.2428145408630371	0.1402929723262787
04_to_01	pair	1.404474	1.412139	0.994572	0.1694420874118805	0.13256385922431946
04_to_02	pair	0.779740	0.786776	0.991058	0.16823291778564453	0.15361438691616058
04_to_03	pair	0.278022	0.286574	0.970159	0.21105001866817474	0.18694686889648438
04_to_04	identity	0.009439	0.000000	943867.675960	nan	nan
04_to_05	pair	0.248022	0.251635	0.985641	0.19694681465625763	0.17134442925453186
04_to_06	pair	0.383430	0.385818	0.993810	0.16309276223182678	0.14804403483867645
04_to_07	pair	0.554210	0.517733	1.070457	-0.1123616024851799	0.21948760747909546
04_to_08	pair	0.748197	0.713430	1.048732	-0.030653944239020348	0.20238344371318817
04_to_09	pair	0.930537	0.940748	0.989146	0.1662997454404831	0.22044381499290466
04_to_10	pair	1.172466	1.207316	0.971134	0.2999122142791748	0.19174960255622864
05_to_01	pair	1.468988	1.479541	0.992867	0.19795870780944824	0.18221905827522278
05_to_02	pair	1.013161	1.047866	0.966880	0.27493926882743835	0.20851632952690125
05_to_03	pair	0.482844	0.513150	0.940942	0.3063610792160034	0.2615441679954529
05_to_04	pair	0.241094	0.255745	0.942711	0.3270728886127472	0.2855257987976074
05_to_05	identity	0.011158	0.000000	1115804.444999	nan	nan
05_to_06	pair	0.179020	0.174867	1.023751	-0.06247638165950775	0.25493767857551575
05_to_07	pair	0.426755	0.366271	1.165137	-0.09593858569860458	0.5034488439559937
05_to_08	pair	0.663869	0.639597	1.037949	0.10530267655849457	0.3389974534511566
05_to_09	pair	0.892916	0.926330	0.963929	0.3110230267047882	0.31561413407325745
05_to_10	pair	1.190139	1.222690	0.973378	0.27629756927490234	0.2952607572078705
06_to_01	pair	1.441464	1.447151	0.996070	0.23332907259464264	0.20085857808589935
06_to_02	pair	1.029704	1.058359	0.972925	0.26809707283973694	0.21696367859840393
06_to_03	pair	0.594090	0.619980	0.958240	0.2755175232887268	0.2529307007789612
06_to_04	pair	0.373237	0.387870	0.962274	0.27245768904685974	0.2346225529909134
06_to_05	pair	0.183571	0.180208	1.018662	0.020785454660654068	0.2585143446922302
