pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.004759	0.000000	475864.298642	nan	nan
01_to_02	pair	0.282574	0.283223	0.997709	0.23320633172988892	0.2811944782733917
01_to_03	pair	0.614384	0.660861	0.929671	0.48680582642555237	0.2614080309867859
01_to_04	pair	0.918798	1.085606	0.846346	0.6963059306144714	0.34685081243515015
01_to_05	pair	1.308041	1.570012	0.833141	0.6367394924163818	0.38462385535240173
01_to_06	pair	1.525006	1.730101	0.881455	0.5130470395088196	0.29744401574134827
01_to_07	pair	1.413678	1.504791	0.939451	0.3055874705314636	0.1907263845205307
01_to_08	pair	1.189271	1.185815	1.002914	-0.012311497703194618	0.12816476821899414
01_to_09	pair	0.714884	0.712774	1.002960	0.012065841816365719	0.12314413487911224
01_to_10	pair	0.291277	0.287970	1.011482	-0.0870530977845192	0.09898847341537476
02_to_01	pair	0.283340	0.285222	0.993402	0.16277450323104858	0.15700584650039673
02_to_02	identity	0.009154	0.000000	915429.648012	nan	nan
02_to_03	pair	0.407395	0.414510	0.982835	0.21343976259231567	0.1504242718219757
02_to_04	pair	0.882384	0.938574	0.940132	0.5058054327964783	0.17011210322380066
02_to_05	pair	1.304228	1.432481	0.910468	0.5277134776115417	0.22817935049533844
02_to_06	pair	1.520638	1.646454	0.923583	0.4475133717060089	0.21422015130519867
02_to_07	pair	1.530637	1.485985	1.030049	-0.19483113288879395	0.11259794980287552
02_to_08	pair	1.227334	1.176280	1.043402	-0.20584304630756378	0.1220218762755394
02_to_09	pair	0.822375	0.798624	1.029740	-0.07196898013353348	0.13310466706752777
02_to_10	pair	0.491288	0.479502	1.024579	0.033823832869529724	0.2969026267528534
03_to_01	pair	0.621837	0.669161	0.929278	0.4611465334892273	0.3318677544593811
03_to_02	pair	0.418863	0.410394	1.020637	-0.03832748159766197	0.16268502175807953
03_to_03	identity	0.002576	0.000000	257637.538016	nan	nan
03_to_04	pair	0.470435	0.481606	0.976805	0.21740925312042236	0.14124064147472382
03_to_05	pair	0.964470	1.036899	0.930149	0.4563208520412445	0.20445619523525238
03_to_06	pair	1.166067	1.270660	0.917687	0.43831416964530945	0.22938576340675354
03_to_07	pair	1.210732	1.154727	1.048500	-0.13266770541667938	0.14523746073246002
03_to_08	pair	0.808668	0.835814	0.967522	0.2944279611110687	0.17761237919330597
03_to_09	pair	0.674475	0.733434	0.919612	0.34714555740356445	0.2665077745914459
03_to_10	pair	0.658061	0.702845	0.936282	0.33736324310302734	0.47779157757759094
04_to_01	pair	1.033073	1.132895	0.911887	0.5442265868186951	0.22965456545352936
04_to_02	pair	0.898841	0.931834	0.964594	0.347089558839798	0.12820667028427124
04_to_03	pair	0.431706	0.458508	0.941545	0.4560462534427643	0.19427187740802765
04_to_04	identity	0.002536	0.000000	253633.339889	nan	nan
04_to_05	pair	0.388194	0.404221	0.960352	0.3231699466705322	0.16475926339626312
