[crb_both_mse_cyclic_full_spare] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4
[crb_both_mse_cyclic_full_spare] device=cuda:0 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=encoder+decoder | cyclic(θ) cond_dim=4 | seed=20260824
[crb_both_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.439646 | val MSE: 0.274034 | total time: 0 hours 6 minutes
Epoch: 2 | train MSE: 0.257401 | val MSE: 0.240067 | total time: 0 hours 13 minutes
Epoch: 3 | train MSE: 0.181149 | val MSE: 0.157721 | total time: 0 hours 19 minutes
Epoch: 4 | train MSE: 0.135377 | val MSE: 0.134122 | total time: 0 hours 26 minutes
Epoch: 5 | train MSE: 0.107152 | val MSE: 0.105529 | total time: 0 hours 33 minutes
Epoch: 6 | train MSE: 0.083395 | val MSE: 0.090091 | total time: 0 hours 40 minutes
Epoch: 7 | train MSE: 0.069175 | val MSE: 0.076133 | total time: 0 hours 47 minutes
Epoch: 8 | train MSE: 0.059443 | val MSE: 0.069503 | total time: 0 hours 54 minutes
Epoch: 9 | train MSE: 0.051531 | val MSE: 0.060047 | total time: 1 hours 0 minutes
Epoch: 10 | train MSE: 0.047734 | val MSE: 0.063658 | total time: 1 hours 7 minutes
Epoch: 11 | train MSE: 0.044088 | val MSE: 0.054172 | total time: 1 hours 13 minutes
Epoch: 12 | train MSE: 0.039920 | val MSE: 0.053439 | total time: 1 hours 19 minutes
Epoch: 13 | train MSE: 0.037961 | val MSE: 0.052819 | total time: 1 hours 29 minutes
Epoch: 14 | train MSE: 0.035652 | val MSE: 0.051566 | total time: 1 hours 45 minutes
Epoch: 15 | train MSE: 0.033788 | val MSE: 0.051470 | total time: 2 hours 0 minutes
Epoch: 16 | train MSE: 0.032584 | val MSE: 0.043756 | total time: 2 hours 14 minutes
Epoch: 17 | train MSE: 0.030807 | val MSE: 0.047001 | total time: 2 hours 28 minutes
Epoch: 18 | train MSE: 0.029789 | val MSE: 0.043452 | total time: 2 hours 41 minutes
Epoch: 19 | train MSE: 0.028326 | val MSE: 0.045223 | total time: 2 hours 56 minutes
Epoch: 20 | train MSE: 0.027445 | val MSE: 0.045390 | total time: 3 hours 11 minutes
Epoch: 21 | train MSE: 0.026694 | val MSE: 0.045799 | total time: 3 hours 28 minutes
Epoch: 22 | train MSE: 0.025761 | val MSE: 0.040501 | total time: 3 hours 45 minutes
Epoch: 23 | train MSE: 0.024886 | val MSE: 0.041216 | total time: 4 hours 0 minutes
Epoch: 24 | train MSE: 0.024423 | val MSE: 0.037578 | total time: 4 hours 16 minutes
Epoch: 25 | train MSE: 0.023583 | val MSE: 0.038337 | total time: 4 hours 41 minutes
Epoch: 26 | train MSE: 0.022965 | val MSE: 0.034094 | total time: 4 hours 56 minutes
Epoch: 27 | train MSE: 0.022712 | val MSE: 0.035292 | total time: 5 hours 10 minutes
Epoch: 28 | train MSE: 0.021858 | val MSE: 0.038016 | total time: 5 hours 24 minutes
Epoch: 29 | train MSE: 0.021609 | val MSE: 0.035586 | total time: 5 hours 38 minutes
Epoch: 30 | train MSE: 0.020845 | val MSE: 0.035443 | total time: 5 hours 51 minutes
Epoch: 31 | train MSE: 0.020511 | val MSE: 0.033641 | total time: 6 hours 5 minutes
Epoch: 32 | train MSE: 0.020039 | val MSE: 0.035455 | total time: 6 hours 19 minutes
Epoch: 33 | train MSE: 0.019637 | val MSE: 0.034378 | total time: 6 hours 33 minutes
Epoch: 34 | train MSE: 0.019282 | val MSE: 0.037352 | total time: 6 hours 47 minutes
Epoch: 35 | train MSE: 0.018784 | val MSE: 0.032477 | total time: 7 hours 1 minutes
Epoch: 36 | train MSE: 0.018782 | val MSE: 0.032010 | total time: 7 hours 15 minutes
Epoch: 37 | train MSE: 0.018393 | val MSE: 0.032395 | total time: 7 hours 29 minutes
Epoch: 38 | train MSE: 0.018257 | val MSE: 0.033925 | total time: 7 hours 42 minutes
Epoch: 39 | train MSE: 0.017694 | val MSE: 0.032250 | total time: 7 hours 56 minutes
Epoch: 40 | train MSE: 0.017469 | val MSE: 0.030112 | total time: 8 hours 10 minutes
Epoch: 41 | train MSE: 0.017200 | val MSE: 0.029829 | total time: 8 hours 24 minutes
Epoch: 42 | train MSE: 0.017078 | val MSE: 0.030540 | total time: 8 hours 38 minutes
Epoch: 43 | train MSE: 0.016642 | val MSE: 0.030249 | total time: 8 hours 51 minutes
Epoch: 44 | train MSE: 0.016636 | val MSE: 0.030719 | total time: 9 hours 5 minutes
Epoch: 45 | train MSE: 0.016267 | val MSE: 0.029855 | total time: 9 hours 19 minutes
Epoch: 46 | train MSE: 0.016063 | val MSE: 0.032012 | total time: 9 hours 33 minutes
Epoch: 47 | train MSE: 0.015826 | val MSE: 0.030324 | total time: 9 hours 47 minutes
Epoch: 48 | train MSE: 0.015720 | val MSE: 0.030220 | total time: 10 hours 1 minutes
Epoch: 49 | train MSE: 0.015215 | val MSE: 0.030640 | total time: 10 hours 15 minutes
Epoch: 50 | train MSE: 0.015331 | val MSE: 0.027844 | total time: 10 hours 29 minutes
Epoch: 51 | train MSE: 0.015029 | val MSE: 0.029512 | total time: 10 hours 42 minutes
Epoch: 52 | train MSE: 0.014946 | val MSE: 0.026756 | total time: 10 hours 56 minutes
Epoch: 53 | train MSE: 0.014858 | val MSE: 0.029039 | total time: 11 hours 9 minutes
Epoch: 54 | train MSE: 0.014665 | val MSE: 0.029629 | total time: 11 hours 21 minutes
Epoch: 55 | train MSE: 0.014666 | val MSE: 0.027868 | total time: 11 hours 34 minutes
Epoch: 56 | train MSE: 0.014251 | val MSE: 0.030540 | total time: 11 hours 46 minutes
Epoch: 57 | train MSE: 0.014194 | val MSE: 0.029664 | total time: 11 hours 58 minutes
Epoch: 58 | train MSE: 0.013999 | val MSE: 0.028160 | total time: 12 hours 10 minutes
Epoch: 59 | train MSE: 0.013729 | val MSE: 0.028028 | total time: 12 hours 22 minutes
Epoch: 60 | train MSE: 0.013766 | val MSE: 0.027768 | total time: 12 hours 35 minutes
Epoch: 61 | train MSE: 0.013444 | val MSE: 0.027284 | total time: 12 hours 47 minutes
Epoch: 62 | train MSE: 0.013455 | val MSE: 0.029208 | total time: 12 hours 59 minutes
Epoch: 63 | train MSE: 0.013325 | val MSE: 0.028821 | total time: 13 hours 11 minutes
Epoch: 64 | train MSE: 0.013227 | val MSE: 0.026970 | total time: 13 hours 23 minutes
Epoch: 65 | train MSE: 0.013187 | val MSE: 0.029771 | total time: 13 hours 35 minutes
Epoch: 66 | train MSE: 0.013009 | val MSE: 0.025404 | total time: 13 hours 47 minutes
Epoch: 67 | train MSE: 0.012886 | val MSE: 0.027084 | total time: 13 hours 59 minutes
Epoch: 68 | train MSE: 0.013026 | val MSE: 0.027097 | total time: 14 hours 11 minutes
Epoch: 69 | train MSE: 0.012699 | val MSE: 0.026835 | total time: 14 hours 22 minutes
Epoch: 70 | train MSE: 0.012558 | val MSE: 0.027960 | total time: 14 hours 34 minutes
Epoch: 71 | train MSE: 0.012691 | val MSE: 0.027504 | total time: 14 hours 46 minutes
Epoch: 72 | train MSE: 0.012364 | val MSE: 0.030169 | total time: 14 hours 58 minutes
Epoch: 73 | train MSE: 0.012390 | val MSE: 0.026896 | total time: 15 hours 10 minutes
Epoch: 74 | train MSE: 0.012425 | val MSE: 0.026442 | total time: 15 hours 22 minutes
Epoch: 75 | train MSE: 0.012189 | val MSE: 0.026079 | total time: 15 hours 36 minutes
Epoch: 76 | train MSE: 0.011990 | val MSE: 0.024954 | total time: 15 hours 49 minutes
Epoch: 77 | train MSE: 0.012001 | val MSE: 0.028397 | total time: 16 hours 2 minutes
Epoch: 78 | train MSE: 0.012050 | val MSE: 0.025052 | total time: 16 hours 15 minutes
Epoch: 79 | train MSE: 0.011848 | val MSE: 0.027023 | total time: 16 hours 28 minutes
Epoch: 80 | train MSE: 0.011916 | val MSE: 0.027402 | total time: 16 hours 42 minutes
Epoch: 81 | train MSE: 0.011752 | val MSE: 0.024450 | total time: 16 hours 55 minutes
Epoch: 82 | train MSE: 0.011705 | val MSE: 0.027307 | total time: 17 hours 8 minutes
Epoch: 83 | train MSE: 0.011545 | val MSE: 0.026404 | total time: 17 hours 21 minutes
Epoch: 84 | train MSE: 0.011512 | val MSE: 0.027647 | total time: 17 hours 34 minutes
Epoch: 85 | train MSE: 0.011356 | val MSE: 0.026109 | total time: 17 hours 48 minutes
Epoch: 86 | train MSE: 0.011345 | val MSE: 0.025750 | total time: 18 hours 1 minutes
Epoch: 87 | train MSE: 0.011278 | val MSE: 0.028054 | total time: 18 hours 14 minutes
Epoch: 88 | train MSE: 0.011327 | val MSE: 0.028445 | total time: 18 hours 27 minutes
Epoch: 89 | train MSE: 0.011304 | val MSE: 0.025205 | total time: 18 hours 41 minutes
Epoch: 90 | train MSE: 0.011171 | val MSE: 0.024514 | total time: 18 hours 54 minutes
Epoch: 91 | train MSE: 0.011062 | val MSE: 0.024757 | total time: 19 hours 7 minutes
Epoch: 92 | train MSE: 0.010839 | val MSE: 0.025108 | total time: 19 hours 20 minutes
Epoch: 93 | train MSE: 0.011021 | val MSE: 0.024576 | total time: 19 hours 34 minutes
Epoch: 94 | train MSE: 0.010810 | val MSE: 0.023799 | total time: 19 hours 47 minutes
Epoch: 95 | train MSE: 0.010885 | val MSE: 0.023543 | total time: 20 hours 0 minutes
Epoch: 96 | train MSE: 0.010626 | val MSE: 0.024172 | total time: 20 hours 13 minutes
Epoch: 97 | train MSE: 0.010721 | val MSE: 0.023309 | total time: 20 hours 23 minutes
Epoch: 98 | train MSE: 0.010654 | val MSE: 0.024609 | total time: 20 hours 29 minutes
Epoch: 99 | train MSE: 0.010577 | val MSE: 0.022989 | total time: 20 hours 35 minutes
Epoch: 100 | train MSE: 0.010549 | val MSE: 0.024763 | total time: 20 hours 39 minutes
finished best_val_mse=0.022989
