[crb_dec_mse_cyclic_full_spare] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4
[crb_dec_mse_cyclic_full_spare] device=cuda:0 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_dec_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.350778 | val MSE: 0.201085 | total time: 0 hours 6 minutes
Epoch: 2 | train MSE: 0.184868 | val MSE: 0.131823 | total time: 0 hours 13 minutes
Epoch: 3 | train MSE: 0.123999 | val MSE: 0.113348 | total time: 0 hours 19 minutes
Epoch: 4 | train MSE: 0.094291 | val MSE: 0.095834 | total time: 0 hours 26 minutes
Epoch: 5 | train MSE: 0.074052 | val MSE: 0.076222 | total time: 0 hours 33 minutes
Epoch: 6 | train MSE: 0.061253 | val MSE: 0.066411 | total time: 0 hours 40 minutes
Epoch: 7 | train MSE: 0.052859 | val MSE: 0.060781 | total time: 0 hours 47 minutes
Epoch: 8 | train MSE: 0.047100 | val MSE: 0.060200 | total time: 0 hours 53 minutes
Epoch: 9 | train MSE: 0.042278 | val MSE: 0.050543 | total time: 1 hours 0 minutes
Epoch: 10 | train MSE: 0.040006 | val MSE: 0.055586 | total time: 1 hours 6 minutes
Epoch: 11 | train MSE: 0.037447 | val MSE: 0.046995 | total time: 1 hours 13 minutes
Epoch: 12 | train MSE: 0.034666 | val MSE: 0.046427 | total time: 1 hours 19 minutes
Epoch: 13 | train MSE: 0.033269 | val MSE: 0.041925 | total time: 1 hours 28 minutes
Epoch: 14 | train MSE: 0.031515 | val MSE: 0.043731 | total time: 1 hours 43 minutes
Epoch: 15 | train MSE: 0.030431 | val MSE: 0.042002 | total time: 1 hours 58 minutes
Epoch: 16 | train MSE: 0.029601 | val MSE: 0.039144 | total time: 2 hours 12 minutes
Epoch: 17 | train MSE: 0.028397 | val MSE: 0.042385 | total time: 2 hours 25 minutes
Epoch: 18 | train MSE: 0.027478 | val MSE: 0.039787 | total time: 2 hours 38 minutes
Epoch: 19 | train MSE: 0.026573 | val MSE: 0.040582 | total time: 2 hours 52 minutes
Epoch: 20 | train MSE: 0.025831 | val MSE: 0.036902 | total time: 3 hours 7 minutes
Epoch: 21 | train MSE: 0.025063 | val MSE: 0.037261 | total time: 3 hours 23 minutes
Epoch: 22 | train MSE: 0.024649 | val MSE: 0.038471 | total time: 3 hours 39 minutes
Epoch: 23 | train MSE: 0.024179 | val MSE: 0.036405 | total time: 3 hours 55 minutes
Epoch: 24 | train MSE: 0.023855 | val MSE: 0.033937 | total time: 4 hours 10 minutes
Epoch: 25 | train MSE: 0.022819 | val MSE: 0.033734 | total time: 4 hours 30 minutes
Epoch: 26 | train MSE: 0.022431 | val MSE: 0.032916 | total time: 4 hours 50 minutes
Epoch: 27 | train MSE: 0.022276 | val MSE: 0.032467 | total time: 5 hours 4 minutes
Epoch: 28 | train MSE: 0.021832 | val MSE: 0.032599 | total time: 5 hours 18 minutes
Epoch: 29 | train MSE: 0.021472 | val MSE: 0.031068 | total time: 5 hours 31 minutes
Epoch: 30 | train MSE: 0.021008 | val MSE: 0.037339 | total time: 5 hours 45 minutes
Epoch: 31 | train MSE: 0.020683 | val MSE: 0.030977 | total time: 5 hours 59 minutes
Epoch: 32 | train MSE: 0.020158 | val MSE: 0.030900 | total time: 6 hours 12 minutes
Epoch: 33 | train MSE: 0.020035 | val MSE: 0.030788 | total time: 6 hours 26 minutes
Epoch: 34 | train MSE: 0.019740 | val MSE: 0.028934 | total time: 6 hours 40 minutes
Epoch: 35 | train MSE: 0.019428 | val MSE: 0.031284 | total time: 6 hours 54 minutes
Epoch: 36 | train MSE: 0.019231 | val MSE: 0.029499 | total time: 7 hours 8 minutes
Epoch: 37 | train MSE: 0.018960 | val MSE: 0.027452 | total time: 7 hours 21 minutes
Epoch: 38 | train MSE: 0.018682 | val MSE: 0.029541 | total time: 7 hours 35 minutes
Epoch: 39 | train MSE: 0.018379 | val MSE: 0.027288 | total time: 7 hours 49 minutes
Epoch: 40 | train MSE: 0.018164 | val MSE: 0.028340 | total time: 8 hours 3 minutes
Epoch: 41 | train MSE: 0.017989 | val MSE: 0.028542 | total time: 8 hours 16 minutes
Epoch: 42 | train MSE: 0.017831 | val MSE: 0.028655 | total time: 8 hours 30 minutes
Epoch: 43 | train MSE: 0.017467 | val MSE: 0.027415 | total time: 8 hours 44 minutes
Epoch: 44 | train MSE: 0.017581 | val MSE: 0.027386 | total time: 8 hours 57 minutes
Epoch: 45 | train MSE: 0.017233 | val MSE: 0.025931 | total time: 9 hours 11 minutes
Epoch: 46 | train MSE: 0.016917 | val MSE: 0.027132 | total time: 9 hours 25 minutes
Epoch: 47 | train MSE: 0.016916 | val MSE: 0.027570 | total time: 9 hours 39 minutes
Epoch: 48 | train MSE: 0.016727 | val MSE: 0.026865 | total time: 9 hours 53 minutes
Epoch: 49 | train MSE: 0.016395 | val MSE: 0.026803 | total time: 10 hours 6 minutes
Epoch: 50 | train MSE: 0.016583 | val MSE: 0.027180 | total time: 10 hours 20 minutes
Epoch: 51 | train MSE: 0.016114 | val MSE: 0.026604 | total time: 10 hours 34 minutes
Epoch: 52 | train MSE: 0.016260 | val MSE: 0.027971 | total time: 10 hours 48 minutes
Epoch: 53 | train MSE: 0.016087 | val MSE: 0.025732 | total time: 11 hours 1 minutes
Epoch: 54 | train MSE: 0.015805 | val MSE: 0.025804 | total time: 11 hours 14 minutes
Epoch: 55 | train MSE: 0.015657 | val MSE: 0.024899 | total time: 11 hours 26 minutes
Epoch: 56 | train MSE: 0.015444 | val MSE: 0.026535 | total time: 11 hours 38 minutes
Epoch: 57 | train MSE: 0.015367 | val MSE: 0.026118 | total time: 11 hours 50 minutes
Epoch: 58 | train MSE: 0.015416 | val MSE: 0.025939 | total time: 12 hours 2 minutes
Epoch: 59 | train MSE: 0.015089 | val MSE: 0.025034 | total time: 12 hours 14 minutes
Epoch: 60 | train MSE: 0.015037 | val MSE: 0.025147 | total time: 12 hours 26 minutes
Epoch: 61 | train MSE: 0.014710 | val MSE: 0.024506 | total time: 12 hours 39 minutes
Epoch: 62 | train MSE: 0.014821 | val MSE: 0.024601 | total time: 12 hours 51 minutes
Epoch: 63 | train MSE: 0.014628 | val MSE: 0.026081 | total time: 13 hours 3 minutes
Epoch: 64 | train MSE: 0.014559 | val MSE: 0.025006 | total time: 13 hours 15 minutes
Epoch: 65 | train MSE: 0.014664 | val MSE: 0.024329 | total time: 13 hours 26 minutes
Epoch: 66 | train MSE: 0.014401 | val MSE: 0.024772 | total time: 13 hours 38 minutes
Epoch: 67 | train MSE: 0.014208 | val MSE: 0.025675 | total time: 13 hours 49 minutes
Epoch: 68 | train MSE: 0.014462 | val MSE: 0.025237 | total time: 14 hours 1 minutes
Epoch: 69 | train MSE: 0.014169 | val MSE: 0.025244 | total time: 14 hours 12 minutes
Epoch: 70 | train MSE: 0.014022 | val MSE: 0.025373 | total time: 14 hours 24 minutes
Epoch: 71 | train MSE: 0.013998 | val MSE: 0.023933 | total time: 14 hours 36 minutes
Epoch: 72 | train MSE: 0.013821 | val MSE: 0.024577 | total time: 14 hours 47 minutes
Epoch: 73 | train MSE: 0.013724 | val MSE: 0.025407 | total time: 14 hours 59 minutes
Epoch: 74 | train MSE: 0.013745 | val MSE: 0.023352 | total time: 15 hours 10 minutes
Epoch: 75 | train MSE: 0.013619 | val MSE: 0.024040 | total time: 15 hours 22 minutes
Epoch: 76 | train MSE: 0.013474 | val MSE: 0.023880 | total time: 15 hours 35 minutes
Epoch: 77 | train MSE: 0.013495 | val MSE: 0.022983 | total time: 15 hours 48 minutes
Epoch: 78 | train MSE: 0.013584 | val MSE: 0.026277 | total time: 16 hours 1 minutes
Epoch: 79 | train MSE: 0.013326 | val MSE: 0.024239 | total time: 16 hours 14 minutes
Epoch: 80 | train MSE: 0.013326 | val MSE: 0.025291 | total time: 16 hours 27 minutes
Epoch: 81 | train MSE: 0.013239 | val MSE: 0.023044 | total time: 16 hours 39 minutes
Epoch: 82 | train MSE: 0.013203 | val MSE: 0.025090 | total time: 16 hours 52 minutes
Epoch: 83 | train MSE: 0.012982 | val MSE: 0.023530 | total time: 17 hours 5 minutes
Epoch: 84 | train MSE: 0.012989 | val MSE: 0.025558 | total time: 17 hours 18 minutes
Epoch: 85 | train MSE: 0.013040 | val MSE: 0.023827 | total time: 17 hours 31 minutes
Epoch: 86 | train MSE: 0.013028 | val MSE: 0.024498 | total time: 17 hours 44 minutes
Epoch: 87 | train MSE: 0.012743 | val MSE: 0.023721 | total time: 17 hours 57 minutes
