[crb_enc_mse_cyclic_full_spare] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4
[crb_enc_mse_cyclic_full_spare] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.492716 | val MSE: 0.313595 | total time: 0 hours 6 minutes
Epoch: 2 | train MSE: 0.304212 | val MSE: 0.224627 | total time: 0 hours 13 minutes
Epoch: 3 | train MSE: 0.232143 | val MSE: 0.192949 | total time: 0 hours 19 minutes
Epoch: 4 | train MSE: 0.187025 | val MSE: 0.165647 | total time: 0 hours 26 minutes
Epoch: 5 | train MSE: 0.162956 | val MSE: 0.167438 | total time: 0 hours 33 minutes
Epoch: 6 | train MSE: 0.139359 | val MSE: 0.125985 | total time: 0 hours 40 minutes
Epoch: 7 | train MSE: 0.121164 | val MSE: 0.112727 | total time: 0 hours 47 minutes
Epoch: 8 | train MSE: 0.106560 | val MSE: 0.104342 | total time: 0 hours 53 minutes
Epoch: 9 | train MSE: 0.095004 | val MSE: 0.099090 | total time: 0 hours 59 minutes
Epoch: 10 | train MSE: 0.089027 | val MSE: 0.105575 | total time: 1 hours 6 minutes
Epoch: 11 | train MSE: 0.081919 | val MSE: 0.090814 | total time: 1 hours 12 minutes
Epoch: 12 | train MSE: 0.075756 | val MSE: 0.090369 | total time: 1 hours 19 minutes
Epoch: 13 | train MSE: 0.072304 | val MSE: 0.085434 | total time: 1 hours 27 minutes
Epoch: 14 | train MSE: 0.067601 | val MSE: 0.075503 | total time: 1 hours 41 minutes
Epoch: 15 | train MSE: 0.064548 | val MSE: 0.076329 | total time: 1 hours 56 minutes
Epoch: 16 | train MSE: 0.062516 | val MSE: 0.071290 | total time: 2 hours 10 minutes
Epoch: 17 | train MSE: 0.058900 | val MSE: 0.069789 | total time: 2 hours 23 minutes
Epoch: 18 | train MSE: 0.056919 | val MSE: 0.064865 | total time: 2 hours 36 minutes
Epoch: 19 | train MSE: 0.055077 | val MSE: 0.062287 | total time: 2 hours 49 minutes
Epoch: 20 | train MSE: 0.052532 | val MSE: 0.062462 | total time: 3 hours 4 minutes
Epoch: 21 | train MSE: 0.051682 | val MSE: 0.062579 | total time: 3 hours 19 minutes
Epoch: 22 | train MSE: 0.049327 | val MSE: 0.059700 | total time: 3 hours 35 minutes
Epoch: 23 | train MSE: 0.048676 | val MSE: 0.058980 | total time: 3 hours 51 minutes
Epoch: 24 | train MSE: 0.047168 | val MSE: 0.051356 | total time: 4 hours 5 minutes
Epoch: 25 | train MSE: 0.045359 | val MSE: 0.054281 | total time: 4 hours 20 minutes
Epoch: 26 | train MSE: 0.044549 | val MSE: 0.052889 | total time: 4 hours 45 minutes
Epoch: 27 | train MSE: 0.044226 | val MSE: 0.050422 | total time: 4 hours 59 minutes
Epoch: 28 | train MSE: 0.042486 | val MSE: 0.051307 | total time: 5 hours 12 minutes
Epoch: 29 | train MSE: 0.042036 | val MSE: 0.049660 | total time: 5 hours 26 minutes
Epoch: 30 | train MSE: 0.040691 | val MSE: 0.049597 | total time: 5 hours 39 minutes
Epoch: 31 | train MSE: 0.039937 | val MSE: 0.047057 | total time: 5 hours 53 minutes
Epoch: 32 | train MSE: 0.039773 | val MSE: 0.049509 | total time: 6 hours 6 minutes
Epoch: 33 | train MSE: 0.038286 | val MSE: 0.046220 | total time: 6 hours 20 minutes
Epoch: 34 | train MSE: 0.037968 | val MSE: 0.045136 | total time: 6 hours 33 minutes
Epoch: 35 | train MSE: 0.036878 | val MSE: 0.047964 | total time: 6 hours 46 minutes
Epoch: 36 | train MSE: 0.036731 | val MSE: 0.046462 | total time: 7 hours 0 minutes
Epoch: 37 | train MSE: 0.035967 | val MSE: 0.043629 | total time: 7 hours 13 minutes
Epoch: 38 | train MSE: 0.036523 | val MSE: 0.050117 | total time: 7 hours 27 minutes
Epoch: 39 | train MSE: 0.034620 | val MSE: 0.045428 | total time: 7 hours 40 minutes
Epoch: 40 | train MSE: 0.034385 | val MSE: 0.042268 | total time: 7 hours 54 minutes
Epoch: 41 | train MSE: 0.033941 | val MSE: 0.042189 | total time: 8 hours 7 minutes
Epoch: 42 | train MSE: 0.033697 | val MSE: 0.044910 | total time: 8 hours 20 minutes
