pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.003519	0.000000	351852.853782	nan	nan
01_to_02	pair	0.395613	0.383169	1.032478	-0.39038917422294617	0.07652559131383896
01_to_03	pair	1.260252	1.230852	1.023886	-0.1441834717988968	0.16194050014019012
01_to_04	pair	1.650275	1.645525	1.002886	0.15602193772792816	0.19367873668670654
01_to_05	pair	1.785910	1.797984	0.993285	0.2538672089576721	0.23606301844120026
01_to_06	pair	1.762492	1.765300	0.998409	0.22049963474273682	0.3076142966747284
01_to_07	pair	1.333838	1.343949	0.992477	0.20770570635795593	0.32864856719970703
01_to_08	pair	0.770598	0.765092	1.007197	0.18096491694450378	0.30142030119895935
01_to_09	pair	0.374281	0.362947	1.031227	0.13479922711849213	0.41009607911109924
01_to_10	pair	0.234446	0.231239	1.013868	-0.1691119521856308	0.0818040519952774
02_to_01	pair	0.375881	0.373688	1.005869	-0.02633536607027054	0.06486479938030243
02_to_02	identity	0.005125	0.000000	512493.820861	nan	nan
02_to_03	pair	0.514123	0.507783	1.012486	-0.22348791360855103	0.043857425451278687
02_to_04	pair	1.121895	1.104614	1.015644	0.14155326783657074	0.2728900909423828
02_to_05	pair	1.429801	1.398126	1.022655	0.12246286869049072	0.2571262717247009
02_to_06	pair	1.426613	1.355520	1.052447	0.14288386702537537	0.4258318543434143
02_to_07	pair	1.096807	1.008403	1.087667	0.10203763097524643	0.5212394595146179
02_to_08	pair	0.650534	0.607477	1.070878	-0.029546309262514114	0.36186861991882324
02_to_09	pair	0.549001	0.520649	1.054456	-0.08805342018604279	0.24778670072555542
02_to_10	pair	0.617510	0.629724	0.980604	0.23605963587760925	0.18678367137908936
03_to_01	pair	1.145527	1.171499	0.977829	0.23877370357513428	0.1734629124403
03_to_02	pair	0.496192	0.479957	1.033825	-0.2510157525539398	0.10960846394300461
03_to_03	identity	0.013136	0.000000	1313596.311957	nan	nan
03_to_04	pair	0.359124	0.357610	1.004233	-0.03110257163643837	0.067576102912426
