pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.003857	0.000000	385669.362731	nan	nan
01_to_02	pair	0.204559	0.225848	0.905737	0.49253639578819275	0.8194295763969421
01_to_03	pair	0.512724	0.514921	0.995734	0.5062826871871948	1.060746192932129
01_to_04	pair	0.730447	0.714543	1.022257	0.5208867192268372	1.0552775859832764
01_to_05	pair	0.807473	0.754408	1.070340	0.5779290199279785	1.1967917680740356
01_to_06	pair	0.784261	0.742779	1.055846	0.6384233832359314	1.3647441864013672
01_to_07	pair	0.942558	0.632931	1.489196	0.4129699170589447	1.6649631261825562
01_to_08	pair	0.763478	0.524817	1.454751	0.4213637113571167	1.6366562843322754
01_to_09	pair	0.559031	0.349547	1.599301	0.09228847175836563	1.3232002258300781
01_to_10	pair	0.206663	0.160100	1.290835	-0.07006499171257019	0.6687785983085632
02_to_01	pair	0.212175	0.228828	0.927224	0.4905226528644562	0.9074659943580627
02_to_02	identity	0.003802	0.000000	380158.191547	nan	nan
02_to_03	pair	0.215508	0.218714	0.985341	0.6859214305877686	1.5265737771987915
02_to_04	pair	0.452392	0.536150	0.843780	0.6514930725097656	1.0951136350631714
02_to_05	pair	0.673231	0.805199	0.836105	0.6332398653030396	0.9441958665847778
02_to_06	pair	0.694646	0.688857	1.008404	0.5900008082389832	1.1751292943954468
02_to_07	pair	0.695778	0.708678	0.981796	0.5718122124671936	1.1249209642410278
02_to_08	pair	0.598152	0.623101	0.959961	0.5023170113563538	0.9828084111213684
02_to_09	pair	0.598488	0.543702	1.100766	-0.012728341855108738	0.5495355129241943
02_to_10	pair	0.522688	0.501835	1.041555	0.02171202003955841	0.30752667784690857
03_to_01	pair	0.494323	0.512375	0.964768	0.5440835356712341	1.0406928062438965
03_to_02	pair	0.217141	0.214379	1.012882	0.6971590518951416	1.580584168434143
03_to_03	identity	0.007419	0.000000	741935.428232	nan	nan
03_to_04	pair	0.180493	0.239987	0.752094	0.7059400677680969	0.9401834607124329
03_to_05	pair	0.411021	0.579169	0.709673	0.6738081574440002	0.6966673135757446
03_to_06	pair	0.600707	0.758821	0.791632	0.5966413021087646	0.6630669832229614
03_to_07	pair	0.623064	0.640985	0.972042	0.4423028528690338	0.7764623165130615
03_to_08	pair	0.661426	0.687064	0.962685	0.3424866497516632	0.5291657447814941
03_to_09	pair	0.698135	0.685678	1.018168	0.13554516434669495	0.3337708115577698
03_to_10	pair	0.632968	0.540113	1.171917	0.16464591026306152	0.7836142182350159
04_to_01	pair	0.746073	0.780638	0.955722	0.5467857718467712	0.9386699795722961
04_to_02	pair	0.435598	0.532704	0.817711	0.6817373633384705	1.076157569885254
04_to_03	pair	0.179671	0.237405	0.756813	0.7095818519592285	0.9921836256980896
04_to_04	identity	0.003895	0.000000	389472.069219	nan	nan
04_to_05	pair	0.172165	0.221504	0.777252	0.6495528221130371	0.7815589904785156
04_to_06	pair	0.411987	0.469833	0.876879	0.5065070986747742	0.6295940279960632
04_to_07	pair	0.665397	0.704433	0.944585	0.3998677134513855	0.47639304399490356
04_to_08	pair	0.722132	0.747827	0.965642	0.31921038031578064	0.31312796473503113
04_to_09	pair	0.750915	0.735433	1.021052	0.16448037326335907	0.4543013274669647
04_to_10	pair	0.725051	0.672584	1.078009	0.4066917896270752	0.869120180606842
05_to_01	pair	0.722062	0.749508	0.963380	0.6223442554473877	1.1068568229675293
05_to_02	pair	0.642696	0.826431	0.777677	0.6669318675994873	0.8712760210037231
05_to_03	pair	0.416963	0.588200	0.708880	0.681040346622467	0.7236843705177307
05_to_04	pair	0.181770	0.225704	0.805348	0.6494988799095154	0.9056692123413086
05_to_05	identity	0.003264	0.000000	326389.377005	nan	nan
05_to_06	pair	0.211975	0.218412	0.970526	0.2913658320903778	0.5946353077888489
05_to_07	pair	0.444164	0.474068	0.936922	0.30878955125808716	0.3866499364376068
05_to_08	pair	0.640852	0.664968	0.963733	0.262948215007782	0.34794026613235474
05_to_09	pair	0.816429	0.808245	1.010126	0.21112973988056183	0.562576413154602
05_to_10	pair	0.871033	0.761150	1.144365	0.3043156564235687	0.9545011520385742
06_to_01	pair	0.667232	0.769175	0.867464	0.7096109986305237	1.1769777536392212
06_to_02	pair	0.657908	0.695616	0.945793	0.618699312210083	1.079164743423462
06_to_03	pair	0.611676	0.751114	0.814358	0.5942070484161377	0.6927868723869324
06_to_04	pair	0.413369	0.481160	0.859109	0.5294016003608704	0.6469780802726746
06_to_05	pair	0.214454	0.215365	0.995768	0.266414999961853	0.6675481796264648
06_to_06	identity	0.007131	0.000000	713101.308793	nan	nan
06_to_07	pair	0.204697	0.226231	0.904814	0.39998072385787964	0.3683866560459137
06_to_08	pair	0.404134	0.412106	0.980655	0.3448044955730438	0.6838697791099548
06_to_09	pair	0.687904	0.615277	1.118040	0.2803540825843811	0.9302249550819397
06_to_10	pair	0.876895	0.721094	1.216062	0.3492804765701294	1.1650640964508057
07_to_01	pair	0.907556	0.630572	1.439259	0.37046709656715393	1.5454013347625732
07_to_02	pair	0.683698	0.723112	0.945494	0.5801125764846802	1.029210090637207
07_to_03	pair	0.652288	0.658017	0.991292	0.43412408232688904	0.7745140790939331
07_to_04	pair	0.691858	0.734826	0.941526	0.3931160569190979	0.4775369465351105
07_to_05	pair	0.452184	0.482989	0.936220	0.30430224537849426	0.424343079328537
07_to_06	pair	0.216528	0.230530	0.939260	0.3012411296367645	0.3618755340576172
07_to_07	identity	0.005349	0.000000	534918.811172	nan	nan
07_to_08	pair	0.208786	0.144556	1.444321	0.32720327377319336	1.5238031148910522
07_to_09	pair	0.542341	0.343491	1.578910	0.322609543800354	1.6294595003128052
07_to_10	pair	0.853621	0.535624	1.593694	0.36885902285575867	1.6717989444732666
08_to_01	pair	0.745141	0.521193	1.429684	0.4069102704524994	1.5826019048690796
08_to_02	pair	0.614957	0.641400	0.958772	0.5030018091201782	0.9222320318222046
08_to_03	pair	0.677865	0.700676	0.967443	0.33892136812210083	0.5510879755020142
08_to_04	pair	0.739887	0.756997	0.977398	0.2918758690357208	0.33183035254478455
08_to_05	pair	0.659699	0.682894	0.966035	0.2418477088212967	0.31812089681625366
08_to_06	pair	0.405592	0.416272	0.974343	0.32053902745246887	0.5931639075279236
08_to_07	pair	0.191237	0.149132	1.282336	0.33779028058052063	1.2990845441818237
08_to_08	identity	0.004315	0.000000	431494.647637	nan	nan
08_to_09	pair	0.347143	0.154145	2.252053	0.3229445219039917	2.4552371501922607
08_to_10	pair	0.725197	0.351820	2.061272	0.22599925100803375	2.059055805206299
09_to_01	pair	0.563401	0.353080	1.595674	0.142014741897583	1.401932716369629
09_to_02	pair	0.635465	0.554153	1.146732	-0.024347519502043724	0.6147513389587402
09_to_03	pair	0.720525	0.715591	1.006895	0.15435700118541718	0.3100987374782562
09_to_04	pair	0.760594	0.733661	1.036710	0.13399666547775269	0.4389250874519348
09_to_05	pair	0.856300	0.838656	1.021039	0.1923981010913849	0.537726104259491
09_to_06	pair	0.705193	0.650461	1.084144	0.26823699474334717	0.8334768414497375
09_to_07	pair	0.556113	0.351880	1.580404	0.3028486371040344	1.582558274269104
09_to_08	pair	0.316047	0.148054	2.134671	0.3256867229938507	2.307913064956665
09_to_09	identity	0.003433	0.000000	343349.575996	nan	nan
09_to_10	pair	0.339201	0.152557	2.223438	0.25413084030151367	2.350661277770996
10_to_01	pair	0.243913	0.176419	1.382574	-0.10507083684206009	0.8408292531967163
10_to_02	pair	0.524589	0.493838	1.062270	-0.03304419666528702	0.28802862763404846
10_to_03	pair	0.663941	0.614344	1.080731	0.25180941820144653	0.6492224931716919
10_to_04	pair	0.759207	0.683172	1.111296	0.38479718565940857	0.8972024917602539
10_to_05	pair	0.913755	0.785427	1.163386	0.3099516034126282	0.9832416772842407
10_to_06	pair	0.969149	0.774381	1.251514	0.30658212304115295	1.1605029106140137
10_to_07	pair	0.875647	0.550172	1.591589	0.34041061997413635	1.649984359741211
10_to_08	pair	0.715668	0.353878	2.022358	0.23901592195034027	2.02952241897583
10_to_09	pair	0.325493	0.154683	2.104266	0.24071791768074036	2.196324110031128
10_to_10	identity	0.002856	0.000000	285648.228601	nan	nan
