arch	vendor	scan	cos	L1_over_zero	beat
encoder	varian	CV_P1_V_01	0.3700	1.0373	63.3
encoder	varian	CV_P2_V_01	0.5985	0.8530	98.9
encoder	varian	CV_P3_V_01	0.6188	0.8355	96.7
encoder	varian	CV_P4_V_01	0.6816	0.7492	96.7
encoder	varian	CV_P5_V_01	0.6069	0.8096	91.1
encoder	elekta	CE_P1_V_01	0.5800	0.8342	95.6
encoder	elekta	CE_P2_V_01	0.4109	0.9487	74.4
encoder	elekta	CE_P3_V_01	0.5265	0.9016	84.4
encoder	elekta	CE_P4_V_01	0.4581	0.9389	71.1
encoder	elekta	CE_P5_V_01	0.5154	0.8540	80.0
decoder	varian	CV_P1_V_01	0.3980	1.0443	65.6
decoder	varian	CV_P2_V_01	0.6512	0.8130	100.0
decoder	varian	CV_P3_V_01	0.5904	0.8641	84.4
decoder	varian	CV_P4_V_01	0.6871	0.7420	96.7
decoder	varian	CV_P5_V_01	0.6415	0.7984	96.7
decoder	elekta	CE_P1_V_01	0.6032	0.8186	98.9
decoder	elekta	CE_P2_V_01	0.4810	0.9267	76.7
decoder	elekta	CE_P3_V_01	0.4758	0.9087	85.6
decoder	elekta	CE_P4_V_01	0.4335	0.9515	68.9
decoder	elekta	CE_P5_V_01	0.5278	0.8480	82.2
