pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.088717	0.000000	8871683.478355	nan	nan
01_to_02	pair	1.713904	1.594562	1.074843	-0.35611814369247785	0.13190799133178144
01_to_03	pair	2.888117	2.730861	1.057585	-0.30591921663030774	0.1445199436853399
01_to_04	pair	3.452443	3.323613	1.038762	-0.28129232294024303	0.147698841401022
01_to_05	pair	3.982797	3.882416	1.025855	-0.24949220548571607	0.14568769394587586
01_to_06	pair	3.857103	3.754527	1.027321	-0.20352759441788323	0.1717774871598968
01_to_07	pair	2.442136	2.357382	1.035953	-0.18362192546199138	0.17445888513399518
01_to_08	pair	0.933033	0.871184	1.070995	-0.24535879120930523	0.26498663158215513
01_to_09	pair	0.992631	1.009387	0.983400	0.050838814124928786	0.10736182851257547
01_to_10	pair	1.270535	1.274900	0.996576	0.053590428086685966	0.046374432274519053
02_to_01	pair	1.558501	1.518324	1.026461	-0.16550487537149708	0.09972921276528869
02_to_02	identity	0.106048	0.000000	10604830.831289	nan	nan
02_to_03	pair	0.799706	0.701696	1.139675	-0.3996433456792115	0.27501284511801777
02_to_04	pair	1.291177	1.224711	1.054271	-0.3076819483766584	0.22274938460971982
02_to_05	pair	1.752679	1.650748	1.061749	-0.2978102371896011	0.2493716297160052
02_to_06	pair	1.734762	1.625805	1.067017	-0.27394883403475545	0.2761012376845654
02_to_07	pair	1.116042	1.001369	1.114516	-0.17309321355095456	0.3295778626272838
02_to_08	pair	1.554440	1.601063	0.970880	0.19272745706573519	0.1450305056714068
02_to_09	pair	2.803824	2.837885	0.987998	0.1643080547242294	0.045544113257616176
02_to_10	pair	3.404119	3.383872	1.005983	-0.07204439077050756	0.052091870151299596
03_to_01	pair	2.644818	2.501572	1.057262	-0.17241493414446832	0.16643906281576362
03_to_02	pair	0.774265	0.695702	1.112928	-0.27247771530339104	0.30235865601580125
03_to_03	identity	0.060856	0.000000	6085633.113980	nan	nan
03_to_04	pair	0.450868	0.434311	1.038121	-0.13056229917927628	0.2387853060766582
03_to_05	pair	0.827979	0.779038	1.062823	-0.23912187037541083	0.32758062301508956
03_to_06	pair	1.007838	0.956586	1.053578	-0.1304729030096709	0.3406475845852522
03_to_07	pair	0.970030	1.007356	0.962946	0.2651362237651671	0.29957444259700233
03_to_08	pair	2.129112	2.214681	0.961363	0.30732137681272287	0.11429709378916766
03_to_09	pair	4.177638	4.131968	1.011053	-0.09046153353843532	0.07341722043330205
03_to_10	pair	4.697610	4.562197	1.029682	-0.20561017246165905	0.08563326738886744
04_to_01	pair	3.346931	3.125791	1.070747	-0.2728752746102891	0.18575024927345396
04_to_02	pair	1.326266	1.182267	1.121800	-0.34979450952715035	0.2876728037803099
04_to_03	pair	0.447785	0.423822	1.056539	-0.2318305055472574	0.28719255277200983
04_to_04	identity	0.039696	0.000000	3969645.127654	nan	nan
04_to_05	pair	0.353522	0.321109	1.100941	-0.23942433474982922	0.3964830304516683
04_to_06	pair	0.515703	0.482454	1.068918	0.02878203605877021	0.4451285645194021
04_to_07	pair	0.967829	1.048921	0.922690	0.35174296062608973	0.2403189699000615
04_to_08	pair	2.654830	2.659656	0.998186	0.08401444760290372	0.1345704406697494
04_to_09	pair	4.796758	4.671356	1.026845	-0.2618232386292971	0.10218815833329664
04_to_10	pair	5.954471	5.682392	1.047881	-0.3938879732204958	0.10046753689365735
05_to_01	pair	3.708164	3.535269	1.048906	-0.24584501193575792	0.18871928602627872
05_to_02	pair	1.624946	1.510562	1.075723	-0.23612905010656274	0.3172022453175636
05_to_03	pair	0.777561	0.748030	1.039479	-0.19497393587146042	0.365686909364732
05_to_04	pair	0.361449	0.327112	1.104971	-0.16887636115773022	0.40541445219185157
05_to_05	identity	0.043213	0.000000	4321252.182126	nan	nan
05_to_06	pair	0.245979	0.237091	1.037486	0.14212484958192817	0.4152188814447336
05_to_07	pair	1.004565	1.036900	0.968815	0.1575782263596199	0.17520199134943223
05_to_08	pair	3.010517	2.956689	1.018206	-0.04602320528338291	0.14237248346527864
05_to_09	pair	5.463894	5.251676	1.040410	-0.31938820367923076	0.1040412227072591
05_to_10	pair	6.338968	6.051298	1.047539	-0.3616858948896906	0.10996099841490332
06_to_01	pair	3.590306	3.501714	1.025300	-0.15918058218681075	0.20535114239559057
06_to_02	pair	1.678277	1.563347	1.073516	-0.18818289102261435	0.34962804282383975
06_to_03	pair	0.934525	0.886640	1.054007	-0.09399904979351684	0.3874680965022538
06_to_04	pair	0.510211	0.485581	1.050723	0.07004378565824482	0.4440722424160265
06_to_05	pair	0.264539	0.250213	1.057256	0.03772326735795378	0.40401090381381416
06_to_06	identity	0.050708	0.000000	5070792.511106	nan	nan
06_to_07	pair	0.903957	0.891268	1.014238	-0.0665573542840463	0.1432923883437983
06_to_08	pair	2.884128	2.833839	1.017746	-0.09236806940624025	0.14234798023912132
06_to_09	pair	5.292392	5.133390	1.030974	-0.24042694673955745	0.11059608644054807
06_to_10	pair	6.227818	6.025908	1.033507	-0.22748858643166614	0.11629036781246396
07_to_01	pair	2.279206	2.256194	1.010199	-0.08022350475808848	0.25422720155532647
07_to_02	pair	1.029554	0.990431	1.039501	0.06605896701227422	0.43869847083448343
07_to_03	pair	0.961155	1.006407	0.955036	0.2812808378427765	0.3683305478868711
07_to_04	pair	1.107289	1.089884	1.015970	-0.009092116835805002	0.20587664865310698
07_to_05	pair	1.200909	1.152585	1.041927	-0.22260445135192547	0.18085184283611397
07_to_06	pair	0.969981	0.935177	1.037216	-0.23852485812819682	0.15585139832007344
07_to_07	identity	0.061421	0.000000	6142144.650221	nan	nan
07_to_08	pair	1.528413	1.503647	1.016470	-0.18911466961143447	0.1381443936819632
07_to_09	pair	3.428533	3.354463	1.022081	-0.22898723357399728	0.11826612026915
07_to_10	pair	4.038832	4.007887	1.007721	-0.11526259809452341	0.1338329770784295
