pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.039725	0.000000	3972509.503365	nan	nan
01_to_02	pair	0.309238	0.412737	0.749237	0.6928020996900238	0.6184148237976009
01_to_03	pair	0.860569	1.191885	0.722024	0.7174183730180747	0.5187956913991754
01_to_04	pair	1.018589	1.453186	0.700935	0.7064401020198445	0.5946264731141734
01_to_05	pair	1.095175	1.552099	0.705609	0.69241964983489	0.6324349587533166
01_to_06	pair	1.096684	1.503139	0.729596	0.6745085778599653	0.667208517167773
01_to_07	pair	1.003972	1.333044	0.753143	0.6520118781388918	0.6625139206171331
01_to_08	pair	0.813240	1.065695	0.763108	0.6457425435476037	0.6062306633413664
01_to_09	pair	0.571940	0.724359	0.789581	0.6309158652046759	0.5042941360465325
01_to_10	pair	0.324229	0.355581	0.911829	0.3867488674347785	0.3240041602335998
02_to_01	pair	0.304993	0.404560	0.753888	0.6611966021370577	0.6892298877078811
02_to_02	identity	0.033773	0.000000	3377322.852612	nan	nan
02_to_03	pair	0.344755	0.502816	0.685648	0.7671001045763686	0.652049290067504
02_to_04	pair	0.554299	0.795878	0.696462	0.7126483363032426	0.6711211189529679
02_to_05	pair	0.728985	1.031234	0.706906	0.6854302569591094	0.7112076144283531
02_to_06	pair	0.813900	1.098740	0.740757	0.6593282670260358	0.71669594975171
02_to_07	pair	0.819714	1.018315	0.804970	0.5916369870224435	0.7016495983430334
02_to_08	pair	0.768000	0.899736	0.853584	0.5203697153798467	0.564612968637792
02_to_09	pair	0.647245	0.704035	0.919337	0.4481920655415008	0.37633228687564263
02_to_10	pair	0.442264	0.437902	1.009962	0.2440490750227241	0.5679938438572736
03_to_01	pair	0.847422	1.185975	0.714536	0.6913138669648432	0.5565831488285861
03_to_02	pair	0.339720	0.503510	0.674702	0.7610381553742456	0.7079002435191942
03_to_03	identity	0.031167	0.000000	3116661.496460	nan	nan
03_to_04	pair	0.249984	0.294523	0.848777	0.4869728220882486	0.6870444777409237
03_to_05	pair	0.451512	0.527409	0.856096	0.49839476300440466	0.7650797918335642
03_to_06	pair	0.563945	0.636062	0.886621	0.49946282336847003	0.7815605022993622
03_to_07	pair	0.671677	0.707535	0.949320	0.4154264520763276	0.6429835878765167
03_to_08	pair	0.737221	0.774707	0.951613	0.39327995390945836	0.3925591163758489
03_to_09	pair	0.775624	0.877174	0.884231	0.48935848413703115	0.37924741285846314
03_to_10	pair	0.843951	1.070336	0.788491	0.5845399926145884	0.5359018973243899
04_to_01	pair	1.015776	1.412139	0.719317	0.6777389516979028	0.6445573514623292
04_to_02	pair	0.545459	0.786776	0.693284	0.7097174974396669	0.7827102666242521
04_to_03	pair	0.246480	0.286574	0.860094	0.5081535149376059	0.849760667383197
04_to_04	identity	0.025993	0.000000	2599257.975817	nan	nan
04_to_05	pair	0.221899	0.251635	0.881829	0.38161805756165784	0.6499452243300758
04_to_06	pair	0.369520	0.385818	0.957756	0.37117755012495113	0.7204503930534363
04_to_07	pair	0.488084	0.517733	0.942734	0.4091693353056211	0.5409738814006697
04_to_08	pair	0.632806	0.713430	0.886991	0.5171846616861783	0.42092584630208285
04_to_09	pair	0.772030	0.940748	0.820656	0.5780000059519834	0.5272698016179282
04_to_10	pair	0.926424	1.207316	0.767342	0.6327345968458417	0.6488062823691523
05_to_01	pair	1.086054	1.479541	0.734048	0.671848769663531	0.7239645208673428
05_to_02	pair	0.762378	1.047866	0.727553	0.6573273364893942	0.7625792762251045
05_to_03	pair	0.465781	0.513150	0.907689	0.4450284604284178	0.8180845083100542
05_to_04	pair	0.262026	0.255745	1.024560	0.2622349356810364	0.7673898169056645
05_to_05	identity	0.021559	0.000000	2155898.511410	nan	nan
05_to_06	pair	0.179758	0.174867	1.027972	0.2695003272760533	0.5545561319126684
05_to_07	pair	0.330426	0.366271	0.902136	0.4845207881938575	0.5565169252010532
05_to_08	pair	0.522979	0.639597	0.817670	0.5957735274277187	0.5853897430197039
05_to_09	pair	0.740801	0.926330	0.799716	0.613111040336133	0.6864417693352909
05_to_10	pair	0.948356	1.222690	0.775631	0.6419220966856402	0.7731853028594855
06_to_01	pair	1.103366	1.447151	0.762440	0.6563777335505934	0.7713900258767284
06_to_02	pair	0.806259	1.058359	0.761802	0.636653502603426	0.8147883767792695
06_to_03	pair	0.595076	0.619980	0.959831	0.41837163920555465	0.8385304124501567
06_to_04	pair	0.404876	0.387870	1.043845	0.28883566291313745	0.8074884780571727
06_to_05	pair	0.195229	0.180208	1.083353	0.1998012169502722	0.5645985082538415
06_to_06	identity	0.018071	0.000000	1807134.784758	nan	nan
06_to_07	pair	0.242345	0.278678	0.869624	0.5184708039670987	0.576948936193294
06_to_08	pair	0.467711	0.568413	0.822837	0.5967265998189818	0.7036376735329475
06_to_09	pair	0.706411	0.864153	0.817461	0.6161315948248449	0.8127511682919624
06_to_10	pair	0.943861	1.168822	0.807532	0.6382778424639646	0.8594623575576398
07_to_01	pair	0.920692	1.256112	0.732969	0.6755765530732557	0.7956203337292723
07_to_02	pair	0.741691	0.957234	0.774827	0.6237210945636209	0.8091453213921933
07_to_03	pair	0.720136	0.708565	1.016330	0.34465489408507943	0.6842520111294772
07_to_04	pair	0.556815	0.520290	1.070201	0.25205343786485485	0.5403462297368655
07_to_05	pair	0.354457	0.365805	0.968978	0.3815973885314565	0.4404982623939899
07_to_06	pair	0.253062	0.273977	0.923663	0.4689660483839568	0.3251201579750361
07_to_07	identity	0.022713	0.000000	2271316.014230	nan	nan
07_to_08	pair	0.253051	0.286554	0.883082	0.5789922804260446	0.9441743476972971
07_to_09	pair	0.522255	0.598864	0.872075	0.6045535624987304	0.9399885788932251
07_to_10	pair	0.765885	0.942381	0.812712	0.6420383058059184	0.9195181714097901
08_to_01	pair	0.740180	1.011727	0.731600	0.6673171951715169	0.7021806520505611
08_to_02	pair	0.717575	0.886881	0.809099	0.5460112590335818	0.606212407091283
08_to_03	pair	0.761275	0.780059	0.975920	0.3629157554203105	0.38912342783986653
08_to_04	pair	0.655645	0.723102	0.906712	0.486409845339487	0.3860523413950816
08_to_05	pair	0.533574	0.638485	0.835688	0.5883290674075667	0.524781907125145
08_to_06	pair	0.472715	0.568034	0.832195	0.5755007155229255	0.6239177283379346
08_to_07	pair	0.277683	0.297768	0.932549	0.47753907580727284	0.7791284842486121
08_to_08	identity	0.017602	0.000000	1760240.457952	nan	nan
08_to_09	pair	0.294662	0.326271	0.903123	0.578799614276915	0.9786886059293618
08_to_10	pair	0.539930	0.677680	0.796732	0.6486978574242974	0.8994370221815926
09_to_01	pair	0.501302	0.696157	0.720099	0.6963354164982158	0.6175078679523629
09_to_02	pair	0.580388	0.687565	0.844120	0.5565759649206421	0.4126408932090054
09_to_03	pair	0.757760	0.878528	0.862533	0.5378327010169275	0.3758675848460026
09_to_04	pair	0.784349	0.951902	0.823981	0.58009887841267	0.5468010832012208
09_to_05	pair	0.727494	0.922868	0.788297	0.6289329108460247	0.6965413123227411
