pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.037753	0.000000	3775293.007493	nan	nan
01_to_02	pair	0.258414	0.283223	0.912406	0.5767196629238254	0.972204645177059
01_to_03	pair	0.563474	0.660861	0.852635	0.6982449018771584	0.9019062298163169
01_to_04	pair	0.848675	1.085606	0.781753	0.7233779642051187	0.798253351874751
01_to_05	pair	1.217852	1.570012	0.775696	0.6872424874858587	0.7076024508112826
01_to_06	pair	1.326924	1.730101	0.766963	0.6780087107731056	0.7583350305029742
01_to_07	pair	1.209501	1.504791	0.803767	0.6154910233961854	0.6209686566142779
01_to_08	pair	0.990968	1.185815	0.835685	0.5650213502216749	0.4262849457677249
01_to_09	pair	0.645788	0.712774	0.906021	0.46779705170099073	0.2630477511770391
01_to_10	pair	0.316847	0.287970	1.100277	-0.21353489350667648	0.34123838896485476
02_to_01	pair	0.304474	0.285222	1.067496	0.4171027146383689	0.9599257633728684
02_to_02	identity	0.041514	0.000000	4151380.062103	nan	nan
02_to_03	pair	0.348602	0.414510	0.840999	0.6869493337295739	0.7028745111171716
02_to_04	pair	0.754711	0.938574	0.804104	0.6802692408552852	0.6057780762596534
02_to_05	pair	1.149660	1.432481	0.802565	0.6521070725029715	0.5733359759819897
02_to_06	pair	1.311702	1.646454	0.796683	0.6314123833691805	0.5961284529351942
02_to_07	pair	1.290162	1.485985	0.868220	0.5094099975912338	0.4426212229855502
02_to_08	pair	1.106034	1.176280	0.940281	0.31299516122624893	0.31546880200705263
02_to_09	pair	0.858926	0.798624	1.075507	-0.06093992579199761	0.2912108663501314
02_to_10	pair	0.560652	0.479502	1.169237	0.05005523921479348	0.6873907084441786
03_to_01	pair	0.535290	0.669161	0.799942	0.73031411959639	0.8860648035294894
03_to_02	pair	0.317492	0.410394	0.773628	0.7394919625970714	0.7901749405490004
03_to_03	identity	0.028130	0.000000	2812956.646085	nan	nan
03_to_04	pair	0.395086	0.481606	0.820351	0.6549051532945477	0.42729864709479803
03_to_05	pair	0.831815	1.036899	0.802215	0.6386650407177665	0.43262693979517086
03_to_06	pair	1.038004	1.270660	0.816902	0.5770960747249508	0.4478061978754626
03_to_07	pair	1.046990	1.154727	0.906699	0.41595882188556615	0.3753217379056534
03_to_08	pair	0.913737	0.835814	1.093230	0.11018463982850632	0.4712929851595373
03_to_09	pair	0.786057	0.733434	1.071748	0.24753270073214878	0.718177440682846
03_to_10	pair	0.688908	0.702845	0.980170	0.5280556744598404	0.9464791121954585
04_to_01	pair	0.828750	1.132895	0.731532	0.7008712628692461	0.6869670783974828
04_to_02	pair	0.682479	0.931834	0.732404	0.6924667586504498	0.5877154552099519
04_to_03	pair	0.370385	0.458508	0.807805	0.6653417208285624	0.43919155107510083
04_to_04	identity	0.019086	0.000000	1908628.083766	nan	nan
04_to_05	pair	0.327340	0.404221	0.809805	0.6562146664638041	0.4135398652620294
04_to_06	pair	0.553602	0.660158	0.838590	0.5322991582434293	0.5300728215931299
04_to_07	pair	0.679779	0.656082	1.036119	0.21931400358607184	0.5219197254983025
04_to_08	pair	0.742769	0.655621	1.132924	0.2264592894013159	0.8458849405546321
04_to_09	pair	0.737061	0.747903	0.985503	0.5919885176344512	0.9432894158786173
04_to_10	pair	0.808108	0.953011	0.847953	0.6527372142781247	0.7851110064082949
05_to_01	pair	1.136291	1.549154	0.733491	0.691687509069645	0.65443437510176
