pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.028013	0.000000	2801292.389631	nan	nan
01_to_02	pair	0.300222	0.332370	0.903277	0.5166786353697042	0.4103873901874706
01_to_03	pair	0.669211	0.755384	0.885922	0.6108381347664584	0.48260556395074833
01_to_04	pair	0.873633	0.981348	0.890238	0.6250111297796399	0.5637991494399598
01_to_05	pair	0.994531	1.136216	0.875301	0.6325496727092116	0.5908451408164181
01_to_06	pair	1.001281	1.140912	0.877615	0.6209644702615243	0.6682227181356737
01_to_07	pair	0.855846	0.945656	0.905028	0.6484173825671925	0.7873484734821022
01_to_08	pair	0.714615	0.801626	0.891457	0.6236122539604496	0.78163559083497
01_to_09	pair	0.465334	0.535060	0.869685	0.6071754060779897	0.6650830101876285
01_to_10	pair	0.211789	0.230751	0.917825	0.46288470870156795	0.4715447370043548
02_to_01	pair	0.300793	0.340751	0.882734	0.5781040400782205	0.3238548544801526
02_to_02	identity	0.029277	0.000000	2927665.226161	nan	nan
02_to_03	pair	0.272144	0.330487	0.823465	0.7347144070310568	0.6106130860301952
02_to_04	pair	0.594181	0.685189	0.867179	0.7024811565815277	0.5815658064076074
02_to_05	pair	0.784086	0.878338	0.892692	0.6544850793174956	0.6557393664761307
02_to_06	pair	0.870889	0.987458	0.881950	0.6232969269596305	0.6999708121648005
02_to_07	pair	0.803407	0.917454	0.875691	0.6248008638314377	0.7578909283929545
02_to_08	pair	0.651310	0.757626	0.859673	0.594917675300917	0.7624079407373411
02_to_09	pair	0.421396	0.500078	0.842659	0.6121239804871651	0.6582131205208052
02_to_10	pair	0.356498	0.390113	0.913833	0.4174457755986452	0.30350635650674007
03_to_01	pair	0.641852	0.771520	0.831932	0.661826322526109	0.5056637123971366
03_to_02	pair	0.258837	0.341433	0.758090	0.7658415947797876	0.6641051411692673
03_to_03	identity	0.027026	0.000000	2702613.733709	nan	nan
03_to_04	pair	0.234629	0.284301	0.825284	0.7254431299728278	0.6772412168871068
03_to_05	pair	0.510398	0.597627	0.854041	0.6381296864913444	0.6511396187325512
03_to_06	pair	0.642317	0.718964	0.893391	0.564582464341785	0.7063982104609794
03_to_07	pair	0.663877	0.712282	0.932043	0.5469850377855296	0.7439529417550095
03_to_08	pair	0.576899	0.640196	0.901128	0.5197749107291678	0.6506746972391951
03_to_09	pair	0.499692	0.567740	0.880143	0.4879034277142162	0.42251549817403034
