[crb_both_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_both_mse_cyclic_full128] device=cuda:1 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=both | cyclic | train 128³ | seed=20260824
[crb_both_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.587413 | val MSE: 0.536373 | total time: 0 hours 1 minutes
Epoch: 2 | train MSE: 0.537841 | val MSE: 0.464072 | total time: 0 hours 2 minutes
Epoch: 3 | train MSE: 0.492284 | val MSE: 0.406779 | total time: 0 hours 3 minutes
Epoch: 4 | train MSE: 0.409739 | val MSE: 0.358411 | total time: 0 hours 4 minutes
Epoch: 5 | train MSE: 0.351421 | val MSE: 0.324141 | total time: 0 hours 5 minutes
Epoch: 6 | train MSE: 0.300443 | val MSE: 0.281572 | total time: 0 hours 6 minutes
Epoch: 7 | train MSE: 0.273912 | val MSE: 0.252463 | total time: 0 hours 7 minutes
Epoch: 8 | train MSE: 0.250369 | val MSE: 0.224100 | total time: 0 hours 8 minutes
Epoch: 9 | train MSE: 0.228473 | val MSE: 0.216096 | total time: 0 hours 9 minutes
Epoch: 10 | train MSE: 0.217116 | val MSE: 0.194612 | total time: 0 hours 10 minutes
Epoch: 11 | train MSE: 0.205916 | val MSE: 0.211996 | total time: 0 hours 11 minutes
Epoch: 12 | train MSE: 0.196763 | val MSE: 0.194219 | total time: 0 hours 12 minutes
Epoch: 13 | train MSE: 0.173887 | val MSE: 0.171483 | total time: 0 hours 13 minutes
Epoch: 14 | train MSE: 0.166827 | val MSE: 0.146018 | total time: 0 hours 14 minutes
Epoch: 15 | train MSE: 0.150451 | val MSE: 0.144966 | total time: 0 hours 15 minutes
Epoch: 16 | train MSE: 0.145939 | val MSE: 0.154217 | total time: 0 hours 16 minutes
Epoch: 17 | train MSE: 0.138980 | val MSE: 0.167062 | total time: 0 hours 17 minutes
Epoch: 18 | train MSE: 0.132212 | val MSE: 0.126974 | total time: 0 hours 18 minutes
Epoch: 19 | train MSE: 0.128698 | val MSE: 0.124930 | total time: 0 hours 19 minutes
Epoch: 20 | train MSE: 0.114954 | val MSE: 0.114928 | total time: 0 hours 20 minutes
Epoch: 21 | train MSE: 0.113028 | val MSE: 0.106160 | total time: 0 hours 21 minutes
Epoch: 22 | train MSE: 0.114170 | val MSE: 0.112483 | total time: 0 hours 22 minutes
Epoch: 23 | train MSE: 0.102598 | val MSE: 0.099709 | total time: 0 hours 23 minutes
Epoch: 24 | train MSE: 0.107003 | val MSE: 0.095229 | total time: 0 hours 24 minutes
Epoch: 25 | train MSE: 0.092173 | val MSE: 0.089685 | total time: 0 hours 25 minutes
Epoch: 26 | train MSE: 0.095511 | val MSE: 0.095206 | total time: 0 hours 26 minutes
Epoch: 27 | train MSE: 0.088978 | val MSE: 0.087713 | total time: 0 hours 27 minutes
Epoch: 28 | train MSE: 0.082552 | val MSE: 0.081461 | total time: 0 hours 28 minutes
Epoch: 29 | train MSE: 0.082646 | val MSE: 0.090857 | total time: 0 hours 29 minutes
Epoch: 30 | train MSE: 0.081762 | val MSE: 0.072811 | total time: 0 hours 30 minutes
Epoch: 31 | train MSE: 0.074653 | val MSE: 0.070399 | total time: 0 hours 31 minutes
Epoch: 32 | train MSE: 0.070477 | val MSE: 0.071030 | total time: 0 hours 32 minutes
Epoch: 33 | train MSE: 0.071734 | val MSE: 0.096477 | total time: 0 hours 33 minutes
Epoch: 34 | train MSE: 0.070596 | val MSE: 0.075584 | total time: 0 hours 34 minutes
Epoch: 35 | train MSE: 0.068602 | val MSE: 0.063353 | total time: 0 hours 35 minutes
Epoch: 36 | train MSE: 0.065153 | val MSE: 0.061689 | total time: 0 hours 36 minutes
Epoch: 37 | train MSE: 0.065375 | val MSE: 0.065385 | total time: 0 hours 37 minutes
Epoch: 38 | train MSE: 0.064478 | val MSE: 0.065208 | total time: 0 hours 38 minutes
Epoch: 39 | train MSE: 0.057721 | val MSE: 0.060290 | total time: 0 hours 39 minutes
Epoch: 40 | train MSE: 0.059043 | val MSE: 0.055567 | total time: 0 hours 40 minutes
Epoch: 41 | train MSE: 0.061340 | val MSE: 0.064909 | total time: 0 hours 41 minutes
Epoch: 42 | train MSE: 0.053248 | val MSE: 0.060443 | total time: 0 hours 42 minutes
Epoch: 43 | train MSE: 0.055372 | val MSE: 0.057322 | total time: 0 hours 43 minutes
Epoch: 44 | train MSE: 0.051259 | val MSE: 0.054010 | total time: 0 hours 44 minutes
Epoch: 45 | train MSE: 0.056277 | val MSE: 0.056199 | total time: 0 hours 45 minutes
Epoch: 46 | train MSE: 0.050944 | val MSE: 0.048491 | total time: 0 hours 46 minutes
Epoch: 47 | train MSE: 0.047681 | val MSE: 0.052088 | total time: 0 hours 46 minutes
Epoch: 48 | train MSE: 0.048191 | val MSE: 0.048352 | total time: 0 hours 47 minutes
Epoch: 49 | train MSE: 0.047911 | val MSE: 0.049233 | total time: 0 hours 48 minutes
Epoch: 50 | train MSE: 0.047776 | val MSE: 0.048707 | total time: 0 hours 49 minutes
Epoch: 51 | train MSE: 0.045516 | val MSE: 0.044362 | total time: 0 hours 50 minutes
Epoch: 52 | train MSE: 0.046269 | val MSE: 0.066002 | total time: 0 hours 51 minutes
Epoch: 53 | train MSE: 0.048259 | val MSE: 0.046656 | total time: 0 hours 52 minutes
Epoch: 54 | train MSE: 0.041307 | val MSE: 0.066511 | total time: 0 hours 53 minutes
Epoch: 55 | train MSE: 0.053458 | val MSE: 0.045564 | total time: 0 hours 54 minutes
Epoch: 56 | train MSE: 0.039529 | val MSE: 0.043762 | total time: 0 hours 55 minutes
Epoch: 57 | train MSE: 0.038502 | val MSE: 0.043786 | total time: 0 hours 56 minutes
Epoch: 58 | train MSE: 0.041826 | val MSE: 0.045348 | total time: 0 hours 57 minutes
Epoch: 59 | train MSE: 0.039214 | val MSE: 0.044719 | total time: 0 hours 58 minutes
Epoch: 60 | train MSE: 0.041918 | val MSE: 0.047773 | total time: 0 hours 59 minutes
Epoch: 61 | train MSE: 0.037315 | val MSE: 0.045346 | total time: 1 hours 0 minutes
Epoch: 62 | train MSE: 0.039878 | val MSE: 0.039070 | total time: 1 hours 1 minutes
Epoch: 63 | train MSE: 0.040818 | val MSE: 0.038159 | total time: 1 hours 2 minutes
Epoch: 64 | train MSE: 0.035053 | val MSE: 0.043973 | total time: 1 hours 3 minutes
Epoch: 65 | train MSE: 0.039415 | val MSE: 0.061807 | total time: 1 hours 4 minutes
Epoch: 66 | train MSE: 0.036905 | val MSE: 0.039569 | total time: 1 hours 5 minutes
Epoch: 67 | train MSE: 0.036760 | val MSE: 0.039453 | total time: 1 hours 6 minutes
Epoch: 68 | train MSE: 0.036805 | val MSE: 0.036925 | total time: 1 hours 7 minutes
Epoch: 69 | train MSE: 0.034139 | val MSE: 0.037699 | total time: 1 hours 8 minutes
