pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.034672	0.000000	3467165.306211	nan	nan
01_to_02	pair	0.370181	0.383169	0.966105	0.38376339174279356	0.5799795451696507
01_to_03	pair	1.156067	1.230852	0.939241	0.3647732451418227	0.44660078202868564
01_to_04	pair	1.492483	1.645525	0.906995	0.4340246376031454	0.4816744041563734
01_to_05	pair	1.614043	1.797984	0.897696	0.45352448151768826	0.517932978619775
01_to_06	pair	1.637030	1.765300	0.927338	0.44487008285904184	0.5678453427818708
01_to_07	pair	1.280049	1.343949	0.952454	0.40673509287238513	0.5324989437814296
01_to_08	pair	0.755127	0.765092	0.986976	0.3494171705048257	0.44812028991842123
01_to_09	pair	0.393087	0.362947	1.083043	0.10789878044019471	0.4364392425729546
01_to_10	pair	0.223240	0.231239	0.965409	0.24925611697693834	0.24134024337291876
02_to_01	pair	0.350526	0.373688	0.938019	0.5003114006752023	0.6518186507016913
02_to_02	identity	0.056646	0.000000	5664634.332061	nan	nan
02_to_03	pair	0.474181	0.507783	0.933827	0.4285019653526127	0.40590928224810524
02_to_04	pair	1.013429	1.104614	0.917451	0.4114400970920754	0.33198837438516815
02_to_05	pair	1.310759	1.398126	0.937511	0.3689992913925896	0.39004955840045547
02_to_06	pair	1.330961	1.355520	0.981882	0.3396052699332671	0.4963444877713779
02_to_07	pair	1.039189	1.008403	1.030530	0.24919607230191929	0.4914140011749043
02_to_08	pair	0.675827	0.607477	1.112514	0.0029599627594447744	0.39448042105450093
02_to_09	pair	0.526662	0.520649	1.011550	0.11595676211983076	0.26764440769539427
02_to_10	pair	0.572340	0.629724	0.908874	0.4347090493096427	0.4250189096779663
03_to_01	pair	1.068382	1.171499	0.911978	0.42652071785311846	0.4944727555290674
03_to_02	pair	0.427566	0.479957	0.890841	0.566735683639573	0.6001842645158776
03_to_03	identity	0.030424	0.000000	3042420.744896	nan	nan
03_to_04	pair	0.343591	0.357610	0.960799	0.33364249545468067	0.3710380063777738
03_to_05	pair	0.586332	0.589066	0.995358	0.29545682622275043	0.44554985747432546
03_to_06	pair	0.803915	0.752228	1.068712	0.16178535612357697	0.4769243588686125
03_to_07	pair	0.732708	0.627460	1.167735	0.011442514145409886	0.48215686456028617
03_to_08	pair	0.924243	0.892904	1.035098	0.0015565542069620303	0.22300414498407795
03_to_09	pair	1.070416	1.161543	0.921547	0.37949664202572275	0.3136620284852739
03_to_10	pair	1.233209	1.366739	0.902301	0.4225247191323056	0.42054736020311223
04_to_01	pair	1.390611	1.540874	0.902482	0.4557058382816782	0.5183814783284981
04_to_02	pair	0.921326	1.014633	0.908039	0.4747211877622679	0.5056187465667519
04_to_03	pair	0.343283	0.344286	0.997086	0.2220169822224715	0.336720709177905
04_to_04	identity	0.029053	0.000000	2905251.085758	nan	nan
04_to_05	pair	0.259598	0.247435	1.049159	0.15622952118433045	0.42288190148356897
04_to_06	pair	0.436969	0.386374	1.130946	0.06473533059223316	0.5980111209472693
04_to_07	pair	0.714367	0.609610	1.171842	-0.25882434221654455	0.396744428072412
04_to_08	pair	1.014701	1.075706	0.943288	0.34863913324334966	0.2724969643864965
04_to_09	pair	1.285622	1.437664	0.894244	0.46475184684291226	0.4098345446765173
04_to_10	pair	1.479971	1.658634	0.892283	0.47223814190752605	0.465225893601421
05_to_01	pair	1.532774	1.686764	0.908707	0.4492843358030774	0.5693866941560574
05_to_02	pair	1.174893	1.266736	0.927496	0.43354507555318145	0.5454591354260626
05_to_03	pair	0.567202	0.565520	1.002974	0.3133133325727227	0.5316843334644346
05_to_04	pair	0.264812	0.246878	1.072640	0.07639812546471828	0.4298001258686019
05_to_05	identity	0.021425	0.000000	2142512.984574	nan	nan
05_to_06	pair	0.262723	0.243390	1.079432	-0.05078371203944955	0.32808077179092104
05_to_07	pair	0.623320	0.600396	1.038181	-0.20016733863785052	0.17045301476001515
05_to_08	pair	0.980722	1.071677	0.915128	0.42563758552041614	0.3917739263672618
05_to_09	pair	1.368696	1.524253	0.897945	0.4574997083000126	0.466262525631284
05_to_10	pair	1.674868	1.862919	0.899056	0.4474442756238344	0.49638250152631314
06_to_01	pair	1.581755	1.694264	0.933594	0.4255314033563152	0.6104045811943345
06_to_02	pair	1.209259	1.255286	0.963333	0.4046510709602295	0.6142984034335401
06_to_03	pair	0.781942	0.714043	1.095090	0.24353344073701932	0.6725577428510344
06_to_04	pair	0.454579	0.382374	1.188833	0.007900701979708314	0.6385403840658942
06_to_05	pair	0.266124	0.245322	1.084791	-0.016564633444841836	0.3666012188106998
06_to_06	identity	0.026285	0.000000	2628462.761641	nan	nan
06_to_07	pair	0.403698	0.404705	0.997512	0.16234009543898306	0.19550443721253344
06_to_08	pair	0.796208	0.870913	0.914222	0.4606282202232128	0.5177668942392682
06_to_09	pair	1.265567	1.404932	0.900803	0.4619916405048329	0.5402873819037842
06_to_10	pair	1.651987	1.824787	0.905304	0.43155425346532456	0.5246631395625091
07_to_01	pair	1.196185	1.248031	0.958458	0.43367154307960504	0.6775288416723643
07_to_02	pair	0.971801	0.959571	1.012746	0.3283049984834513	0.6152625354918457
07_to_03	pair	0.729020	0.622187	1.171705	0.01366005775270583	0.5439026162489707
07_to_04	pair	0.680290	0.622187	1.093385	-0.0964259696736062	0.37868810916583034
07_to_05	pair	0.633276	0.615050	1.029635	-0.035305843121729706	0.2142226772393368
07_to_06	pair	0.430705	0.417106	1.032603	0.021921263448374206	0.1776435790503443
07_to_07	identity	0.029849	0.000000	2984861.098230	nan	nan
07_to_08	pair	0.439987	0.469165	0.937809	0.45059069231133253	0.4974134752840623
07_to_09	pair	0.841547	0.932549	0.902416	0.48385419083734715	0.5890589836201304
07_to_10	pair	1.256989	1.393687	0.901916	0.45299794500195956	0.5618931159720553
08_to_01	pair	0.752985	0.755354	0.996864	0.38575336494363616	0.6671763032816252
08_to_02	pair	0.647760	0.589452	1.098920	0.057730029619020726	0.5486220849822152
08_to_03	pair	0.950124	0.907557	1.046902	0.07148355073500526	0.3752323695486004
08_to_04	pair	1.084370	1.104625	0.981664	0.23932436219442707	0.38507172885687974
