pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.044273	0.000000	4427300.766110	nan	nan
01_to_02	pair	0.450197	0.622080	0.723696	0.7522249996933655	0.5449878014096676
01_to_03	pair	0.986259	1.462762	0.674245	0.793300277576402	0.5609158548607809
01_to_04	pair	1.427739	2.110929	0.676356	0.7812730944121853	0.5370526930799304
01_to_05	pair	1.645546	2.429275	0.677382	0.7856170547749506	0.5319949387926992
01_to_06	pair	1.636175	2.447153	0.668604	0.7601616239860486	0.5757830569201314
01_to_07	pair	1.384813	1.975930	0.700841	0.6954321551096865	0.6368041612170445
01_to_08	pair	1.035417	1.332699	0.776932	0.597148366874952	0.6480599955935806
01_to_09	pair	0.481780	0.383811	1.255254	0.45369661753549906	1.337835563019141
01_to_10	pair	0.263103	0.199995	1.315547	-0.18958475050281373	0.7286136717254086
02_to_01	pair	0.367556	0.514415	0.714513	0.7552447843167956	0.6785729015469227
02_to_02	identity	0.039915	0.000000	3991455.957294	nan	nan
02_to_03	pair	0.477552	0.691318	0.690784	0.7536419076664554	0.6511731145841542
02_to_04	pair	0.889777	1.287145	0.691280	0.7507891180274161	0.5712729804854089
02_to_05	pair	1.146166	1.650109	0.694600	0.7300091771741047	0.568646137287526
02_to_06	pair	1.219674	1.723956	0.707485	0.6936241815654842	0.6062723149264121
02_to_07	pair	1.137554	1.398258	0.813551	0.5549769233466102	0.6134022128505934
02_to_08	pair	0.954501	0.946244	1.008726	0.33736232280100115	0.4941282107202466
02_to_09	pair	0.740866	0.655721	1.129849	-0.10654079135818101	0.48514971425483644
02_to_10	pair	0.659343	0.750450	0.878597	0.5722681364501895	0.3973403479922404
03_to_01	pair	0.852450	1.250738	0.681557	0.7845092739246797	0.6021067130798297
03_to_02	pair	0.386486	0.558441	0.692079	0.7567443521559551	0.8131617009232258
03_to_03	identity	0.035087	0.000000	3508655.354381	nan	nan
03_to_04	pair	0.360562	0.488817	0.737623	0.6943468345006316	0.5379120127780163
03_to_05	pair	0.622184	0.849928	0.732043	0.6738813737103834	0.5682549203839343
03_to_06	pair	0.773312	0.990912	0.780405	0.5750994449701077	0.5599113759629755
03_to_07	pair	0.941917	0.961677	0.979452	0.38382226562279803	0.40312153313157223
03_to_08	pair	1.077736	1.151181	0.936200	0.3875237682770979	0.26541664790406216
03_to_09	pair	1.129864	1.294425	0.872869	0.5443603132194393	0.328955866643638
03_to_10	pair	1.130694	1.462267	0.773247	0.7318321355684708	0.4465750735593246
04_to_01	pair	1.255352	1.804450	0.695698	0.7829685405653855	0.53672144495495
04_to_02	pair	0.765323	1.108390	0.690481	0.7430130215213335	0.6413523970778187
04_to_03	pair	0.336721	0.425303	0.791721	0.6212773007967701	0.6173156969408501
04_to_04	identity	0.025597	0.000000	2559686.265886	nan	nan
04_to_05	pair	0.261434	0.317741	0.822790	0.5544821651334179	0.5179196828648508
04_to_06	pair	0.502474	0.534542	0.940009	0.42794335580048565	0.4871607080284757
