pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.023926	0.000000	2392606.809735	nan	nan
01_to_02	pair	0.289668	0.332370	0.871521	0.5365143932712958	0.4537464834818683
01_to_03	pair	0.637530	0.755384	0.843981	0.6653666880848165	0.60282463009977
01_to_04	pair	0.831160	0.981348	0.846957	0.6698892062355474	0.6463849651471278
01_to_05	pair	0.961290	1.136216	0.846045	0.6588235072092642	0.6627789313116951
01_to_06	pair	0.956092	1.140912	0.838007	0.6657338920040413	0.7390025277434679
01_to_07	pair	0.797634	0.945656	0.843472	0.7062797287145182	0.8298650373271438
01_to_08	pair	0.687743	0.801626	0.857935	0.6732035900173734	0.8148175784452478
01_to_09	pair	0.468896	0.535060	0.876343	0.6420871363015846	0.744925290872406
01_to_10	pair	0.203650	0.230751	0.882553	0.549665655215455	0.5762630510127182
02_to_01	pair	0.343679	0.340751	1.008593	0.2875060572991708	0.5514085789510853
02_to_02	identity	0.028324	0.000000	2832379.750907	nan	nan
02_to_03	pair	0.331011	0.330487	1.001586	0.5035655741579673	0.7052008084559473
02_to_04	pair	0.646726	0.685189	0.943864	0.5628622375319123	0.6308243131870502
02_to_05	pair	0.795362	0.878338	0.905530	0.5996360830310145	0.6988392428783234
02_to_06	pair	0.853682	0.987458	0.864525	0.6090486926603037	0.7438628165109173
02_to_07	pair	0.790478	0.917454	0.861600	0.6113294309878693	0.7336612416242432
02_to_08	pair	0.652382	0.757626	0.861087	0.5704783279572816	0.6442254940364995
02_to_09	pair	0.442260	0.500078	0.884381	0.5331466710559263	0.5850706175299261
02_to_10	pair	0.389115	0.390113	0.997443	0.26309277099522693	0.49418411272195456
03_to_01	pair	0.708470	0.771520	0.918279	0.5683381783863394	0.5092413101118475
03_to_02	pair	0.307168	0.341433	0.899643	0.6467814939378604	0.7085381042468303
03_to_03	identity	0.029160	0.000000	2916048.094630	nan	nan
03_to_04	pair	0.249896	0.284301	0.878983	0.6816825560169218	0.8002929178033907
03_to_05	pair	0.518053	0.597627	0.866849	0.6257913388850438	0.7182221938387033
03_to_06	pair	0.615628	0.718964	0.856271	0.6081044569833477	0.7259797154812324
03_to_07	pair	0.631523	0.712282	0.886620	0.5652710755873314	0.6847233702192712
03_to_08	pair	0.556075	0.640196	0.868601	0.5241023484432218	0.5344122265829764
03_to_09	pair	0.488167	0.567740	0.859843	0.48899455748490367	0.43123901606150433
03_to_10	pair	0.663015	0.692244	0.957776	0.3562393687145969	0.49220328201561786
04_to_01	pair	0.942168	1.033960	0.911223	0.5865059759147992	0.5271716451198766
04_to_02	pair	0.643902	0.706954	0.910812	0.6261641081862903	0.6070294273280368
04_to_03	pair	0.250406	0.280114	0.893944	0.6655395074894161	0.7532571184199579
04_to_04	identity	0.024428	0.000000	2442829.124629	nan	nan
04_to_05	pair	0.199266	0.217313	0.916953	0.6195048400008569	0.9483458439089886
04_to_06	pair	0.380852	0.423867	0.898517	0.5522094074148293	0.7609824438850525
04_to_07	pair	0.459224	0.510701	0.899203	0.5236522828397684	0.5739016581258651
04_to_08	pair	0.527323	0.566209	0.931321	0.3989887592542359	0.4109809341101515
04_to_09	pair	0.624704	0.679994	0.918690	0.440058933519118	0.45420663205906964
04_to_10	pair	0.830193	0.886294	0.936702	0.5132453889158248	0.5381111612830944
05_to_01	pair	1.141209	1.225770	0.931014	0.5465086771987105	0.537016540459938
05_to_02	pair	0.878364	0.914051	0.960957	0.5545933280561925	0.6275970055680774
05_to_03	pair	0.555577	0.592579	0.937557	0.5311512860825046	0.6246451270650929
05_to_04	pair	0.219328	0.226624	0.967806	0.46157120614260977	0.705289273255378
05_to_05	identity	0.027581	0.000000	2758096.531034	nan	nan
05_to_06	pair	0.137602	0.139715	0.984878	0.4080110958968111	0.736134844369876
05_to_07	pair	0.274763	0.285406	0.962711	0.328354988096525	0.47102947467926093
05_to_08	pair	0.508741	0.505923	1.005570	0.2882520602290286	0.44049931901644124
05_to_09	pair	0.713803	0.714716	0.998721	0.40938272880901566	0.6080406129814574
05_to_10	pair	1.004026	1.032469	0.972452	0.5130318339438563	0.5686798373826439
06_to_01	pair	1.179214	1.260031	0.935861	0.5211836307360491	0.5876691777278805
06_to_02	pair	0.948386	1.020988	0.928891	0.5280357272861276	0.6452732038132074
06_to_03	pair	0.669539	0.714156	0.937524	0.49946349268159784	0.6897037500110136
06_to_04	pair	0.395854	0.418523	0.945834	0.4643962929964005	0.7107094322891789
06_to_05	pair	0.156486	0.151258	1.034560	0.357112227536644	0.7990363724105087
06_to_06	identity	0.028194	0.000000	2819442.190230	nan	nan
06_to_07	pair	0.170250	0.166564	1.022127	0.3093308804172903	0.6641288338056494
06_to_08	pair	0.385236	0.359043	1.072952	0.38626889052518815	0.8143949134717066
06_to_09	pair	0.642985	0.627129	1.025284	0.4838809965462678	0.7661741111155262
06_to_10	pair	0.991455	1.038419	0.954774	0.4999956953002432	0.6000065592217192
07_to_01	pair	1.023363	1.080098	0.947472	0.5743208115063113	0.6536792382292678
07_to_02	pair	0.915321	1.003719	0.911930	0.5460512946690728	0.6476175351522533
07_to_03	pair	0.678988	0.737041	0.921234	0.4795609249964564	0.6127570149603847
07_to_04	pair	0.468381	0.506259	0.925181	0.39929469434056336	0.4474005996847858
07_to_05	pair	0.287901	0.301876	0.953704	0.2862198257203731	0.38971654947875295
07_to_06	pair	0.178348	0.186364	0.956988	0.2902835908902013	0.35233149119864926
07_to_07	identity	0.030247	0.000000	3024700.284004	nan	nan
07_to_08	pair	0.251739	0.223902	1.124324	0.37535999902852246	0.8865359476205258
07_to_09	pair	0.517028	0.450332	1.148105	0.5131993844472664	0.9251415276810786
07_to_10	pair	0.834299	0.806851	1.034018	0.5473289489563467	0.7269056935691299
08_to_01	pair	0.790688	0.913282	0.865766	0.6147022179178689	0.6329364072465314
08_to_02	pair	0.697947	0.832321	0.838555	0.5912023479572537	0.6379637170703613
08_to_03	pair	0.588237	0.667243	0.881594	0.5342662097009592	0.561445914790832
08_to_04	pair	0.499169	0.571034	0.874148	0.4859761506290736	0.42491011890700336
08_to_05	pair	0.447143	0.490731	0.911177	0.4511673540555784	0.5483173550507925
08_to_06	pair	0.336304	0.372115	0.903765	0.5621002715698882	0.8369100123812624
08_to_07	pair	0.242759	0.254435	0.954113	0.49845050996368495	0.8379604880673386
08_to_08	identity	0.028084	0.000000	2808390.371501	nan	nan
08_to_09	pair	0.282865	0.301687	0.937610	0.6132163397178528	0.840289313954237
08_to_10	pair	0.597603	0.645787	0.925386	0.6241268053244133	0.7267895047002906
09_to_01	pair	0.547672	0.563407	0.972073	0.4962669708296825	0.581254570629531
09_to_02	pair	0.467738	0.510785	0.915725	0.4859345792984573	0.5305675055816071
09_to_03	pair	0.609815	0.599836	1.016637	0.18419334137414947	0.35002950199531624
09_to_04	pair	0.657039	0.646571	1.016190	0.29175218329620006	0.49666992465262516
09_to_05	pair	0.697974	0.707741	0.986200	0.3967729999494748	0.6101028733783372
09_to_06	pair	0.630874	0.617948	1.020916	0.4924973599702007	0.8196559542007761
09_to_07	pair	0.486161	0.441884	1.100200	0.5110204575199596	0.9440553440687712
09_to_08	pair	0.290536	0.267258	1.087098	0.48821731046183603	0.8751184213439119
09_to_09	identity	0.019557	0.000000	1955669.559538	nan	nan
09_to_10	pair	0.328561	0.312958	1.049857	0.5042502763095202	0.7860533136275827
10_to_01	pair	0.232435	0.257363	0.903140	0.46187988589922757	0.46871583089849106
10_to_02	pair	0.378867	0.395828	0.957150	0.2889353140731542	0.3613763962463881
10_to_03	pair	0.716908	0.725923	0.987582	0.30201447827660843	0.4744301915665773
10_to_04	pair	0.873124	0.904238	0.965590	0.4534361191329439	0.5609559106677902
10_to_05	pair	0.860569	0.934997	0.920397	0.5778797251630935	0.7053150556954882
10_to_06	pair	0.859948	0.947912	0.907203	0.6091054342348579	0.7700960473963376
10_to_07	pair	0.733271	0.765709	0.957637	0.632925347933582	0.8625755637910817
10_to_08	pair	0.566090	0.593899	0.953174	0.6152492071264817	0.8221075746142066
10_to_09	pair	0.294115	0.319071	0.921784	0.6061256639866784	0.7316636923872456
10_to_10	identity	0.019932	0.000000	1993213.780224	nan	nan
