pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.035927	0.000000	3592738.509178	nan	nan
01_to_02	pair	0.220634	0.283223	0.779012	0.6914454690808226	0.5245751156334136
01_to_03	pair	0.475541	0.660861	0.719577	0.8137515317236153	0.5005645402158444
01_to_04	pair	0.810843	1.085606	0.746904	0.7867786445451469	0.46127927504769944
01_to_05	pair	1.222299	1.570012	0.778529	0.7303254658343696	0.4176329178740515
01_to_06	pair	1.303342	1.730101	0.753333	0.7147396106132091	0.45319196078272916
01_to_07	pair	1.052183	1.504791	0.699222	0.7236250444798231	0.5293721312144213
01_to_08	pair	0.807477	1.185815	0.680946	0.7227230914394839	0.576449792065298
01_to_09	pair	0.462799	0.712774	0.649294	0.74497033611178	0.6469190123603382
01_to_10	pair	0.215317	0.287970	0.747708	0.642219346360018	0.5167808685365658
02_to_01	pair	0.225198	0.285222	0.789554	0.6527062783571803	0.5722174820079895
02_to_02	identity	0.038134	0.000000	3813382.238150	nan	nan
02_to_03	pair	0.315070	0.414510	0.760102	0.7790905045551002	0.4657312446601136
02_to_04	pair	0.718444	0.938574	0.765463	0.7547064346514144	0.42213193556793505
02_to_05	pair	1.131061	1.432481	0.789582	0.6781185561113984	0.40076096397879046
02_to_06	pair	1.268457	1.646454	0.770418	0.6719338761651262	0.42436155426968625
02_to_07	pair	1.077139	1.485985	0.724865	0.6840723513992581	0.4770121492858297
02_to_08	pair	0.851441	1.176280	0.723842	0.6762547478099127	0.5026843433343099
02_to_09	pair	0.622172	0.798624	0.779055	0.6326021276185189	0.44727093701876164
02_to_10	pair	0.386327	0.479502	0.805682	0.5997395892686478	0.4026224014996494
03_to_01	pair	0.480356	0.669161	0.717849	0.8125979556045734	0.4909354027413657
03_to_02	pair	0.310856	0.410394	0.757458	0.7752442007761166	0.480545020256712
03_to_03	identity	0.029937	0.000000	2993737.533689	nan	nan
03_to_04	pair	0.379585	0.481606	0.788166	0.6766652878844671	0.40261720731525547
03_to_05	pair	0.830165	1.036899	0.800623	0.6221086506125352	0.351553884340563
03_to_06	pair	0.998656	1.270660	0.785935	0.5944405833985871	0.3862561617958867
03_to_07	pair	0.904489	1.154727	0.783292	0.5824927761292432	0.4588487062685467
03_to_08	pair	0.692382	0.835814	0.828392	0.5859176759703631	0.48371173574334836
03_to_09	pair	0.612899	0.733434	0.835656	0.5990703395459832	0.3742301954470434
03_to_10	pair	0.537379	0.702845	0.764576	0.7372859714306801	0.45506242228911786
