[crb_dec_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_dec_mse_cyclic_full128] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder | cyclic | train 128³ | seed=20260824
[crb_dec_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.594418 | val MSE: 0.526845 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 0.508528 | val MSE: 0.415955 | total time: 0 hours 1 minutes
Epoch: 3 | train MSE: 0.393326 | val MSE: 0.325345 | total time: 0 hours 2 minutes
Epoch: 4 | train MSE: 0.324306 | val MSE: 0.274423 | total time: 0 hours 3 minutes
Epoch: 5 | train MSE: 0.285855 | val MSE: 0.239572 | total time: 0 hours 4 minutes
Epoch: 6 | train MSE: 0.231280 | val MSE: 0.260525 | total time: 0 hours 5 minutes
Epoch: 7 | train MSE: 0.201081 | val MSE: 0.213144 | total time: 0 hours 6 minutes
Epoch: 8 | train MSE: 0.177465 | val MSE: 0.150981 | total time: 0 hours 7 minutes
Epoch: 9 | train MSE: 0.168423 | val MSE: 0.145507 | total time: 0 hours 8 minutes
Epoch: 10 | train MSE: 0.149899 | val MSE: 0.148069 | total time: 0 hours 9 minutes
Epoch: 11 | train MSE: 0.142222 | val MSE: 0.174997 | total time: 0 hours 10 minutes
Epoch: 12 | train MSE: 0.128029 | val MSE: 0.120228 | total time: 0 hours 11 minutes
Epoch: 13 | train MSE: 0.113855 | val MSE: 0.106626 | total time: 0 hours 12 minutes
Epoch: 14 | train MSE: 0.116461 | val MSE: 0.102566 | total time: 0 hours 13 minutes
Epoch: 15 | train MSE: 0.096695 | val MSE: 0.097247 | total time: 0 hours 14 minutes
Epoch: 16 | train MSE: 0.094013 | val MSE: 0.096085 | total time: 0 hours 14 minutes
Epoch: 17 | train MSE: 0.098069 | val MSE: 0.091528 | total time: 0 hours 15 minutes
Epoch: 18 | train MSE: 0.088812 | val MSE: 0.086962 | total time: 0 hours 16 minutes
Epoch: 19 | train MSE: 0.085614 | val MSE: 0.081066 | total time: 0 hours 17 minutes
Epoch: 20 | train MSE: 0.076791 | val MSE: 0.082840 | total time: 0 hours 18 minutes
Epoch: 21 | train MSE: 0.080824 | val MSE: 0.070147 | total time: 0 hours 19 minutes
Epoch: 22 | train MSE: 0.070756 | val MSE: 0.068931 | total time: 0 hours 20 minutes
Epoch: 23 | train MSE: 0.071876 | val MSE: 0.069212 | total time: 0 hours 21 minutes
Epoch: 24 | train MSE: 0.070095 | val MSE: 0.063999 | total time: 0 hours 22 minutes
Epoch: 25 | train MSE: 0.061979 | val MSE: 0.064732 | total time: 0 hours 23 minutes
Epoch: 26 | train MSE: 0.067407 | val MSE: 0.067256 | total time: 0 hours 24 minutes
Epoch: 27 | train MSE: 0.056347 | val MSE: 0.056682 | total time: 0 hours 25 minutes
Epoch: 28 | train MSE: 0.056805 | val MSE: 0.053382 | total time: 0 hours 26 minutes
Epoch: 29 | train MSE: 0.057239 | val MSE: 0.058789 | total time: 0 hours 27 minutes
Epoch: 30 | train MSE: 0.054917 | val MSE: 0.054143 | total time: 0 hours 28 minutes
Epoch: 31 | train MSE: 0.052114 | val MSE: 0.053432 | total time: 0 hours 29 minutes
Epoch: 32 | train MSE: 0.047264 | val MSE: 0.050356 | total time: 0 hours 30 minutes
Epoch: 33 | train MSE: 0.052098 | val MSE: 0.052781 | total time: 0 hours 31 minutes
Epoch: 34 | train MSE: 0.049105 | val MSE: 0.065407 | total time: 0 hours 32 minutes
Epoch: 35 | train MSE: 0.052099 | val MSE: 0.049375 | total time: 0 hours 33 minutes
Epoch: 36 | train MSE: 0.046855 | val MSE: 0.045242 | total time: 0 hours 34 minutes
Epoch: 37 | train MSE: 0.041249 | val MSE: 0.043919 | total time: 0 hours 35 minutes
Epoch: 38 | train MSE: 0.042105 | val MSE: 0.048099 | total time: 0 hours 36 minutes
Epoch: 39 | train MSE: 0.055942 | val MSE: 0.043851 | total time: 0 hours 37 minutes
Epoch: 40 | train MSE: 0.040164 | val MSE: 0.043720 | total time: 0 hours 38 minutes
Epoch: 41 | train MSE: 0.040723 | val MSE: 0.046654 | total time: 0 hours 39 minutes
Epoch: 42 | train MSE: 0.040917 | val MSE: 0.041882 | total time: 0 hours 40 minutes
Epoch: 43 | train MSE: 0.040306 | val MSE: 0.039169 | total time: 0 hours 41 minutes
Epoch: 44 | train MSE: 0.036926 | val MSE: 0.055371 | total time: 0 hours 42 minutes
Epoch: 45 | train MSE: 0.044735 | val MSE: 0.042638 | total time: 0 hours 43 minutes
Epoch: 46 | train MSE: 0.035708 | val MSE: 0.043682 | total time: 0 hours 44 minutes
Epoch: 47 | train MSE: 0.036764 | val MSE: 0.037301 | total time: 0 hours 44 minutes
Epoch: 48 | train MSE: 0.035234 | val MSE: 0.047156 | total time: 0 hours 45 minutes
Epoch: 49 | train MSE: 0.037031 | val MSE: 0.050433 | total time: 0 hours 46 minutes
Epoch: 50 | train MSE: 0.037189 | val MSE: 0.036938 | total time: 0 hours 47 minutes
Epoch: 51 | train MSE: 0.034276 | val MSE: 0.037095 | total time: 0 hours 48 minutes
Epoch: 52 | train MSE: 0.037324 | val MSE: 0.044489 | total time: 0 hours 49 minutes
Epoch: 53 | train MSE: 0.034433 | val MSE: 0.048742 | total time: 0 hours 50 minutes
Epoch: 54 | train MSE: 0.034080 | val MSE: 0.038538 | total time: 0 hours 51 minutes
Epoch: 55 | train MSE: 0.032530 | val MSE: 0.040168 | total time: 0 hours 52 minutes
Epoch: 56 | train MSE: 0.031819 | val MSE: 0.035318 | total time: 0 hours 53 minutes
Epoch: 57 | train MSE: 0.035689 | val MSE: 0.035527 | total time: 0 hours 54 minutes
Epoch: 58 | train MSE: 0.030836 | val MSE: 0.037695 | total time: 0 hours 55 minutes
Epoch: 59 | train MSE: 0.033265 | val MSE: 0.034403 | total time: 0 hours 56 minutes
Epoch: 60 | train MSE: 0.033516 | val MSE: 0.062521 | total time: 0 hours 57 minutes
Epoch: 61 | train MSE: 0.033242 | val MSE: 0.045404 | total time: 0 hours 58 minutes
Epoch: 62 | train MSE: 0.029578 | val MSE: 0.031491 | total time: 0 hours 59 minutes
Epoch: 63 | train MSE: 0.031658 | val MSE: 0.033808 | total time: 1 hours 0 minutes
Epoch: 64 | train MSE: 0.028896 | val MSE: 0.031387 | total time: 1 hours 1 minutes
Epoch: 65 | train MSE: 0.030622 | val MSE: 0.052916 | total time: 1 hours 2 minutes
Epoch: 66 | train MSE: 0.030463 | val MSE: 0.031455 | total time: 1 hours 3 minutes
Epoch: 67 | train MSE: 0.028453 | val MSE: 0.039579 | total time: 1 hours 4 minutes
Epoch: 68 | train MSE: 0.032106 | val MSE: 0.033710 | total time: 1 hours 5 minutes
Epoch: 69 | train MSE: 0.027174 | val MSE: 0.035502 | total time: 1 hours 6 minutes
Epoch: 70 | train MSE: 0.030458 | val MSE: 0.036245 | total time: 1 hours 7 minutes
Epoch: 71 | train MSE: 0.028565 | val MSE: 0.030239 | total time: 1 hours 8 minutes
Epoch: 72 | train MSE: 0.029357 | val MSE: 0.034656 | total time: 1 hours 9 minutes
Epoch: 73 | train MSE: 0.029574 | val MSE: 0.028407 | total time: 1 hours 10 minutes
Epoch: 74 | train MSE: 0.026812 | val MSE: 0.039049 | total time: 1 hours 11 minutes
Epoch: 75 | train MSE: 0.029233 | val MSE: 0.028312 | total time: 1 hours 12 minutes
