pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.015824	0.000000	1582436.636090	nan	nan
01_to_02	pair	0.449258	0.447823	1.003204	0.2693532046932593	0.351486167914232
01_to_03	pair	0.783112	0.829436	0.944150	0.4289450009977774	0.3804903083980931
01_to_04	pair	0.998439	1.134359	0.880179	0.5395414568156236	0.4890777695365603
01_to_05	pair	1.181557	1.376533	0.858357	0.5836632249767242	0.5173234123440411
01_to_06	pair	1.332094	1.480060	0.900027	0.5207430281983982	0.5959896008932871
01_to_07	pair	0.980327	1.025722	0.955744	0.44188082923095656	0.6793602266862502
01_to_08	pair	0.725824	0.578338	1.255018	0.16735232188900803	0.8776249081589157
01_to_09	pair	0.562504	0.449939	1.250179	-0.07211504527458917	0.5653890206980553
01_to_10	pair	0.331439	0.327701	1.011407	0.22933251073399272	0.1942515022454387
02_to_01	pair	0.415734	0.431501	0.963459	0.3678143892779823	0.3791870934825558
02_to_02	identity	0.030523	0.000000	3052267.618477	nan	nan
02_to_03	pair	0.335852	0.339877	0.988160	0.31532637518731393	0.6840435788913195
02_to_04	pair	0.620352	0.666204	0.931174	0.4720721562530906	0.6720898635237752
02_to_05	pair	0.851981	0.961574	0.886028	0.538977433541458	0.6286624497208138
02_to_06	pair	0.966307	1.120894	0.862086	0.545791646871418	0.5984693832371266
02_to_07	pair	0.871690	0.893062	0.976069	0.33378773358779446	0.5046665087985931
02_to_08	pair	0.871749	0.817818	1.065945	0.061151359408397915	0.334095891570377
02_to_09	pair	0.941341	0.964438	0.976051	0.3295463482454287	0.1533322878828918
02_to_10	pair	0.803737	0.864478	0.929738	0.45253357961759155	0.2446639556203223
03_to_01	pair	0.689905	0.767947	0.898376	0.5377162619135833	0.5455356276016948
03_to_02	pair	0.337167	0.335414	1.005227	0.35552827135326986	0.7457382752699288
03_to_03	identity	0.036517	0.000000	3651733.323932	nan	nan
03_to_04	pair	0.281929	0.278028	1.014030	0.34105344508665986	0.7841285044397083
