pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.018163	0.000000	1816346.868873	nan	nan
01_to_02	pair	0.373750	0.412737	0.905540	0.43915613760436806	0.41568252065573397
01_to_03	pair	1.062454	1.191885	0.891407	0.46825628047206935	0.36518322372186857
01_to_04	pair	1.292065	1.453186	0.889126	0.4517730151981358	0.46050722258092636
01_to_05	pair	1.371532	1.552099	0.883663	0.45019836275406816	0.5127361973030831
01_to_06	pair	1.359555	1.503139	0.904477	0.4334375633106862	0.5625419663989019
01_to_07	pair	1.191333	1.333044	0.893694	0.4720367740895333	0.5931653290573038
01_to_08	pair	0.908678	1.065695	0.852663	0.540219222294214	0.5590057232230098
01_to_09	pair	0.605739	0.724359	0.836242	0.5809541875200458	0.4758256815289306
01_to_10	pair	0.307852	0.355581	0.865771	0.5551533559670381	0.3478651297137223
02_to_01	pair	0.352174	0.404560	0.870511	0.5061498229180528	0.45024048182620324
02_to_02	identity	0.026543	0.000000	2654263.190925	nan	nan
02_to_03	pair	0.438897	0.502816	0.872878	0.5330341498754948	0.4978591574770185
02_to_04	pair	0.692752	0.795878	0.870424	0.4952949122119225	0.5558086896203628
02_to_05	pair	0.904501	1.031234	0.877106	0.46311532798554245	0.5807700185236647
02_to_06	pair	1.000312	1.098740	0.910417	0.450067332359683	0.6146739216771822
02_to_07	pair	0.909432	1.018315	0.893075	0.49429946444117917	0.6564734344873763
02_to_08	pair	0.743019	0.899736	0.825819	0.5540194968618746	0.5572787433209393
02_to_09	pair	0.590477	0.704035	0.838704	0.5777564719141977	0.4198449624163866
02_to_10	pair	0.423844	0.437902	0.967896	0.3019651872200979	0.3702160361013418
03_to_01	pair	1.014041	1.185975	0.855027	0.5391460464117513	0.4052728630495261
03_to_02	pair	0.412465	0.503510	0.819179	0.6132616266510885	0.533556253894406
03_to_03	identity	0.021238	0.000000	2123801.596463	nan	nan
03_to_04	pair	0.278706	0.294523	0.946297	0.3841549826038106	0.6496901610250599
03_to_05	pair	0.489691	0.527409	0.928486	0.3861532785728955	0.6629465127398256
03_to_06	pair	0.593210	0.636062	0.932629	0.43723878177060077	0.7090795020426617
03_to_07	pair	0.672571	0.707535	0.950584	0.44003613874206793	0.6182904784149552
03_to_08	pair	0.720860	0.774707	0.930493	0.4666308692312101	0.4071619704088883
03_to_09	pair	0.830412	0.877174	0.946690	0.4437630945965617	0.29698630513686236
03_to_10	pair	0.958498	1.070336	0.895512	0.46076823435631403	0.34563862027352166
04_to_01	pair	1.202446	1.412139	0.851507	0.5324088039053231	0.4812805244180464
04_to_02	pair	0.655612	0.786776	0.833290	0.569865888114315	0.5998798647639676
04_to_03	pair	0.261105	0.286574	0.911126	0.4746497559646623	0.7271511352388621
04_to_04	identity	0.017294	0.000000	1729442.737997	nan	nan
04_to_05	pair	0.233466	0.251635	0.927797	0.39214407642832455	0.6702145320672093
04_to_06	pair	0.366058	0.385818	0.948783	0.4394388827518499	0.7030787993676532
04_to_07	pair	0.502031	0.517733	0.969672	0.44070045083118553	0.5589375952613918
04_to_08	pair	0.676164	0.713430	0.947764	0.44561409063043045	0.4064721017159041
04_to_09	pair	0.856149	0.940748	0.910073	0.44475299049094674	0.4209711346451001
04_to_10	pair	1.057309	1.207316	0.875752	0.48328061814772383	0.48936132785800507
05_to_01	pair	1.256624	1.479541	0.849333	0.5402800573271699	0.5763325897176691
05_to_02	pair	0.870965	1.047866	0.831180	0.5490495042708493	0.6038391398137165
05_to_03	pair	0.461258	0.513150	0.898875	0.4892285738696077	0.7318424156495635
05_to_04	pair	0.236118	0.255745	0.923257	0.43500107793838283	0.7667721242595402
05_to_05	identity	0.016875	0.000000	1687493.920326	nan	nan
05_to_06	pair	0.177800	0.174867	1.016774	0.342160060846048	0.6308922330604333
05_to_07	pair	0.361772	0.366271	0.987718	0.3778179857394179	0.5019255566841122
05_to_08	pair	0.601728	0.639597	0.940792	0.4164464547968296	0.5515752743805131
05_to_09	pair	0.850478	0.926330	0.918116	0.42652445086797314	0.6014736663090363
05_to_10	pair	1.080683	1.222690	0.883857	0.49590996133748244	0.6437299345131272
