pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.008989	0.000000	898949.988186	nan	nan
01_to_02	pair	0.217633	0.225848	0.963629	0.47634825806278214	0.7988272059625368
01_to_03	pair	0.523942	0.514921	1.017518	0.45317864501246197	0.8853977776931014
01_to_04	pair	0.824006	0.714543	1.153193	0.47013594335189623	1.0628459164304591
01_to_05	pair	0.926530	0.754408	1.228156	0.4999540772152409	1.2039050714224366
01_to_06	pair	1.010031	0.742779	1.359799	0.5554755005213909	1.5221525285044242
01_to_07	pair	0.958330	0.632931	1.514116	0.25579065669173057	1.3728042704194312
01_to_08	pair	0.712866	0.524817	1.358314	0.21949069871875207	1.1415775269529096
01_to_09	pair	0.517315	0.349547	1.479957	-0.1222528034563316	0.8660007926372277
01_to_10	pair	0.180131	0.160100	1.125118	-0.040323635782274436	0.3906745817186157
02_to_01	pair	0.234020	0.228828	1.022687	0.46046591269516496	0.8652377844011298
02_to_02	identity	0.017565	0.000000	1756516.098976	nan	nan
02_to_03	pair	0.217599	0.218714	0.994903	0.6298164453830232	1.1989849729154927
02_to_04	pair	0.503501	0.536150	0.939105	0.593467975547373	1.0425368653252032
02_to_05	pair	0.796616	0.805199	0.989340	0.5356306064758299	0.9700577481994244
02_to_06	pair	0.823824	0.688857	1.195929	0.4753358235129052	1.1955006172332667
02_to_07	pair	0.724651	0.708678	1.022538	0.431183670335253	0.8753159268351478
02_to_08	pair	0.577890	0.623101	0.927442	0.4029938904175919	0.5745194046509581
02_to_09	pair	0.571616	0.543702	1.051341	-0.04337403305875503	0.3018317657062082
02_to_10	pair	0.534088	0.501835	1.064272	0.15394016636527166	0.49375782799123497
03_to_01	pair	0.564810	0.512375	1.102337	0.4627280185464717	1.0345093594605173
03_to_02	pair	0.243839	0.214379	1.137420	0.579215017697245	1.3372339590443125
03_to_03	identity	0.016405	0.000000	1640526.950359	nan	nan
03_to_04	pair	0.207648	0.239987	0.865247	0.6109593346436618	0.9356701208810674
03_to_05	pair	0.490805	0.579169	0.847430	0.5365863595149541	0.6930761316049059
03_to_06	pair	0.690075	0.758821	0.909405	0.4825206539854543	0.6964698740178752
03_to_07	pair	0.619191	0.640985	0.965999	0.35990645002234195	0.5231682494008559
03_to_08	pair	0.694825	0.687064	1.011296	0.09989850058414461	0.26690216547654994
03_to_09	pair	0.745058	0.685678	1.086601	0.1324495633901663	0.5032900412386028
03_to_10	pair	0.725242	0.540113	1.342759	0.17533450759505845	0.9937760585385088
04_to_01	pair	0.906861	0.780638	1.161693	0.44961851544742665	1.005615005677225
04_to_02	pair	0.558822	0.532704	1.049030	0.5690995887963778	1.2002927840969244
04_to_03	pair	0.220992	0.237405	0.930864	0.5581038994744211	0.9340337995761135
04_to_04	identity	0.011426	0.000000	1142555.661500	nan	nan
04_to_05	pair	0.189694	0.221504	0.856392	0.5681425913266205	0.7813583259951693
04_to_06	pair	0.422632	0.469833	0.899538	0.47442005831388023	0.6271703706267189
04_to_07	pair	0.689794	0.704433	0.979219	0.2568755373727408	0.2291215830614358
04_to_08	pair	0.817905	0.747827	1.093709	0.10090675679357516	0.42585830869379354
04_to_09	pair	0.944021	0.735433	1.283627	0.09910793352864407	0.8075567828986568
04_to_10	pair	0.919574	0.672584	1.367226	0.3525496545436912	1.1647471247019174
05_to_01	pair	1.035476	0.749508	1.381541	0.4593643029610179	1.3384348482994266
05_to_02	pair	0.855596	0.826431	1.035291	0.5225946795553578	1.056492445140417
05_to_03	pair	0.525513	0.588200	0.893427	0.5048055324514434	0.7466177818360014
05_to_04	pair	0.200854	0.225704	0.889900	0.5574338608688715	0.8580522970328491
05_to_05	identity	0.011225	0.000000	1122503.820807	nan	nan
05_to_06	pair	0.208228	0.218412	0.953372	0.3219604017351885	0.5239790903516851
05_to_07	pair	0.463172	0.474068	0.977016	0.2604546043409133	0.3113615392962567
05_to_08	pair	0.851014	0.664968	1.279782	0.031904901598658164	0.7338326405014045
05_to_09	pair	1.195505	0.808245	1.479138	0.021030112851914196	1.036126992054152
05_to_10	pair	1.211060	0.761150	1.591094	0.18630863150305935	1.3560954128337526
06_to_01	pair	1.050659	0.769175	1.365957	0.5263869264541294	1.501101466522567
06_to_02	pair	0.881395	0.695616	1.267072	0.45813969674862015	1.2803054387437123
06_to_03	pair	0.726359	0.751114	0.967042	0.40995139159505073	0.7150349211002268
06_to_04	pair	0.452781	0.481160	0.941019	0.43835947305152617	0.688950889158803
06_to_05	pair	0.207797	0.215365	0.964858	0.28710886303475985	0.5157587073958885
06_to_06	identity	0.009262	0.000000	926189.124584	nan	nan
06_to_07	pair	0.275551	0.226231	1.218008	0.1228919672587	0.7190673061924912
06_to_08	pair	0.695775	0.412106	1.688340	0.05874788446173501	1.4313932886733185
06_to_09	pair	1.065568	0.615277	1.731851	0.08505479272626017	1.4632044690681367
06_to_10	pair	1.259237	0.721094	1.746288	0.22313244891058495	1.6072641654391917
07_to_01	pair	1.020789	0.630572	1.618831	0.24246492350491386	1.507502041693144
07_to_02	pair	0.776306	0.723112	1.073562	0.38722708878963147	0.8842258049067975
07_to_03	pair	0.664077	0.658017	1.009208	0.3224014943903713	0.5363091419877222
07_to_04	pair	0.705804	0.734826	0.960504	0.32908275335150267	0.2900930744951091
07_to_05	pair	0.470510	0.482989	0.974162	0.2692170268251594	0.33448076835508805
07_to_06	pair	0.265543	0.230530	1.151880	0.00012881695515133798	0.5400926065585809
07_to_07	identity	0.010204	0.000000	1020431.984216	nan	nan
07_to_08	pair	0.332186	0.144556	2.297971	0.09006802197052169	2.170510140053529
07_to_09	pair	0.770084	0.343491	2.241936	0.08088437104960479	2.115873436704157
07_to_10	pair	1.051506	0.535624	1.963143	0.18004545414359727	1.8221226200975065
08_to_01	pair	0.759037	0.521193	1.456345	0.23234608675468868	1.3294836869134594
08_to_02	pair	0.622176	0.641400	0.970027	0.37142579039640256	0.6397914151305366
08_to_03	pair	0.701133	0.700676	1.000651	0.20654787341526026	0.29778615032555733
08_to_04	pair	0.793112	0.756997	1.047708	0.17820561829722886	0.39088614543417316
08_to_05	pair	0.773891	0.682894	1.133252	0.12893922355177936	0.6032151289742421
08_to_06	pair	0.653033	0.416272	1.568763	0.09931270687010171	1.339271834695798
08_to_07	pair	0.290957	0.149132	1.951012	0.11188943077670015	1.8443479690988853
08_to_08	identity	0.011016	0.000000	1101603.172719	nan	nan
08_to_09	pair	0.386470	0.154145	2.507182	0.14241493115137407	2.4117130088219043
08_to_10	pair	0.807536	0.351820	2.295308	0.021841531608646998	2.008022773841705
09_to_01	pair	0.559518	0.353080	1.584676	-0.05145171614939944	1.0873018041683058
09_to_02	pair	0.613401	0.554153	1.106916	-0.06985621911910411	0.38362853530065
09_to_03	pair	0.769567	0.715591	1.075428	0.15362148954160323	0.5157946319397702
09_to_04	pair	0.885004	0.733661	1.206284	0.12314133349167132	0.7327361033737239
09_to_05	pair	1.070859	0.838656	1.276874	0.09613548068131739	0.8491991474231794
09_to_06	pair	1.004115	0.650461	1.543698	0.17780122628716077	1.3441600105654563
09_to_07	pair	0.727772	0.351880	2.068238	0.08090820156394656	1.9710878681024298
09_to_08	pair	0.359878	0.148054	2.430722	0.15752602256816356	2.2875498456168715
09_to_09	identity	0.011903	0.000000	1190326.828510	nan	nan
09_to_10	pair	0.345882	0.152557	2.267228	0.03044990975191636	2.009104778082698
10_to_01	pair	0.225535	0.176419	1.278404	-0.13525946768674574	0.5785703959682524
10_to_02	pair	0.532220	0.493838	1.077720	0.15335427113878553	0.5340510427428761
10_to_03	pair	0.757672	0.614344	1.233301	0.2260527193232993	0.8358442632444848
10_to_04	pair	0.869384	0.683172	1.272569	0.3555217367790943	1.0507550585392307
10_to_05	pair	1.136207	0.785427	1.446611	0.18350102134152482	1.1843362007779143
10_to_06	pair	1.296416	0.774381	1.674131	0.16616459712319548	1.4610575748365229
10_to_07	pair	0.972161	0.550172	1.767014	0.19987928956557807	1.6184468195548851
10_to_08	pair	0.761694	0.353878	2.152419	0.02103966512076309	1.7645681137818576
10_to_09	pair	0.368169	0.154683	2.380160	0.009037025682036959	1.9999774525537972
10_to_10	identity	0.010080	0.000000	1007957.756519	nan	nan
