pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.017586	0.000000	1758568.547666	nan	nan
01_to_02	pair	0.273537	0.283223	0.965800	0.34539133474227773	0.452962400362185
01_to_03	pair	0.535438	0.660861	0.810213	0.6447875899006543	0.4290747088887419
01_to_04	pair	0.813393	1.085606	0.749252	0.7680884756753402	0.43012996170025625
01_to_05	pair	1.220436	1.570012	0.777342	0.7333685567026568	0.3853646393456188
01_to_06	pair	1.302667	1.730101	0.752943	0.7103786713458571	0.4160036995102903
01_to_07	pair	1.060265	1.504791	0.704593	0.7135718483960708	0.5039345585638384
01_to_08	pair	0.837408	1.185815	0.706188	0.6929737221836606	0.5376944751076895
01_to_09	pair	0.507484	0.712774	0.711985	0.6843575850109775	0.5712100385512173
01_to_10	pair	0.224262	0.287970	0.778769	0.6049386685535857	0.5039426404321294
02_to_01	pair	0.278806	0.285222	0.977506	0.33246079859995437	0.40004187083711834
02_to_02	identity	0.023442	0.000000	2344245.091081	nan	nan
02_to_03	pair	0.322192	0.414510	0.777284	0.7047314870762957	0.4261697557196208
02_to_04	pair	0.721584	0.938574	0.768809	0.7306603548645935	0.3730626036078764
02_to_05	pair	1.126353	1.432481	0.786295	0.6863932094549366	0.3600401690304319
02_to_06	pair	1.273364	1.646454	0.773398	0.6684813372851579	0.38685039700924195
02_to_07	pair	1.096771	1.485985	0.738077	0.6562182545917323	0.4599598334646159
02_to_08	pair	0.905358	1.176280	0.769679	0.6096639545220878	0.477857456239021
02_to_09	pair	0.671374	0.798624	0.840664	0.5471087691301776	0.3926879178895608
02_to_10	pair	0.453429	0.479502	0.945625	0.36218180883974344	0.2546813099838402
03_to_01	pair	0.510720	0.669161	0.763224	0.6983971207964478	0.46670336660269424
03_to_02	pair	0.316001	0.410394	0.769994	0.7221291281286806	0.43185099863374793
03_to_03	identity	0.020090	0.000000	2008991.688490	nan	nan
03_to_04	pair	0.386842	0.481606	0.803233	0.6610986581285094	0.3313538891616206
03_to_05	pair	0.836531	1.036899	0.806763	0.6207209843426928	0.3232642430058097
03_to_06	pair	0.991895	1.270660	0.780614	0.6071867178518171	0.38018564264337945
03_to_07	pair	0.909919	1.154727	0.787994	0.5676641433045174	0.46129156637765323
03_to_08	pair	0.745296	0.835814	0.891701	0.5074122945124978	0.4784819693695389
03_to_09	pair	0.690347	0.733434	0.941252	0.3471298362538943	0.29811752872362535
03_to_10	pair	0.617658	0.702845	0.878797	0.5041437918213434	0.411486205946903
04_to_01	pair	0.835226	1.132895	0.737249	0.7207510349819132	0.4466128489409204
04_to_02	pair	0.678304	0.931834	0.727924	0.7228872498873515	0.4055204807923015
04_to_03	pair	0.351611	0.458508	0.766859	0.7129487017884228	0.3500164895749534
04_to_04	identity	0.013307	0.000000	1330742.239952	nan	nan
04_to_05	pair	0.324405	0.404221	0.802543	0.6119559511168743	0.3683828347249613
04_to_06	pair	0.501983	0.660158	0.760398	0.5863272974523094	0.4808482383098514
04_to_07	pair	0.578059	0.656082	0.881077	0.47008604068173543	0.6015132745873233
04_to_08	pair	0.626866	0.655621	0.956141	0.2890478368733507	0.3787774926164832
04_to_09	pair	0.644376	0.747903	0.861577	0.5562219852334107	0.409638522751592
04_to_10	pair	0.678227	0.953011	0.711668	0.7329868185391045	0.4626806143730537
05_to_01	pair	1.125840	1.549154	0.726745	0.7275213226034808	0.44571326610488904
05_to_02	pair	0.977412	1.354189	0.721769	0.7120922291786445	0.4161772618931839
05_to_03	pair	0.713075	0.949399	0.751080	0.6977726152650037	0.38978640380743207
05_to_04	pair	0.292238	0.382005	0.765011	0.6662986955502272	0.41304735939313125
05_to_05	identity	0.015255	0.000000	1525478.158146	nan	nan
05_to_06	pair	0.205955	0.234844	0.876985	0.4379897761696252	0.6191264211004953
05_to_07	pair	0.411974	0.401220	1.026803	-0.01984881495278631	0.5249967269421089
05_to_08	pair	0.615422	0.669015	0.919893	0.4459818243684372	0.33633228364725537
05_to_09	pair	0.758585	1.001919	0.757132	0.7337187506947748	0.4250610398172041
05_to_10	pair	0.945648	1.340010	0.705702	0.742146900124659	0.4702934368812955
06_to_01	pair	1.156293	1.661819	0.695800	0.7081594605297443	0.4833372735211931
06_to_02	pair	1.134467	1.592330	0.712457	0.6903825194429586	0.44359233396647674
06_to_03	pair	0.862218	1.163931	0.740781	0.6510834308852348	0.43165773755020564
06_to_04	pair	0.457099	0.610439	0.748804	0.5834933664496602	0.5264457870496513
06_to_05	pair	0.235216	0.263603	0.892311	0.39590330414820557	0.5666172189563734
06_to_06	identity	0.013651	0.000000	1365114.375949	nan	nan
06_to_07	pair	0.324668	0.335674	0.967214	0.24226432510331314	0.24596856809544165
06_to_08	pair	0.537896	0.658733	0.816561	0.6945500889369612	0.3935023861195985
06_to_09	pair	0.745127	1.054614	0.706540	0.7462821397244505	0.48648623124726836
06_to_10	pair	0.977081	1.423199	0.686539	0.7219900471007927	0.5057152718430163
07_to_01	pair	1.003138	1.471031	0.681929	0.6886488903902985	0.529459080505169
07_to_02	pair	1.048970	1.472531	0.712358	0.639533094997795	0.47349676022363296
07_to_03	pair	0.842389	1.058171	0.796080	0.5505139262382625	0.4973370257440654
07_to_04	pair	0.560143	0.605979	0.924362	0.40118284712021496	0.6280292324489868
07_to_05	pair	0.427726	0.402618	1.062362	-0.1253368304839111	0.5325963072518358
07_to_06	pair	0.341429	0.335235	1.018477	0.023996576043633328	0.24915033828222186
07_to_07	identity	0.012648	0.000000	1264754.496515	nan	nan
07_to_08	pair	0.285555	0.398180	0.717150	0.7253918486769584	0.5411299157582588
07_to_09	pair	0.513134	0.785096	0.653593	0.7738691078107282	0.6118627428765657
07_to_10	pair	0.783061	1.198006	0.653637	0.7110973230884738	0.5640247125563574
08_to_01	pair	0.847136	1.192448	0.710418	0.6371934014657682	0.5127442520837189
08_to_02	pair	0.853800	1.110239	0.769024	0.5861510384794592	0.49580863480021076
08_to_03	pair	0.719092	0.788081	0.912460	0.449807736193114	0.5312934919121937
08_to_04	pair	0.680491	0.642230	1.059576	0.05986216680955912	0.42570972511253663
08_to_05	pair	0.719976	0.722969	0.995860	0.15907209730302585	0.2943434459638117
08_to_06	pair	0.628559	0.688319	0.913180	0.46917164360429875	0.3081543428438529
08_to_07	pair	0.332775	0.417017	0.797990	0.6464111222975076	0.4087981894252618
08_to_08	identity	0.020222	0.000000	2022222.802043	nan	nan
08_to_09	pair	0.270087	0.402565	0.670917	0.7215621279871206	0.717884215610899
08_to_10	pair	0.522293	0.799486	0.653286	0.7410631681836671	0.6720440524059376
09_to_01	pair	0.501295	0.677096	0.740360	0.6501687038393671	0.5717195427688033
09_to_02	pair	0.622734	0.731203	0.851657	0.5082543247796477	0.43696546276135584
09_to_03	pair	0.707426	0.686238	1.030877	0.14756106918010092	0.34961113168171676
09_to_04	pair	0.738422	0.788414	0.936592	0.36003030479046727	0.34192474143956
09_to_05	pair	0.895366	1.056523	0.847464	0.5714854842529337	0.35110437777129944
09_to_06	pair	0.883444	1.104938	0.799542	0.6602781202644585	0.3881682106448898
09_to_07	pair	0.558562	0.809980	0.689600	0.7157573219281596	0.5290291764638183
09_to_08	pair	0.273476	0.403301	0.678094	0.7198616546218334	0.6413460776747729
09_to_09	identity	0.021302	0.000000	2130200.341344	nan	nan
09_to_10	pair	0.244051	0.361869	0.674418	0.7241005549469571	0.7402878415010413
10_to_01	pair	0.245919	0.299080	0.822253	0.5870082886398248	0.37108518978277166
10_to_02	pair	0.453103	0.448751	1.009697	0.13234822761851778	0.28849129423715586
10_to_03	pair	0.597472	0.659270	0.906263	0.46907575713579586	0.39445976846409175
10_to_04	pair	0.737366	0.948108	0.777724	0.7212481342273556	0.42993213359487736
10_to_05	pair	1.051950	1.359487	0.773785	0.7298224300618845	0.4034260687589421
10_to_06	pair	1.111135	1.476613	0.752489	0.730480709065669	0.4312658257867071
10_to_07	pair	0.817605	1.214349	0.673287	0.7518487082707636	0.5447633068876221
10_to_08	pair	0.550791	0.817440	0.673800	0.7264445863450695	0.6336669386686259
10_to_09	pair	0.254261	0.377895	0.672835	0.7303880475853936	0.7417647136749959
10_to_10	identity	0.021082	0.000000	2108249.440789	nan	nan
