[crb_enc_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_enc_mse_cyclic_full128] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder | cyclic | train 128³ | seed=20260824
[crb_enc_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.618849 | val MSE: 0.544652 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 0.565133 | val MSE: 0.526905 | total time: 0 hours 1 minutes
Epoch: 3 | train MSE: 0.550819 | val MSE: 0.532438 | total time: 0 hours 2 minutes
Epoch: 4 | train MSE: 0.516143 | val MSE: 0.412215 | total time: 0 hours 3 minutes
Epoch: 5 | train MSE: 0.445460 | val MSE: 0.377853 | total time: 0 hours 4 minutes
Epoch: 6 | train MSE: 0.371719 | val MSE: 0.314489 | total time: 0 hours 5 minutes
Epoch: 7 | train MSE: 0.323762 | val MSE: 0.305360 | total time: 0 hours 6 minutes
Epoch: 8 | train MSE: 0.293810 | val MSE: 0.241192 | total time: 0 hours 7 minutes
Epoch: 9 | train MSE: 0.259783 | val MSE: 0.251094 | total time: 0 hours 8 minutes
Epoch: 10 | train MSE: 0.239722 | val MSE: 0.215955 | total time: 0 hours 8 minutes
Epoch: 11 | train MSE: 0.222817 | val MSE: 0.193053 | total time: 0 hours 9 minutes
Epoch: 12 | train MSE: 0.203611 | val MSE: 0.237672 | total time: 0 hours 10 minutes
Epoch: 13 | train MSE: 0.187072 | val MSE: 0.186744 | total time: 0 hours 11 minutes
Epoch: 14 | train MSE: 0.173168 | val MSE: 0.149505 | total time: 0 hours 12 minutes
Epoch: 15 | train MSE: 0.169032 | val MSE: 0.173349 | total time: 0 hours 13 minutes
Epoch: 16 | train MSE: 0.154951 | val MSE: 0.186423 | total time: 0 hours 14 minutes
Epoch: 17 | train MSE: 0.151954 | val MSE: 0.171201 | total time: 0 hours 15 minutes
Epoch: 18 | train MSE: 0.146856 | val MSE: 0.147129 | total time: 0 hours 16 minutes
Epoch: 19 | train MSE: 0.135874 | val MSE: 0.127836 | total time: 0 hours 17 minutes
Epoch: 20 | train MSE: 0.125150 | val MSE: 0.128291 | total time: 0 hours 18 minutes
Epoch: 21 | train MSE: 0.126470 | val MSE: 0.108465 | total time: 0 hours 18 minutes
Epoch: 22 | train MSE: 0.117902 | val MSE: 0.108066 | total time: 0 hours 19 minutes
Epoch: 23 | train MSE: 0.123548 | val MSE: 0.120461 | total time: 0 hours 20 minutes
Epoch: 24 | train MSE: 0.109844 | val MSE: 0.097094 | total time: 0 hours 21 minutes
Epoch: 25 | train MSE: 0.102301 | val MSE: 0.125531 | total time: 0 hours 22 minutes
Epoch: 26 | train MSE: 0.113469 | val MSE: 0.106462 | total time: 0 hours 23 minutes
Epoch: 27 | train MSE: 0.092195 | val MSE: 0.093767 | total time: 0 hours 24 minutes
Epoch: 28 | train MSE: 0.092729 | val MSE: 0.084499 | total time: 0 hours 25 minutes
Epoch: 29 | train MSE: 0.091217 | val MSE: 0.086018 | total time: 0 hours 26 minutes
Epoch: 30 | train MSE: 0.090100 | val MSE: 0.091368 | total time: 0 hours 27 minutes
Epoch: 31 | train MSE: 0.089873 | val MSE: 0.077656 | total time: 0 hours 28 minutes
Epoch: 32 | train MSE: 0.082449 | val MSE: 0.078001 | total time: 0 hours 29 minutes
Epoch: 33 | train MSE: 0.084122 | val MSE: 0.097653 | total time: 0 hours 29 minutes
