experiment	arch	norm	vendor	scan	cos	L1_over_zero	beat
E6_Cyclic	encoder	minmax	varian	CV_P1_V_01	0.2669	1.3081	25.6
E6_Cyclic	encoder	minmax	varian	CV_P2_V_01	0.5296	0.9432	82.2
E6_Cyclic	encoder	minmax	varian	CV_P3_V_01	0.5055	0.9539	70.0
E6_Cyclic	encoder	minmax	varian	CV_P4_V_01	0.6325	0.7852	93.3
E6_Cyclic	encoder	minmax	varian	CV_P5_V_01	0.5632	0.8221	91.1
E6_Cyclic	encoder	minmax	elekta	CE_P1_V_01	0.4443	0.9240	75.6
E6_Cyclic	encoder	minmax	elekta	CE_P2_V_01	0.3146	1.0023	58.9
E6_Cyclic	encoder	minmax	elekta	CE_P3_V_01	0.0417	0.9955	60.0
E6_Cyclic	encoder	minmax	elekta	CE_P4_V_01	0.3651	0.9829	72.2
E6_Cyclic	encoder	minmax	elekta	CE_P5_V_01	0.4637	0.9137	81.1
E6_Cyclic	encoder	mu	varian	CV_P1_V_01	0.3731	1.0715	52.2
E6_Cyclic	encoder	mu	varian	CV_P2_V_01	0.5341	0.9529	80.0
E6_Cyclic	encoder	mu	varian	CV_P3_V_01	0.6459	0.8404	86.7
E6_Cyclic	encoder	mu	varian	CV_P4_V_01	0.6451	0.7713	93.3
E6_Cyclic	encoder	mu	varian	CV_P5_V_01	0.5768	0.8022	93.3
E6_Cyclic	encoder	mu	elekta	CE_P1_V_01	0.4641	0.9185	88.9
E6_Cyclic	encoder	mu	elekta	CE_P2_V_01	0.4078	0.9454	72.2
E6_Cyclic	encoder	mu	elekta	CE_P3_V_01	0.1861	0.9703	74.4
E6_Cyclic	encoder	mu	elekta	CE_P4_V_01	0.4168	1.0129	70.0
E6_Cyclic	encoder	mu	elekta	CE_P5_V_01	0.4710	0.9047	80.0
E6_Cyclic	decoder	minmax	varian	CV_P1_V_01	0.2355	1.1978	22.2
E6_Cyclic	decoder	minmax	varian	CV_P2_V_01	0.5086	0.9387	82.2
E6_Cyclic	decoder	minmax	varian	CV_P3_V_01	0.5527	0.9364	70.0
E6_Cyclic	decoder	minmax	varian	CV_P4_V_01	0.6392	0.7774	95.6
E6_Cyclic	decoder	minmax	varian	CV_P5_V_01	0.5338	0.8758	93.3
E6_Cyclic	decoder	minmax	elekta	CE_P1_V_01	0.4515	0.9287	85.6
E6_Cyclic	decoder	minmax	elekta	CE_P2_V_01	0.3070	0.9733	70.0
E6_Cyclic	decoder	minmax	elekta	CE_P3_V_01	0.3701	0.9683	91.1
E6_Cyclic	decoder	minmax	elekta	CE_P4_V_01	0.4321	0.9323	83.3
E6_Cyclic	decoder	minmax	elekta	CE_P5_V_01	0.3669	0.9539	78.9
E6_Cyclic	decoder	mu	varian	CV_P1_V_01	0.3801	1.0911	45.6
E6_Cyclic	decoder	mu	varian	CV_P2_V_01	0.4891	0.9589	84.4
E6_Cyclic	decoder	mu	varian	CV_P3_V_01	0.6410	0.8282	87.8
E6_Cyclic	decoder	mu	varian	CV_P4_V_01	0.6341	0.7765	91.1
E6_Cyclic	decoder	mu	varian	CV_P5_V_01	0.6370	0.7835	100.0
E6_Cyclic	decoder	mu	elekta	CE_P1_V_01	0.5231	0.8590	98.9
E6_Cyclic	decoder	mu	elekta	CE_P2_V_01	0.3268	0.9846	65.6
E6_Cyclic	decoder	mu	elekta	CE_P3_V_01	0.4447	0.9154	83.3
E6_Cyclic	decoder	mu	elekta	CE_P4_V_01	0.4510	0.9541	72.2
E6_Cyclic	decoder	mu	elekta	CE_P5_V_01	0.5529	0.8434	84.4
E6_Cyclic	both	minmax	varian	CV_P1_V_01	0.3485	1.1707	23.3
E6_Cyclic	both	minmax	varian	CV_P2_V_01	0.5575	0.9048	95.6
E6_Cyclic	both	minmax	varian	CV_P3_V_01	0.5573	0.9156	73.3
E6_Cyclic	both	minmax	varian	CV_P4_V_01	0.6509	0.7770	87.8
E6_Cyclic	both	minmax	varian	CV_P5_V_01	0.5331	0.8778	81.1
E6_Cyclic	both	minmax	elekta	CE_P1_V_01	0.4407	0.9711	66.7
E6_Cyclic	both	minmax	elekta	CE_P2_V_01	0.2533	1.0280	58.9
E6_Cyclic	both	minmax	elekta	CE_P3_V_01	-0.1524	1.0339	13.3
E6_Cyclic	both	minmax	elekta	CE_P4_V_01	0.3851	0.9814	70.0
E6_Cyclic	both	minmax	elekta	CE_P5_V_01	0.4397	0.9167	86.7
E6_Cyclic	both	mu	varian	CV_P1_V_01	0.3897	1.0225	66.7
E6_Cyclic	both	mu	varian	CV_P2_V_01	0.5750	0.9036	93.3
E6_Cyclic	both	mu	varian	CV_P3_V_01	0.6546	0.8291	87.8
E6_Cyclic	both	mu	varian	CV_P4_V_01	0.6801	0.7343	95.6
E6_Cyclic	both	mu	varian	CV_P5_V_01	0.5542	0.8252	92.2
E6_Cyclic	both	mu	elekta	CE_P1_V_01	0.5576	0.8366	92.2
E6_Cyclic	both	mu	elekta	CE_P2_V_01	0.3903	0.9429	71.1
E6_Cyclic	both	mu	elekta	CE_P3_V_01	0.3234	0.9471	81.1
E6_Cyclic	both	mu	elekta	CE_P4_V_01	0.4863	0.9172	77.8
E6_Cyclic	both	mu	elekta	CE_P5_V_01	0.5108	0.8806	83.3
