pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.114775	0.000000	11477548.629045	nan	nan
01_to_02	pair	1.710840	1.594562	1.072922	-0.2806253731250763	0.1436907947063446
01_to_03	pair	2.868801	2.730861	1.050512	-0.10812126845121384	0.1693570911884308
01_to_04	pair	3.388642	3.323613	1.019566	0.03314109146595001	0.21763956546783447
01_to_05	pair	3.887093	3.882416	1.001205	0.0738452821969986	0.21588708460330963
01_to_06	pair	3.749421	3.754527	0.998640	0.07439284771680832	0.22452932596206665
01_to_07	pair	2.384044	2.357382	1.011310	-0.024108009412884712	0.27483516931533813
01_to_08	pair	0.940544	0.871184	1.079616	-0.07710500061511993	0.49304142594337463
01_to_09	pair	1.047494	1.009387	1.037753	0.0017792335711419582	0.23605744540691376
01_to_10	pair	1.298972	1.274900	1.018882	0.030310479924082756	0.1023881733417511
02_to_01	pair	1.579060	1.518324	1.040002	-0.27944234013557434	0.09134937077760696
02_to_02	identity	0.099306	0.000000	9930584.579706	nan	nan
02_to_03	pair	0.790354	0.701696	1.126348	-0.2789275646209717	0.2937997281551361
02_to_04	pair	1.353008	1.224711	1.104758	-0.10240238904953003	0.35067301988601685
02_to_05	pair	1.726424	1.650748	1.045844	-0.02823163941502571	0.3461451232433319
02_to_06	pair	1.683337	1.625805	1.035387	-0.04037553444504738	0.3565880358219147
02_to_07	pair	1.089653	1.001369	1.088162	-0.03965700417757034	0.4981154203414917
02_to_08	pair	1.532177	1.601063	0.956975	0.28783097863197327	0.26480165123939514
02_to_09	pair	2.801040	2.837885	0.987017	0.21741348505020142	0.09990397095680237
02_to_10	pair	3.396796	3.383872	1.003819	0.1627611368894577	0.0815749391913414
03_to_01	pair	2.611370	2.501572	1.043891	-0.11504284292459488	0.15672773122787476
03_to_02	pair	0.713801	0.695702	1.026015	-0.22963467240333557	0.18750114738941193
03_to_03	identity	0.082329	0.000000	8232907.950878	nan	nan
03_to_04	pair	0.490605	0.434311	1.129617	-0.15918058156967163	0.5191696882247925
03_to_05	pair	0.842379	0.779038	1.081307	-0.03614731505513191	0.5081902742385864
03_to_06	pair	1.006937	0.956586	1.052636	-0.03507736325263977	0.4554145634174347
03_to_07	pair	0.944956	1.007356	0.938056	0.30409660935401917	0.4392288625240326
03_to_08	pair	2.101037	2.214681	0.948686	0.3866964876651764	0.17077110707759857
03_to_09	pair	4.108320	4.131968	0.994277	0.14963525533676147	0.09812524914741516
03_to_10	pair	4.581587	4.562197	1.004250	0.08311765640974045	0.10413085669279099
04_to_01	pair	3.277454	3.125791	1.048520	-0.06801781058311462	0.20159021019935608
04_to_02	pair	1.245075	1.182267	1.053125	-0.14888103306293488	0.29497596621513367
04_to_03	pair	0.439593	0.423822	1.037210	-0.042295414954423904	0.43118858337402344
04_to_04	identity	0.082111	0.000000	8211144.059896	nan	nan
04_to_05	pair	0.357634	0.321109	1.113747	-0.02359653078019619	0.5817132592201233
04_to_06	pair	0.527497	0.482454	1.093363	0.10868998616933823	0.6221045255661011
04_to_07	pair	1.001680	1.048921	0.954962	0.3131304979324341	0.30720213055610657
04_to_08	pair	2.580598	2.659656	0.970275	0.2844131886959076	0.1555023193359375
04_to_09	pair	4.646780	4.671356	0.994739	0.11801499128341675	0.12244414538145065
04_to_10	pair	5.748796	5.682392	1.011686	0.011776462197303772	0.12371737509965897
05_to_01	pair	3.660585	3.535269	1.035447	-0.06447485089302063	0.21197515726089478
05_to_02	pair	1.607989	1.510562	1.064497	-0.10396210104227066	0.33794835209846497
05_to_03	pair	0.819156	0.748030	1.095084	-0.09132712334394455	0.5279746055603027
05_to_04	pair	0.346056	0.327112	1.057914	0.04201590269804001	0.6076493859291077
05_to_05	identity	0.083985	0.000000	8398485.183716	nan	nan
05_to_06	pair	0.256809	0.237091	1.083164	0.2469225376844406	0.7619785070419312
05_to_07	pair	1.019598	1.036900	0.983314	0.17390644550323486	0.22775423526763916
05_to_08	pair	2.946920	2.956689	0.996696	0.15289552509784698	0.16093207895755768
05_to_09	pair	5.272334	5.251676	1.003934	0.047445304691791534	0.12999238073825836
05_to_10	pair	6.146863	6.051298	1.015793	-0.006687609478831291	0.14245423674583435
06_to_01	pair	3.629814	3.501714	1.036582	-0.0973784327507019	0.2348031848669052
06_to_02	pair	1.693418	1.563347	1.083201	-0.14028741419315338	0.3859725892543793
06_to_03	pair	0.984588	0.886640	1.110471	-0.0908188670873642	0.5487052202224731
06_to_04	pair	0.571765	0.485581	1.177487	0.03857226297259331	0.7794246673583984
06_to_05	pair	0.283725	0.250213	1.133934	0.07724315673112869	0.6976168751716614
06_to_06	identity	0.113042	0.000000	11304242.163897	nan	nan
06_to_07	pair	0.940145	0.891268	1.054840	-0.05825628712773323	0.2099924087524414
06_to_08	pair	2.892068	2.833839	1.020548	0.058903638273477554	0.17714938521385193
06_to_09	pair	5.174180	5.133390	1.007946	0.014449583366513252	0.1409824639558792
06_to_10	pair	6.060697	6.025908	1.005773	-0.033495549112558365	0.14075830578804016
07_to_01	pair	2.337674	2.256194	1.036114	-0.09847742319107056	0.32654404640197754
07_to_02	pair	1.151503	0.990431	1.162628	-0.15209200978279114	0.5609167218208313
07_to_03	pair	1.051136	1.006407	1.044443	0.108859583735466	0.48889705538749695
07_to_04	pair	1.106346	1.089884	1.015104	0.17745983600616455	0.31282782554626465
07_to_05	pair	1.154065	1.152585	1.001285	0.13925552368164062	0.1679605096578598
07_to_06	pair	0.945571	0.935177	1.011114	0.05272643268108368	0.1131862998008728
07_to_07	identity	0.083615	0.000000	8361521.363258	nan	nan
07_to_08	pair	1.536391	1.503647	1.021776	0.0127578629180789	0.1551554650068283
07_to_09	pair	3.357756	3.354463	1.000981	-0.0039736609905958176	0.13287101686000824
07_to_10	pair	4.010623	4.007887	1.000683	0.019621768966317177	0.1501101404428482
08_to_01	pair	1.048123	0.883446	1.186403	-0.24972093105316162	0.5589391589164734
08_to_02	pair	1.638607	1.659131	0.987630	0.19994670152664185	0.2880348265171051
08_to_03	pair	2.309166	2.374839	0.972346	0.2836960554122925	0.16310515999794006
08_to_04	pair	2.894468	2.928840	0.988264	0.19517210125923157	0.1304006725549698
08_to_05	pair	3.238348	3.237141	1.000373	0.11672984063625336	0.13291732966899872
08_to_06	pair	3.032719	3.033099	0.999875	0.08901786804199219	0.12716495990753174
08_to_07	pair	1.555954	1.566395	0.993334	0.00975880678743124	0.11533574759960175
08_to_08	identity	0.071145	0.000000	7114508.002996	nan	nan
08_to_09	pair	1.416100	1.381264	1.025220	-0.10176131874322891	0.1438973844051361
08_to_10	pair	2.104378	2.073771	1.014759	-0.04567625746130943	0.17228735983371735
09_to_01	pair	1.065573	1.033269	1.031263	0.11754170805215836	0.3151770830154419
09_to_02	pair	3.066342	3.122897	0.981890	0.26012587547302246	0.1005881130695343
09_to_03	pair	4.344299	4.392613	0.989001	0.2505559027194977	0.09125232696533203
09_to_04	pair	5.023072	5.060722	0.992560	0.19165222346782684	0.10203761607408524
09_to_05	pair	5.348142	5.420191	0.986707	0.18254223465919495	0.11200029402971268
09_to_06	pair	5.307755	5.400347	0.982854	0.1690819412469864	0.11575015634298325
09_to_07	pair	3.554006	3.572305	0.994877	-0.032406918704509735	0.08810708671808243
09_to_08	pair	1.424740	1.417037	1.005436	-0.2707507610321045	0.07740636169910431
09_to_09	identity	0.071077	0.000000	7107713.073492	nan	nan
09_to_10	pair	0.589833	0.532751	1.107145	-0.3289554715156555	0.30813077092170715
10_to_01	pair	1.333453	1.372036	0.971879	0.26205188035964966	0.13549840450286865
10_to_02	pair	3.706986	3.741036	0.990898	0.30552738904953003	0.05376525968313217
10_to_03	pair	5.027907	5.078806	0.989978	0.18869386613368988	0.08361022919416428
10_to_04	pair	5.700208	5.810057	0.981093	0.19237250089645386	0.11638295650482178
10_to_05	pair	6.037996	6.209433	0.972391	0.2213708758354187	0.1275816261768341
10_to_06	pair	5.957455	6.124826	0.972673	0.19122056663036346	0.12094079703092575
10_to_07	pair	4.355118	4.392141	0.991571	-0.022844940423965454	0.09101206809282303
10_to_08	pair	2.227290	2.193840	1.015247	-0.2881362736225128	0.10785412043333054
10_to_09	pair	0.561981	0.529170	1.062006	-0.3582572340965271	0.19943104684352875
10_to_10	identity	0.088759	0.000000	8875890.076160	nan	nan
