pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.034602	0.000000	3460214.287043	nan	nan
01_to_02	pair	0.318655	0.412737	0.772052	0.6504786014556885	0.6403357982635498
01_to_03	pair	0.839027	1.191885	0.703950	0.7443234324455261	0.48503726720809937
01_to_04	pair	0.991455	1.453186	0.682263	0.7422851920127869	0.5319644212722778
01_to_05	pair	1.075378	1.552099	0.692854	0.7170122861862183	0.5501923561096191
01_to_06	pair	1.067243	1.503139	0.710010	0.6934143304824829	0.5835729837417603
01_to_07	pair	0.937367	1.333044	0.703178	0.6946789622306824	0.6163070797920227
01_to_08	pair	0.759909	1.065695	0.713064	0.7104344367980957	0.6490051746368408
01_to_09	pair	0.562690	0.724359	0.776812	0.6780405640602112	0.6431534290313721
01_to_10	pair	0.325097	0.355581	0.914268	0.5043675899505615	0.539655327796936
02_to_01	pair	0.316131	0.404560	0.781420	0.6553783416748047	0.7734911441802979
02_to_02	identity	0.033944	0.000000	3394430.875778	nan	nan
02_to_03	pair	0.349968	0.502816	0.696016	0.7619456648826599	0.5412435531616211
02_to_04	pair	0.538081	0.795878	0.676084	0.7315781712532043	0.6102911233901978
02_to_05	pair	0.723103	1.031234	0.701202	0.683775007724762	0.6022038459777832
02_to_06	pair	0.815496	1.098740	0.742209	0.6320041418075562	0.6043896079063416
02_to_07	pair	0.778867	1.018315	0.764858	0.6124054193496704	0.6200585961341858
02_to_08	pair	0.741933	0.899736	0.824612	0.5658116936683655	0.5903014540672302
02_to_09	pair	0.631370	0.704035	0.896788	0.5234925150871277	0.5231557488441467
02_to_10	pair	0.421446	0.437902	0.962421	0.4165395200252533	0.6408942341804504
03_to_01	pair	0.858337	1.185975	0.723739	0.7141211628913879	0.4793049991130829
03_to_02	pair	0.345769	0.503510	0.686718	0.76235431432724	0.5864394903182983
03_to_03	identity	0.034879	0.000000	3487885.370851	nan	nan
03_to_04	pair	0.241784	0.294523	0.820933	0.5590952038764954	0.7494755387306213
03_to_05	pair	0.442180	0.527409	0.838401	0.5265731811523438	0.7425167560577393
03_to_06	pair	0.567087	0.636062	0.891560	0.4888923764228821	0.7428577542304993
03_to_07	pair	0.684423	0.707535	0.967335	0.3968546688556671	0.6420391798019409
03_to_08	pair	0.785518	0.774707	1.013954	0.3308199346065521	0.48010554909706116
03_to_09	pair	0.801017	0.877174	0.913178	0.49571946263313293	0.39105337858200073
03_to_10	pair	0.825299	1.070336	0.771066	0.6660780906677246	0.44699543714523315
04_to_01	pair	0.997768	1.412139	0.706565	0.7199108004570007	0.5170387029647827
04_to_02	pair	0.534309	0.786776	0.679112	0.7193777561187744	0.6231805682182312
04_to_03	pair	0.240744	0.286574	0.840076	0.5551064014434814	0.7856458425521851
04_to_04	identity	0.032351	0.000000	3235093.876719	nan	nan
