pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.035052	0.000000	3505164.757371	nan	nan
01_to_02	pair	0.305014	0.326654	0.933752	0.5118659138679504	0.695249617099762
01_to_03	pair	0.560729	0.676961	0.828303	0.6536015272140503	0.8414201140403748
01_to_04	pair	0.720162	0.894585	0.805024	0.6793689131736755	0.9380613565444946
01_to_05	pair	0.920530	1.201784	0.765969	0.7112240195274353	0.8310268521308899
01_to_06	pair	1.047344	1.387839	0.754658	0.7128489017486572	0.7783275246620178
01_to_07	pair	0.927294	1.127972	0.822090	0.6499052047729492	0.7563834190368652
01_to_08	pair	0.686880	0.859081	0.799552	0.6549351811408997	0.6721709370613098
01_to_09	pair	0.527839	0.611380	0.863356	0.583966851234436	0.4744829535484314
01_to_10	pair	0.357576	0.343676	1.040445	-0.037555593997240067	0.33929726481437683
02_to_01	pair	0.291256	0.319704	0.911017	0.5697211623191833	0.872109591960907
02_to_02	identity	0.034741	0.000000	3474147.617817	nan	nan
02_to_03	pair	0.240724	0.338032	0.712133	0.7689365744590759	0.909048855304718
02_to_04	pair	0.453797	0.637639	0.711684	0.7526057362556458	0.951299786567688
02_to_05	pair	0.674466	0.970341	0.695081	0.7462422251701355	0.804624617099762
02_to_06	pair	0.830865	1.162847	0.714509	0.7396358251571655	0.7580469846725464
02_to_07	pair	0.846541	0.992118	0.853266	0.6121708750724792	0.7265260815620422
02_to_08	pair	0.682226	0.770588	0.885332	0.529084324836731	0.6565593481063843
02_to_09	pair	0.611491	0.625526	0.977562	0.2663649022579193	0.49172332882881165
02_to_10	pair	0.496302	0.401621	1.235747	-0.13635914027690887	0.8853664994239807
03_to_01	pair	0.537912	0.645767	0.832981	0.6877888441085815	0.9447987079620361
03_to_02	pair	0.255024	0.338703	0.752941	0.778457522392273	1.1079708337783813
03_to_03	identity	0.047194	0.000000	4719350.859523	nan	nan
03_to_04	pair	0.232275	0.298417	0.778358	0.6726679801940918	0.8518792390823364
03_to_05	pair	0.480231	0.629203	0.763237	0.6991504430770874	0.7222196459770203
03_to_06	pair	0.670025	0.854974	0.783679	0.6772491931915283	0.6892402768135071
03_to_07	pair	0.658351	0.731535	0.899958	0.5145056843757629	0.6252273917198181
03_to_08	pair	0.621613	0.637704	0.974768	0.3276030719280243	0.6522958874702454
03_to_09	pair	0.626617	0.516075	1.214197	0.1357940286397934	1.135377049446106
03_to_10	pair	0.642750	0.523410	1.228004	0.35130441188812256	1.3527541160583496
04_to_01	pair	0.667648	0.827395	0.806928	0.7112093567848206	1.0492405891418457
04_to_02	pair	0.441527	0.577734	0.764239	0.7720125317573547	1.1222186088562012
04_to_03	pair	0.241608	0.279927	0.863110	0.6776967644691467	1.1980262994766235
04_to_04	identity	0.052853	0.000000	5285304.039717	nan	nan
04_to_05	pair	0.271793	0.348021	0.780968	0.7034863233566284	0.5415390729904175
04_to_06	pair	0.506691	0.627401	0.807604	0.6301100254058838	0.5601248741149902
04_to_07	pair	0.551341	0.580611	0.949587	0.39838579297065735	0.5868523716926575
04_to_08	pair	0.589760	0.546896	1.078376	0.32967326045036316	0.9852225184440613
04_to_09	pair	0.689482	0.506958	1.360038	0.3439539074897766	1.5567131042480469
04_to_10	pair	0.744326	0.593922	1.253240	0.5437798500061035	1.6576637029647827
05_to_01	pair	0.694393	1.076548	0.645018	0.819369375705719	0.9476266503334045
05_to_02	pair	0.619356	0.892070	0.694291	0.773542046546936	0.9335868954658508
05_to_03	pair	0.448810	0.596326	0.752625	0.7244816422462463	0.8944091200828552
05_to_04	pair	0.244660	0.337035	0.725918	0.7386293411254883	0.7373760342597961
05_to_05	identity	0.047852	0.000000	4785164.445639	nan	nan
05_to_06	pair	0.211742	0.262211	0.807525	0.586924135684967	0.6295421719551086
05_to_07	pair	0.361008	0.400074	0.902354	0.5092230439186096	0.8176745772361755
05_to_08	pair	0.515274	0.576863	0.893234	0.5924709439277649	1.0913785696029663
05_to_09	pair	0.693364	0.691442	1.002778	0.6122913360595703	1.3509538173675537
05_to_10	pair	0.800133	0.881321	0.907880	0.6981198191642761	1.2783575057983398
06_to_01	pair	0.744531	1.296750	0.574151	0.8746070265769958	0.827136218547821
06_to_02	pair	0.696258	1.066434	0.652884	0.8085227012634277	0.8404108285903931
