pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.025312	0.000000	2531242.184341	nan	nan
01_to_02	pair	0.220417	0.225848	0.975953	0.37453287839889526	0.49080729484558105
01_to_03	pair	0.484468	0.514921	0.940858	0.4542590081691742	0.7411805987358093
01_to_04	pair	0.664378	0.714543	0.929794	0.484412282705307	0.82951819896698
01_to_05	pair	0.683743	0.754408	0.906330	0.562279224395752	0.954474151134491
01_to_06	pair	0.685688	0.742779	0.923138	0.6215422749519348	1.1165531873703003
01_to_07	pair	0.764794	0.632931	1.208339	0.4636784493923187	1.370757818222046
01_to_08	pair	0.655689	0.524817	1.249368	0.4627065360546112	1.4368946552276611
01_to_09	pair	0.557792	0.349547	1.595757	0.12995170056819916	1.3945828676223755
01_to_10	pair	0.235193	0.160100	1.469039	-0.14197613298892975	0.9434837102890015
02_to_01	pair	0.220978	0.228828	0.965693	0.4112231135368347	0.6301538944244385
02_to_02	identity	0.029193	0.000000	2919287.793338	nan	nan
02_to_03	pair	0.199956	0.218714	0.914236	0.6053443551063538	1.0502805709838867
02_to_04	pair	0.464343	0.536150	0.866069	0.5749250650405884	0.9120156764984131
02_to_05	pair	0.701575	0.805199	0.871306	0.5427932143211365	0.8110907077789307
02_to_06	pair	0.691601	0.688857	1.003984	0.5163964033126831	1.0420753955841064
02_to_07	pair	0.718159	0.708678	1.013379	0.4852839708328247	1.0343679189682007
02_to_08	pair	0.629928	0.623101	1.010957	0.4461541473865509	1.0087592601776123
02_to_09	pair	0.645999	0.543702	1.188149	-0.006981519050896168	0.7056674957275391
02_to_10	pair	0.538867	0.501835	1.073794	-0.1787257045507431	0.24762997031211853
03_to_01	pair	0.488075	0.512375	0.952574	0.4721974730491638	0.7653159499168396
03_to_02	pair	0.202162	0.214379	0.943012	0.620867133140564	1.1494594812393188
03_to_03	identity	0.032053	0.000000	3205345.571041	nan	nan
03_to_04	pair	0.204573	0.239987	0.852436	0.6343391537666321	0.9544682502746582
03_to_05	pair	0.466611	0.579169	0.805655	0.5916045904159546	0.7604987621307373
03_to_06	pair	0.679524	0.758821	0.895500	0.4921250343322754	0.7736832499504089
03_to_07	pair	0.697323	0.640985	1.087894	0.36654165387153625	0.8827422857284546
03_to_08	pair	0.682817	0.687064	0.993819	0.3262503147125244	0.6422072052955627
03_to_09	pair	0.646185	0.685678	0.942404	0.32234424352645874	0.39465636014938354
03_to_10	pair	0.531370	0.540113	0.983812	0.25376027822494507	0.5279537439346313
04_to_01	pair	0.716036	0.780638	0.917245	0.48811912536621094	0.7487692832946777
04_to_02	pair	0.475001	0.532704	0.891679	0.5703285336494446	0.9194404482841492
04_to_03	pair	0.194779	0.237405	0.820449	0.6681490540504456	0.9667513370513916
04_to_04	identity	0.035844	0.000000	3584399.446845	nan	nan
04_to_05	pair	0.180150	0.221504	0.813301	0.6183632016181946	0.7820919752120972
04_to_06	pair	0.433340	0.469833	0.922328	0.457618772983551	0.73773592710495
04_to_07	pair	0.671130	0.704433	0.952724	0.3947690725326538	0.5855261087417603
04_to_08	pair	0.707510	0.747827	0.946088	0.36056995391845703	0.42207884788513184
04_to_09	pair	0.693744	0.735433	0.943313	0.34647002816200256	0.39919978380203247
04_to_10	pair	0.630909	0.672584	0.938038	0.39132750034332275	0.7033495306968689
05_to_01	pair	0.682569	0.749508	0.910689	0.5611732006072998	0.9385376572608948
05_to_02	pair	0.721949	0.826431	0.873575	0.5319761037826538	0.7770876884460449
05_to_03	pair	0.471969	0.588200	0.802396	0.5992077589035034	0.7760640382766724
05_to_04	pair	0.173035	0.225704	0.766645	0.6835037469863892	0.8767842054367065
05_to_05	identity	0.031718	0.000000	3171791.136265	nan	nan
05_to_06	pair	0.219046	0.218412	1.002902	0.2586404085159302	0.6595488786697388
05_to_07	pair	0.436412	0.474068	0.920569	0.3420497477054596	0.5323803424835205
05_to_08	pair	0.598566	0.664968	0.900143	0.4442945718765259	0.416934072971344
05_to_09	pair	0.732996	0.808245	0.906899	0.4211951792240143	0.5139498710632324
05_to_10	pair	0.726208	0.761150	0.954094	0.4266566038131714	0.8026596903800964
06_to_01	pair	0.708899	0.769175	0.921636	0.5853036046028137	1.0501070022583008
06_to_02	pair	0.698335	0.695616	1.003909	0.5088330507278442	1.002204179763794
06_to_03	pair	0.684106	0.751114	0.910789	0.48673588037490845	0.7704700827598572
06_to_04	pair	0.424808	0.481160	0.882883	0.5060004591941833	0.7543116807937622
06_to_05	pair	0.203438	0.215365	0.944620	0.3200410008430481	0.6875
06_to_06	identity	0.035089	0.000000	3508915.379643	nan	nan
06_to_07	pair	0.208632	0.226231	0.922208	0.369966059923172	0.45760032534599304
06_to_08	pair	0.361016	0.412106	0.876027	0.4957706332206726	0.6822873950004578
06_to_09	pair	0.586400	0.615277	0.953067	0.44561517238616943	0.8234949111938477
06_to_10	pair	0.761427	0.721094	1.055933	0.4247410297393799	0.9923483729362488
07_to_01	pair	0.750697	0.630572	1.190502	0.4487541615962982	1.3251073360443115
07_to_02	pair	0.746027	0.723112	1.031688	0.4693816900253296	0.9960557818412781
07_to_03	pair	0.720111	0.658017	1.094364	0.3552011549472809	0.8481664061546326
07_to_04	pair	0.698683	0.734826	0.950813	0.37854963541030884	0.5508632063865662
07_to_05	pair	0.433101	0.482989	0.896708	0.35982972383499146	0.4872540533542633
07_to_06	pair	0.208571	0.230530	0.904743	0.3133387863636017	0.39078521728515625
07_to_07	identity	0.039706	0.000000	3970611.467957	nan	nan
07_to_08	pair	0.197164	0.144556	1.363930	0.3611777722835541	1.5150190591812134
07_to_09	pair	0.453994	0.343491	1.321707	0.4206306040287018	1.4782646894454956
