[crb_both_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_both_mse_linear_full128] device=cuda:1 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=both | linear | train 128³ | seed=20260824
[crb_both_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.665844 | val MSE: 0.567984 | total time: 0 hours 4 minutes
Epoch: 2 | train MSE: 0.576652 | val MSE: 0.490768 | total time: 0 hours 8 minutes
Epoch: 3 | train MSE: 0.500155 | val MSE: 0.410418 | total time: 0 hours 12 minutes
Epoch: 4 | train MSE: 0.403513 | val MSE: 0.371111 | total time: 0 hours 16 minutes
Epoch: 5 | train MSE: 0.352106 | val MSE: 0.317010 | total time: 0 hours 20 minutes
Epoch: 6 | train MSE: 0.317125 | val MSE: 0.278152 | total time: 0 hours 24 minutes
Epoch: 7 | train MSE: 0.287401 | val MSE: 0.253759 | total time: 0 hours 28 minutes
Epoch: 8 | train MSE: 0.263715 | val MSE: 0.233526 | total time: 0 hours 32 minutes
Epoch: 9 | train MSE: 0.235800 | val MSE: 0.217300 | total time: 0 hours 36 minutes
Epoch: 10 | train MSE: 0.219115 | val MSE: 0.208367 | total time: 0 hours 40 minutes
Epoch: 11 | train MSE: 0.210160 | val MSE: 0.210871 | total time: 0 hours 44 minutes
Epoch: 12 | train MSE: 0.199741 | val MSE: 0.177899 | total time: 0 hours 49 minutes
Epoch: 13 | train MSE: 0.177392 | val MSE: 0.166958 | total time: 0 hours 53 minutes
Epoch: 14 | train MSE: 0.170779 | val MSE: 0.148338 | total time: 0 hours 57 minutes
Epoch: 15 | train MSE: 0.159424 | val MSE: 0.149428 | total time: 1 hours 1 minutes
Epoch: 16 | train MSE: 0.163225 | val MSE: 0.129313 | total time: 1 hours 5 minutes
Epoch: 17 | train MSE: 0.148566 | val MSE: 0.149669 | total time: 1 hours 9 minutes
Epoch: 18 | train MSE: 0.154236 | val MSE: 0.126756 | total time: 1 hours 13 minutes
Epoch: 19 | train MSE: 0.135260 | val MSE: 0.131454 | total time: 1 hours 17 minutes
Epoch: 20 | train MSE: 0.126983 | val MSE: 0.117779 | total time: 1 hours 21 minutes
Epoch: 21 | train MSE: 0.124261 | val MSE: 0.116297 | total time: 1 hours 25 minutes
Epoch: 22 | train MSE: 0.117484 | val MSE: 0.122339 | total time: 1 hours 29 minutes
Epoch: 23 | train MSE: 0.112795 | val MSE: 0.118061 | total time: 1 hours 33 minutes
Epoch: 24 | train MSE: 0.117414 | val MSE: 0.102536 | total time: 1 hours 38 minutes
Epoch: 25 | train MSE: 0.106470 | val MSE: 0.134058 | total time: 1 hours 43 minutes
Epoch: 26 | train MSE: 0.111270 | val MSE: 0.088495 | total time: 1 hours 47 minutes
Epoch: 27 | train MSE: 0.097570 | val MSE: 0.088362 | total time: 1 hours 52 minutes
Epoch: 28 | train MSE: 0.104899 | val MSE: 0.087048 | total time: 1 hours 56 minutes
Epoch: 29 | train MSE: 0.098176 | val MSE: 0.102739 | total time: 2 hours 0 minutes
Epoch: 30 | train MSE: 0.095621 | val MSE: 0.086872 | total time: 2 hours 6 minutes
Epoch: 31 | train MSE: 0.098594 | val MSE: 0.085136 | total time: 2 hours 11 minutes
Epoch: 32 | train MSE: 0.087371 | val MSE: 0.094075 | total time: 2 hours 17 minutes
Epoch: 33 | train MSE: 0.089774 | val MSE: 0.103822 | total time: 2 hours 22 minutes
Epoch: 34 | train MSE: 0.091580 | val MSE: 0.086243 | total time: 2 hours 27 minutes
Epoch: 35 | train MSE: 0.084659 | val MSE: 0.079922 | total time: 2 hours 33 minutes
Epoch: 36 | train MSE: 0.078989 | val MSE: 0.079855 | total time: 2 hours 38 minutes
Epoch: 37 | train MSE: 0.085101 | val MSE: 0.081868 | total time: 2 hours 44 minutes
Epoch: 38 | train MSE: 0.076405 | val MSE: 0.081327 | total time: 2 hours 49 minutes
Epoch: 39 | train MSE: 0.087170 | val MSE: 0.077475 | total time: 2 hours 54 minutes
Epoch: 40 | train MSE: 0.077307 | val MSE: 0.075475 | total time: 3 hours 0 minutes
Epoch: 41 | train MSE: 0.080472 | val MSE: 0.069350 | total time: 3 hours 5 minutes
Epoch: 42 | train MSE: 0.077793 | val MSE: 0.078816 | total time: 3 hours 10 minutes
Epoch: 43 | train MSE: 0.074034 | val MSE: 0.076052 | total time: 3 hours 16 minutes
Epoch: 44 | train MSE: 0.068745 | val MSE: 0.076254 | total time: 3 hours 21 minutes
Epoch: 45 | train MSE: 0.076871 | val MSE: 0.088691 | total time: 3 hours 27 minutes
Epoch: 46 | train MSE: 0.067828 | val MSE: 0.070128 | total time: 3 hours 32 minutes
Epoch: 47 | train MSE: 0.068598 | val MSE: 0.075926 | total time: 3 hours 37 minutes
Epoch: 48 | train MSE: 0.069240 | val MSE: 0.065847 | total time: 3 hours 43 minutes
