pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.031887	0.000000	3188697.248697	nan	nan
01_to_02	pair	0.378180	0.383169	0.986979	0.15838705003261566	0.16741764545440674
01_to_03	pair	1.199280	1.230852	0.974349	0.29866454005241394	0.1575489342212677
01_to_04	pair	1.574454	1.645525	0.956809	0.3704639971256256	0.25539925694465637
01_to_05	pair	1.694983	1.797984	0.942713	0.39823275804519653	0.34825050830841064
01_to_06	pair	1.687667	1.765300	0.956023	0.37631043791770935	0.39335888624191284
01_to_07	pair	1.306838	1.343949	0.972387	0.3498520851135254	0.4418024718761444
01_to_08	pair	0.808463	0.765092	1.056688	0.2764485776424408	0.5701683759689331
01_to_09	pair	0.439856	0.362947	1.211903	0.052896853536367416	0.7106648087501526
01_to_10	pair	0.278213	0.231239	1.203139	-0.34998300671577454	0.4282247722148895
02_to_01	pair	0.368895	0.373688	0.987175	0.17187772691249847	0.2442111223936081
02_to_02	identity	0.030347	0.000000	3034706.041217	nan	nan
02_to_03	pair	0.481116	0.507783	0.947485	0.37969323992729187	0.22520636022090912
02_to_04	pair	1.041586	1.104614	0.942941	0.3930782675743103	0.3012051284313202
02_to_05	pair	1.359546	1.398126	0.972406	0.3508239686489105	0.39652663469314575
02_to_06	pair	1.360886	1.355520	1.003959	0.3162236213684082	0.4628051817417145
02_to_07	pair	1.060201	1.008403	1.051367	0.2311934530735016	0.5127679705619812
02_to_08	pair	0.734027	0.607477	1.208320	-0.046236682683229446	0.5783261656761169
02_to_09	pair	0.632771	0.520649	1.215352	-0.37089261412620544	0.3860856890678406
02_to_10	pair	0.656770	0.629724	1.042948	-0.16292256116867065	0.1611991971731186
03_to_01	pair	1.156784	1.171499	0.987439	0.21525590121746063	0.23841874301433563
03_to_02	pair	0.453196	0.479957	0.944243	0.3749579191207886	0.32268157601356506
03_to_03	identity	0.033665	0.000000	3366502.746940	nan	nan
03_to_04	pair	0.324533	0.357610	0.907506	0.47581449151039124	0.44670313596725464
03_to_05	pair	0.586199	0.589066	0.995131	0.4212801158428192	0.6103897094726562
03_to_06	pair	0.836932	0.752228	1.112605	0.21006079018115997	0.6234998106956482
03_to_07	pair	0.769753	0.627460	1.226776	0.01619681715965271	0.5953707695007324
03_to_08	pair	0.991381	0.892904	1.110289	-0.15755204856395721	0.27456215023994446
03_to_09	pair	1.208319	1.161543	1.040271	-0.1558336764574051	0.14729608595371246
03_to_10	pair	1.357772	1.366739	0.993440	0.14257901906967163	0.1559193730354309
04_to_01	pair	1.512745	1.540874	0.981745	0.28564536571502686	0.3291667699813843
04_to_02	pair	0.965383	1.014633	0.951460	0.34144169092178345	0.35716620087623596
04_to_03	pair	0.311325	0.344286	0.904263	0.43614432215690613	0.5262854695320129
04_to_04	identity	0.038355	0.000000	3835485.875607	nan	nan
04_to_05	pair	0.248331	0.247435	1.003623	0.3219073712825775	0.6309124231338501
04_to_06	pair	0.448407	0.386374	1.160549	0.08301295340061188	0.6851567625999451
04_to_07	pair	0.689679	0.609610	1.131344	-0.15027794241905212	0.34345805644989014
04_to_08	pair	1.114553	1.075706	1.036113	-0.10677974671125412	0.1526661217212677
04_to_09	pair	1.436159	1.437664	0.998953	0.14897629618644714	0.1627829223871231
04_to_10	pair	1.616183	1.658634	0.974406	0.26738861203193665	0.22664062678813934
05_to_01	pair	1.655832	1.686764	0.981662	0.3171344995498657	0.43139535188674927
05_to_02	pair	1.257161	1.266736	0.992441	0.294193834066391	0.46102023124694824
05_to_03	pair	0.557221	0.565520	0.985325	0.41098931431770325	0.6274311542510986
05_to_04	pair	0.257035	0.246878	1.041141	0.28162524104118347	0.6900274753570557
05_to_05	identity	0.036987	0.000000	3698718.920350	nan	nan
05_to_06	pair	0.274860	0.243390	1.129295	-0.1154848039150238	0.37665677070617676
05_to_07	pair	0.612405	0.600396	1.020002	0.05049939826130867	0.16389286518096924
05_to_08	pair	1.062285	1.071677	0.991237	0.23479053378105164	0.20872315764427185
05_to_09	pair	1.484622	1.524253	0.973999	0.2993578016757965	0.26067447662353516
05_to_10	pair	1.798013	1.862919	0.965159	0.29811885952949524	0.30916696786880493
06_to_01	pair	1.714159	1.694264	1.011743	0.275849848985672	0.48343533277511597
06_to_02	pair	1.295628	1.255286	1.032138	0.26707619428634644	0.5375353097915649
06_to_03	pair	0.783800	0.714043	1.097692	0.21461579203605652	0.6261025071144104
06_to_04	pair	0.444822	0.382374	1.163319	0.07281112670898438	0.6546869277954102
06_to_05	pair	0.263077	0.245322	1.072373	-0.002294867066666484	0.34252282977104187
06_to_06	identity	0.032938	0.000000	3293794.766068	nan	nan
06_to_07	pair	0.402247	0.404705	0.993926	0.24128630757331848	0.2895013093948364
06_to_08	pair	0.864801	0.870913	0.992982	0.3014390170574188	0.33653801679611206
06_to_09	pair	1.381649	1.404932	0.983428	0.30710023641586304	0.34500807523727417
06_to_10	pair	1.790785	1.824787	0.981367	0.27798956632614136	0.35953181982040405
07_to_01	pair	1.296618	1.248031	1.038931	0.2928442358970642	0.5810133814811707
07_to_02	pair	1.080817	0.959571	1.126355	0.17993272840976715	0.6172265410423279
