pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.025311	0.000000	2531064.487994	nan	nan
01_to_02	pair	0.414356	0.447823	0.925267	0.4982199966907501	0.2798125743865967
01_to_03	pair	0.719981	0.829436	0.868037	0.5448764562606812	0.4912274479866028
01_to_04	pair	0.950865	1.134359	0.838240	0.5566596388816833	0.6297304630279541
01_to_05	pair	1.123952	1.376533	0.816509	0.6297041773796082	0.6393056511878967
01_to_06	pair	1.161644	1.480060	0.784863	0.6484813690185547	0.6844683885574341
01_to_07	pair	0.871376	1.025722	0.849525	0.6276580691337585	0.9594971537590027
01_to_08	pair	0.764872	0.578338	1.322536	0.3218531906604767	1.2483994960784912
01_to_09	pair	0.663359	0.449939	1.474333	-0.33912864327430725	0.8701539039611816
01_to_10	pair	0.402002	0.327701	1.226734	-0.393113911151886	0.3953924775123596
02_to_01	pair	0.391799	0.431501	0.907990	0.5532664656639099	0.369101881980896
02_to_02	identity	0.029787	0.000000	2978707.104921	nan	nan
02_to_03	pair	0.342951	0.339877	1.009045	0.3948999345302582	0.8813406825065613
02_to_04	pair	0.673197	0.666204	1.010497	0.4119252562522888	0.8682002425193787
02_to_05	pair	0.844920	0.961574	0.878684	0.5711740255355835	0.8326594829559326
02_to_06	pair	0.993399	1.120894	0.886256	0.5487294793128967	0.8297024369239807
02_to_07	pair	0.999447	0.893062	1.119124	0.31963953375816345	0.9211647510528564
02_to_08	pair	1.051004	0.817818	1.285132	-0.20812882483005524	0.7141633629798889
02_to_09	pair	1.094191	0.964438	1.134537	-0.36333656311035156	0.31609323620796204
02_to_10	pair	0.858588	0.864478	0.993187	0.24657896161079407	0.19329442083835602
03_to_01	pair	0.670432	0.767947	0.873018	0.5721922516822815	0.7143812775611877
03_to_02	pair	0.380524	0.335414	1.134490	0.2855306565761566	0.985244631767273
03_to_03	identity	0.034792	0.000000	3479200.601578	nan	nan
03_to_04	pair	0.285867	0.278028	1.028192	0.4242449700832367	0.993683934211731
03_to_05	pair	0.551892	0.634077	0.870387	0.5885226726531982	0.7395910024642944
03_to_06	pair	0.724161	0.843818	0.858196	0.563323974609375	0.757035493850708
03_to_07	pair	0.886809	0.892369	0.993769	0.3432624340057373	0.6187522411346436
03_to_08	pair	1.028790	1.030794	0.998056	0.2059905230998993	0.3797808885574341
03_to_09	pair	1.105033	1.225291	0.901854	0.4767172932624817	0.2967287600040436
03_to_10	pair	0.995495	1.136707	0.875771	0.5692102313041687	0.4220057427883148
04_to_01	pair	0.884816	1.034637	0.855194	0.5827536582946777	0.8171377182006836
04_to_02	pair	0.700662	0.631874	1.108864	0.3582404553890228	1.0036652088165283
04_to_03	pair	0.308415	0.269645	1.143780	0.3284892439842224	1.0678101778030396
04_to_04	identity	0.034189	0.000000	3418853.133917	nan	nan
04_to_05	pair	0.302162	0.355905	0.848995	0.5696249604225159	0.4871254861354828
04_to_06	pair	0.482367	0.581101	0.830091	0.5680534839630127	0.5712312459945679
04_to_07	pair	0.681941	0.710622	0.959640	0.3727376461029053	0.45735055208206177
04_to_08	pair	0.952456	1.039110	0.916607	0.43778499960899353	0.3500892221927643
04_to_09	pair	1.182124	1.421536	0.831582	0.6235508322715759	0.38348791003227234
04_to_10	pair	1.050652	1.331572	0.789032	0.6501271724700928	0.5450769662857056
05_to_01	pair	1.022418	1.297444	0.788025	0.6644055843353271	0.8095653653144836
05_to_02	pair	0.819138	0.901576	0.908563	0.5790529251098633	0.956355094909668
05_to_03	pair	0.536253	0.604926	0.886478	0.5827593207359314	0.8353897929191589
05_to_04	pair	0.297151	0.328734	0.903926	0.5266046524047852	0.5929282903671265
05_to_05	identity	0.036978	0.000000	3697840.124369	nan	nan
05_to_06	pair	0.247008	0.280411	0.880880	0.4141654968261719	0.4567713737487793
05_to_07	pair	0.607834	0.665005	0.914029	0.45645636320114136	0.31614813208580017
05_to_08	pair	0.999552	1.163844	0.858837	0.6111359596252441	0.3834872245788574
05_to_09	pair	1.239962	1.540992	0.804651	0.6699811220169067	0.4674012064933777
05_to_10	pair	1.229875	1.628747	0.755105	0.6978532075881958	0.5772102475166321
06_to_01	pair	1.022646	1.360525	0.751655	0.7009870409965515	0.8330767750740051
06_to_02	pair	0.941524	1.048733	0.897773	0.5583214163780212	0.9141859412193298
06_to_03	pair	0.714126	0.797957	0.894943	0.5287529230117798	0.8124673962593079
06_to_04	pair	0.498671	0.560302	0.890004	0.49450159072875977	0.6323161125183105
06_to_05	pair	0.274964	0.280695	0.979582	0.20986489951610565	0.4913276135921478
06_to_06	identity	0.046671	0.000000	4667078.703642	nan	nan
06_to_07	pair	0.450380	0.501644	0.897808	0.4943975806236267	0.34730806946754456
